index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.4883720930232558,0.36305600464287197,403.1588101387024,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_spsa at 0x7f1e131749d0>,<function get_zfeaturemap at 0x7f1e4b5ce3a0>,full,,351,lda
1,0.27906976744186046,0.24617129892229156,387.49809551239014,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_spsa at 0x7f1e131749d0>,<function get_zfeaturemap at 0x7f1e4b5ce3a0>,linear,,351,lda
2,0.46511627906976744,0.3175313059033989,390.81145763397217,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_spsa at 0x7f1e131749d0>,<function get_zfeaturemap at 0x7f1e4b5ce3a0>,circular,,351,lda
3,0.5116279069767442,0.4612317914643496,389.294629573822,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_spsa at 0x7f1e131749d0>,<function get_zfeaturemap at 0x7f1e4b5ce3a0>,sca,,351,lda
4,0.627906976744186,0.6134689922480621,524.644850730896,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_spsa at 0x7f1e131749d0>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,full,full,351,lda
5,0.4883720930232558,0.49404146671588534,455.69494915008545,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_spsa at 0x7f1e131749d0>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,full,linear,351,lda
6,0.37209302325581395,0.33646934460887945,465.70327401161194,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_spsa at 0x7f1e131749d0>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,full,circular,351,lda
7,0.3023255813953488,0.30350115001277794,451.9736659526825,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_spsa at 0x7f1e131749d0>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,full,pairwise,351,lda
8,0.3953488372093023,0.37173864894795133,466.99017000198364,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_spsa at 0x7f1e131749d0>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,full,sca,351,lda
9,0.2558139534883721,0.258859357696567,508.25779700279236,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_spsa at 0x7f1e131749d0>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,linear,full,351,lda
