index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.32558139534883723,0.30285412262156447,497.05810952186584,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_spsa at 0x7f2b47c040d0>,<function get_zfeaturemap at 0x7f2b7ee4a1f0>,full,,351,lda
1,0.3953488372093023,0.39009752438109524,459.6556143760681,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_spsa at 0x7f2b47c040d0>,<function get_zfeaturemap at 0x7f2b7ee4a1f0>,linear,,351,lda
2,0.4186046511627907,0.3905500184569952,464.9796233177185,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_spsa at 0x7f2b47c040d0>,<function get_zfeaturemap at 0x7f2b7ee4a1f0>,circular,,351,lda
3,0.4418604651162791,0.42944032711474567,465.43614292144775,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_spsa at 0x7f2b47c040d0>,<function get_zfeaturemap at 0x7f2b7ee4a1f0>,sca,,351,lda
4,0.11627906976744186,0.12846068660022147,675.3617444038391,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_spsa at 0x7f2b47c040d0>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,full,full,351,lda
5,0.20930232558139536,0.23053589484327608,569.0137140750885,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_spsa at 0x7f2b47c040d0>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,full,linear,351,lda
6,0.13953488372093023,0.1445314909629264,587.5132322311401,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_spsa at 0x7f2b47c040d0>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,full,circular,351,lda
7,0.16279069767441862,0.16084623162479586,568.7729408740997,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_spsa at 0x7f2b47c040d0>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,full,pairwise,351,lda
8,0.3023255813953488,0.31457171072944584,590.6083211898804,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_spsa at 0x7f2b47c040d0>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,full,sca,351,lda
9,0.27906976744186046,0.28645256552233295,635.8176357746124,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_spsa at 0x7f2b47c040d0>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,linear,full,351,lda
10,0.16279069767441862,0.17460317460317462,538.0236744880676,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_spsa at 0x7f2b47c040d0>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,linear,linear,351,lda
11,0.09302325581395349,0.10583080552746883,550.8757128715515,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_spsa at 0x7f2b47c040d0>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,linear,circular,351,lda
12,0.18604651162790697,0.18823114869626498,537.0784773826599,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_spsa at 0x7f2b47c040d0>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,linear,pairwise,351,lda
13,0.27906976744186046,0.2915790437843365,552.6390252113342,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_spsa at 0x7f2b47c040d0>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,linear,sca,351,lda
14,0.18604651162790697,0.2051282051282051,669.7084619998932,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_spsa at 0x7f2b47c040d0>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,circular,full,351,lda
15,0.3023255813953488,0.31755118266746174,544.7817702293396,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_spsa at 0x7f2b47c040d0>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,circular,linear,351,lda
16,0.20930232558139536,0.2118863049095607,559.5529243946075,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_spsa at 0x7f2b47c040d0>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,circular,circular,351,lda
17,0.18604651162790697,0.20077519379844963,539.8510732650757,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_spsa at 0x7f2b47c040d0>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,circular,pairwise,351,lda
18,0.20930232558139536,0.21987315010570826,566.6524641513824,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_spsa at 0x7f2b47c040d0>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,circular,sca,351,lda
19,0.11627906976744186,0.1252236135957066,658.8462204933167,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_spsa at 0x7f2b47c040d0>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,sca,full,351,lda
20,0.18604651162790697,0.17295434969853576,550.0250396728516,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_spsa at 0x7f2b47c040d0>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,sca,linear,351,lda
21,0.27906976744186046,0.28528072116161796,570.7075881958008,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_spsa at 0x7f2b47c040d0>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,sca,circular,351,lda
22,0.3023255813953488,0.333373086861459,545.7134828567505,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_spsa at 0x7f2b47c040d0>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,sca,pairwise,351,lda
23,0.20930232558139536,0.2007525690946546,570.2374668121338,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_spsa at 0x7f2b47c040d0>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,sca,sca,351,lda
24,0.3953488372093023,0.4085412262156448,396.82826590538025,<function get_paulitwodesign at 0x7f2b7ee4a4c0>,<function get_spsa at 0x7f2b47c040d0>,<function get_zfeaturemap at 0x7f2b7ee4a1f0>,,,351,lda
25,0.18604651162790697,0.17790697674418604,575.2607867717743,<function get_paulitwodesign at 0x7f2b7ee4a4c0>,<function get_spsa at 0x7f2b47c040d0>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,,full,351,lda
26,0.3488372093023256,0.34662520215366227,479.3601791858673,<function get_paulitwodesign at 0x7f2b7ee4a4c0>,<function get_spsa at 0x7f2b47c040d0>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,,linear,351,lda
27,0.13953488372093023,0.15503875968992248,494.2082209587097,<function get_paulitwodesign at 0x7f2b7ee4a4c0>,<function get_spsa at 0x7f2b47c040d0>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,,circular,351,lda
28,0.16279069767441862,0.169436764785602,467.8866102695465,<function get_paulitwodesign at 0x7f2b7ee4a4c0>,<function get_spsa at 0x7f2b47c040d0>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,,pairwise,351,lda
29,0.16279069767441862,0.15991490814544404,494.1192331314087,<function get_paulitwodesign at 0x7f2b7ee4a4c0>,<function get_spsa at 0x7f2b47c040d0>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,,sca,351,lda
30,0.3488372093023256,0.3259438236182422,434.4675507545471,<function get_realamplitudes at 0x7f2b78793550>,<function get_spsa at 0x7f2b47c040d0>,<function get_zfeaturemap at 0x7f2b7ee4a1f0>,full,,351,lda
31,0.4418604651162791,0.42459493994377717,388.7491075992584,<function get_realamplitudes at 0x7f2b78793550>,<function get_spsa at 0x7f2b47c040d0>,<function get_zfeaturemap at 0x7f2b7ee4a1f0>,linear,,351,lda
32,0.3023255813953488,0.29657505285412267,396.50078439712524,<function get_realamplitudes at 0x7f2b78793550>,<function get_spsa at 0x7f2b47c040d0>,<function get_zfeaturemap at 0x7f2b7ee4a1f0>,circular,,351,lda
33,0.3488372093023256,0.3386718600832474,398.52202796936035,<function get_realamplitudes at 0x7f2b78793550>,<function get_spsa at 0x7f2b47c040d0>,<function get_zfeaturemap at 0x7f2b7ee4a1f0>,sca,,351,lda
34,0.27906976744186046,0.2881024603977081,597.9597611427307,<function get_realamplitudes at 0x7f2b78793550>,<function get_spsa at 0x7f2b47c040d0>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,full,full,351,lda
35,0.27906976744186046,0.28552971576227393,488.97321701049805,<function get_realamplitudes at 0x7f2b78793550>,<function get_spsa at 0x7f2b47c040d0>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,full,linear,351,lda
36,0.16279069767441862,0.17328051971195516,508.88576650619507,<function get_realamplitudes at 0x7f2b78793550>,<function get_spsa at 0x7f2b47c040d0>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,full,circular,351,lda
