index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing,number_init
0,0.4186046511627907,0.39512735326688814,565.6619012355804,<function get_efficientsu2 at 0x7fad98392f70>,<function get_spsa at 0x7fad670abb80>,<function get_zfeaturemap at 0x7fad9f505430>,full,,351,pca,0.05
0,0.37209302325581395,0.3365792186962997,558.4726378917694,<function get_efficientsu2 at 0x7fad98392f70>,<function get_spsa at 0x7fad670abb80>,<function get_zfeaturemap at 0x7fad9f505430>,full,,351,pca,0.1
0,0.3953488372093023,0.3965584802794105,558.552725315094,<function get_efficientsu2 at 0x7fad98392f70>,<function get_spsa at 0x7fad670abb80>,<function get_zfeaturemap at 0x7fad9f505430>,full,,351,pca,0.15000000000000002
0,0.4186046511627907,0.4108527131782945,561.4313855171204,<function get_efficientsu2 at 0x7fad98392f70>,<function get_spsa at 0x7fad670abb80>,<function get_zfeaturemap at 0x7fad9f505430>,full,,351,pca,0.2
0,0.4418604651162791,0.4264843683448335,558.4962542057037,<function get_efficientsu2 at 0x7fad98392f70>,<function get_spsa at 0x7fad670abb80>,<function get_zfeaturemap at 0x7fad9f505430>,full,,351,pca,0.25
1,0.5813953488372093,0.5788909879197156,521.8569285869598,<function get_efficientsu2 at 0x7fad98392f70>,<function get_spsa at 0x7fad670abb80>,<function get_zfeaturemap at 0x7fad9f505430>,linear,,351,pca,0.05
1,0.37209302325581395,0.35793600909879986,518.9284429550171,<function get_efficientsu2 at 0x7fad98392f70>,<function get_spsa at 0x7fad670abb80>,<function get_zfeaturemap at 0x7fad9f505430>,linear,,351,pca,0.1
1,0.3488372093023256,0.3559928443649374,520.6375095844269,<function get_efficientsu2 at 0x7fad98392f70>,<function get_spsa at 0x7fad670abb80>,<function get_zfeaturemap at 0x7fad9f505430>,linear,,351,pca,0.15000000000000002
1,0.4186046511627907,0.3964562569213732,517.1601450443268,<function get_efficientsu2 at 0x7fad98392f70>,<function get_spsa at 0x7fad670abb80>,<function get_zfeaturemap at 0x7fad9f505430>,linear,,351,pca,0.2
1,0.46511627906976744,0.4252341365884457,517.3103125095367,<function get_efficientsu2 at 0x7fad98392f70>,<function get_spsa at 0x7fad670abb80>,<function get_zfeaturemap at 0x7fad9f505430>,linear,,351,pca,0.25
