index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.3023255813953488,0.17112768758227295,564.175500869751,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_spsa at 0x7f1e131749d0>,<function get_zfeaturemap at 0x7f1e4b5ce3a0>,full,,351,pca
1,0.46511627906976744,0.3720930232558139,521.5810594558716,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_spsa at 0x7f1e131749d0>,<function get_zfeaturemap at 0x7f1e4b5ce3a0>,linear,,351,pca
2,0.3488372093023256,0.21203276527633932,529.2905783653259,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_spsa at 0x7f1e131749d0>,<function get_zfeaturemap at 0x7f1e4b5ce3a0>,circular,,351,pca
3,0.27906976744186046,0.22049956933677864,522.5829174518585,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_spsa at 0x7f1e131749d0>,<function get_zfeaturemap at 0x7f1e4b5ce3a0>,sca,,351,pca
4,0.4186046511627907,0.43482409063804406,830.415824174881,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_spsa at 0x7f1e131749d0>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,full,full,351,pca
5,0.27906976744186046,0.27172402317751154,637.1106057167053,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_spsa at 0x7f1e131749d0>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,full,linear,351,pca
6,0.4418604651162791,0.40716131413805834,661.7704291343689,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_spsa at 0x7f1e131749d0>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,full,circular,351,pca
7,0.4883720930232558,0.4195484747810329,637.8871502876282,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_spsa at 0x7f1e131749d0>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,full,pairwise,351,pca
8,0.3023255813953488,0.30522606728237084,682.6766498088837,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_spsa at 0x7f1e131749d0>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,full,sca,351,pca
9,0.3488372093023256,0.35684754521963824,803.319164276123,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_spsa at 0x7f1e131749d0>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,linear,full,351,pca
10,0.46511627906976744,0.4708343502667271,618.9585103988647,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_spsa at 0x7f1e131749d0>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,linear,linear,351,pca
11,0.46511627906976744,0.4493463182729321,614.3353521823883,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_spsa at 0x7f1e131749d0>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,linear,circular,351,pca
12,0.37209302325581395,0.33780951920486796,602.550354719162,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_spsa at 0x7f1e131749d0>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,linear,pairwise,351,pca
13,0.32558139534883723,0.3205346791243265,613.5877547264099,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_spsa at 0x7f1e131749d0>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,linear,sca,351,pca
14,0.3953488372093023,0.3951884522854852,806.5542113780975,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_spsa at 0x7f1e131749d0>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,circular,full,351,pca
15,0.3953488372093023,0.39281183932346725,619.6762943267822,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_spsa at 0x7f1e131749d0>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,circular,linear,351,pca
16,0.37209302325581395,0.3533279871692061,627.0035946369171,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_spsa at 0x7f1e131749d0>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,circular,circular,351,pca
17,0.6046511627906976,0.558288770053476,613.4643597602844,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_spsa at 0x7f1e131749d0>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,circular,pairwise,351,pca
18,0.3953488372093023,0.3513513513513513,618.8756201267242,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_spsa at 0x7f1e131749d0>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,circular,sca,351,pca
19,0.5116279069767442,0.5133483997958738,805.255578994751,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_spsa at 0x7f1e131749d0>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,sca,full,351,pca
20,0.5348837209302325,0.4925089445438284,608.0303893089294,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_spsa at 0x7f1e131749d0>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,sca,linear,351,pca
21,0.3953488372093023,0.3849272478547444,620.4184992313385,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_spsa at 0x7f1e131749d0>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,sca,circular,351,pca
22,0.4418604651162791,0.4471377459749553,614.8278238773346,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_spsa at 0x7f1e131749d0>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,sca,pairwise,351,pca
23,0.3488372093023256,0.33333333333333337,626.432745218277,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_spsa at 0x7f1e131749d0>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,sca,sca,351,pca
24,0.4186046511627907,0.3256179898633195,454.7852666378021,<function get_paulitwodesign at 0x7f1e4b5ce670>,<function get_spsa at 0x7f1e131749d0>,<function get_zfeaturemap at 0x7f1e4b5ce3a0>,,,351,pca
25,0.3953488372093023,0.4212796025145664,720.2011799812317,<function get_paulitwodesign at 0x7f1e4b5ce670>,<function get_spsa at 0x7f1e131749d0>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,,full,351,pca
26,0.3023255813953488,0.2985851357944381,537.5307128429413,<function get_paulitwodesign at 0x7f1e4b5ce670>,<function get_spsa at 0x7f1e131749d0>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,,linear,351,pca
27,0.3953488372093023,0.3817829457364341,546.5838234424591,<function get_paulitwodesign at 0x7f1e4b5ce670>,<function get_spsa at 0x7f1e131749d0>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,,circular,351,pca
28,0.4186046511627907,0.3787375415282392,531.8668787479401,<function get_paulitwodesign at 0x7f1e4b5ce670>,<function get_spsa at 0x7f1e131749d0>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,,pairwise,351,pca
29,0.27906976744186046,0.28612670408981555,551.0786826610565,<function get_paulitwodesign at 0x7f1e4b5ce670>,<function get_spsa at 0x7f1e131749d0>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,,sca,351,pca
30,0.4883720930232558,0.45529715762273903,500.4962890148163,<function get_realamplitudes at 0x7f1e449ce160>,<function get_spsa at 0x7f1e131749d0>,<function get_zfeaturemap at 0x7f1e4b5ce3a0>,full,,351,pca
31,0.32558139534883723,0.1775898520084567,456.7559423446655,<function get_realamplitudes at 0x7f1e449ce160>,<function get_spsa at 0x7f1e131749d0>,<function get_zfeaturemap at 0x7f1e4b5ce3a0>,linear,,351,pca
32,0.37209302325581395,0.2532299741602067,457.6640479564667,<function get_realamplitudes at 0x7f1e449ce160>,<function get_spsa at 0x7f1e131749d0>,<function get_zfeaturemap at 0x7f1e4b5ce3a0>,circular,,351,pca
33,0.3953488372093023,0.31540697674418605,463.33679699897766,<function get_realamplitudes at 0x7f1e449ce160>,<function get_spsa at 0x7f1e131749d0>,<function get_zfeaturemap at 0x7f1e4b5ce3a0>,sca,,351,pca
34,0.37209302325581395,0.36886304909560724,742.394882440567,<function get_realamplitudes at 0x7f1e449ce160>,<function get_spsa at 0x7f1e131749d0>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,full,full,351,pca
35,0.3488372093023256,0.3387177875549968,559.0308842658997,<function get_realamplitudes at 0x7f1e449ce160>,<function get_spsa at 0x7f1e131749d0>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,full,linear,351,pca
