index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.27906976744186046,0.25595395504394486,477.3210663795471,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_cobyla at 0x7fe0c4a51040>,<function get_zfeaturemap at 0x7fe0fbc9a1f0>,full,,163,lda
1,0.3953488372093023,0.3633806012478729,541.4468734264374,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_cobyla at 0x7fe0c4a51040>,<function get_zfeaturemap at 0x7fe0fbc9a1f0>,linear,,198,lda
2,0.3953488372093023,0.356452348381213,432.3750500679016,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_cobyla at 0x7fe0c4a51040>,<function get_zfeaturemap at 0x7fe0fbc9a1f0>,circular,,155,lda
3,0.32558139534883723,0.31454181932978104,609.9730799198151,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_cobyla at 0x7fe0c4a51040>,<function get_zfeaturemap at 0x7fe0fbc9a1f0>,sca,,221,lda
4,0.27906976744186046,0.2887190329050794,635.5642485618591,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_cobyla at 0x7fe0c4a51040>,<function get_zzfeaturemap at 0x7fe0fbc9a280>,full,full,167,lda
5,0.27906976744186046,0.2772637603845406,483.7783954143524,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_cobyla at 0x7fe0c4a51040>,<function get_zzfeaturemap at 0x7fe0fbc9a280>,full,linear,145,lda
6,0.2558139534883721,0.24407599024922083,471.8189742565155,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_cobyla at 0x7fe0c4a51040>,<function get_zzfeaturemap at 0x7fe0fbc9a280>,full,circular,140,lda
7,0.27906976744186046,0.2703488372093023,560.7966065406799,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_cobyla at 0x7fe0c4a51040>,<function get_zzfeaturemap at 0x7fe0fbc9a280>,full,pairwise,170,lda
8,0.27906976744186046,0.27273485037926154,487.04093170166016,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_cobyla at 0x7fe0c4a51040>,<function get_zzfeaturemap at 0x7fe0fbc9a280>,full,sca,145,lda
9,0.27906976744186046,0.2880029531192322,466.15119791030884,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_cobyla at 0x7fe0c4a51040>,<function get_zzfeaturemap at 0x7fe0fbc9a280>,linear,full,131,lda
10,0.20930232558139536,0.22535991140642303,604.081107378006,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_cobyla at 0x7fe0c4a51040>,<function get_zzfeaturemap at 0x7fe0fbc9a280>,linear,linear,188,lda
11,0.23255813953488372,0.22175240779891944,587.9131350517273,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_cobyla at 0x7fe0c4a51040>,<function get_zzfeaturemap at 0x7fe0fbc9a280>,linear,circular,181,lda
12,0.16279069767441862,0.16830649970184852,478.33367943763733,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_cobyla at 0x7fe0c4a51040>,<function get_zzfeaturemap at 0x7fe0fbc9a280>,linear,pairwise,151,lda
