index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.37209302325581395,0.2146062831497348,3125.823958158493,<function get_efficientsu2 at 0x7f04da45e9d0>,<function get_cobyla at 0x7f04a9df0040>,<function get_zfeaturemap at 0x7f04e10391f0>,full,,250,pca
1,0.3488372093023256,0.21403805496828757,2504.0893030166626,<function get_efficientsu2 at 0x7f04da45e9d0>,<function get_cobyla at 0x7f04a9df0040>,<function get_zfeaturemap at 0x7f04e10391f0>,linear,,228,pca
2,0.32558139534883723,0.20413436692506456,2764.726684808731,<function get_efficientsu2 at 0x7f04da45e9d0>,<function get_cobyla at 0x7f04a9df0040>,<function get_zfeaturemap at 0x7f04e10391f0>,circular,,250,pca
3,0.37209302325581395,0.2302879291251384,2759.8058314323425,<function get_efficientsu2 at 0x7f04da45e9d0>,<function get_cobyla at 0x7f04a9df0040>,<function get_zfeaturemap at 0x7f04e10391f0>,sca,,250,pca
4,0.4883720930232558,0.4978654083810808,3590.175613641739,<function get_efficientsu2 at 0x7f04da45e9d0>,<function get_cobyla at 0x7f04a9df0040>,<function get_zzfeaturemap at 0x7f04e1039280>,full,full,190,pca
5,0.32558139534883723,0.31853417899929526,3064.1477456092834,<function get_efficientsu2 at 0x7f04da45e9d0>,<function get_cobyla at 0x7f04a9df0040>,<function get_zzfeaturemap at 0x7f04e1039280>,full,linear,196,pca
6,0.27906976744186046,0.2673050615595075,3710.336622238159,<function get_efficientsu2 at 0x7f04da45e9d0>,<function get_cobyla at 0x7f04a9df0040>,<function get_zzfeaturemap at 0x7f04e1039280>,full,circular,233,pca
7,0.23255813953488372,0.2007751937984496,3915.934411764145,<function get_efficientsu2 at 0x7f04da45e9d0>,<function get_cobyla at 0x7f04a9df0040>,<function get_zzfeaturemap at 0x7f04e1039280>,full,pairwise,250,pca
8,0.37209302325581395,0.3263973888208895,3363.218740463257,<function get_efficientsu2 at 0x7f04da45e9d0>,<function get_cobyla at 0x7f04a9df0040>,<function get_zzfeaturemap at 0x7f04e1039280>,full,sca,213,pca
9,0.32558139534883723,0.3314119128072617,3619.698884010315,<function get_efficientsu2 at 0x7f04da45e9d0>,<function get_cobyla at 0x7f04a9df0040>,<function get_zzfeaturemap at 0x7f04e1039280>,linear,full,209,pca
