index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.23255813953488372,0.18944799792953007,1481.568303346634,<function get_efficientsu2 at 0x7f04da45e9d0>,<function get_neldermead at 0x7f04a9df0160>,<function get_zfeaturemap at 0x7f04e10391f0>,full,,516,lda
1,0.0,0.0,947.4493353366852,<function get_efficientsu2 at 0x7f04da45e9d0>,<function get_neldermead at 0x7f04a9df0160>,<function get_zfeaturemap at 0x7f04e10391f0>,linear,,349,lda
2,0.3488372093023256,0.23255813953488372,1331.9640984535217,<function get_efficientsu2 at 0x7f04da45e9d0>,<function get_neldermead at 0x7f04a9df0160>,<function get_zfeaturemap at 0x7f04e10391f0>,circular,,479,lda
3,0.32558139534883723,0.3372562048075044,1538.2931394577026,<function get_efficientsu2 at 0x7f04da45e9d0>,<function get_neldermead at 0x7f04a9df0160>,<function get_zfeaturemap at 0x7f04e10391f0>,sca,,555,lda
4,0.27906976744186046,0.2831129860387175,1738.8015825748444,<function get_efficientsu2 at 0x7f04da45e9d0>,<function get_neldermead at 0x7f04a9df0160>,<function get_zzfeaturemap at 0x7f04e1039280>,full,full,472,lda
5,0.13953488372093023,0.15627906976744185,1528.3997814655304,<function get_efficientsu2 at 0x7f04da45e9d0>,<function get_neldermead at 0x7f04a9df0160>,<function get_zzfeaturemap at 0x7f04e1039280>,full,linear,474,lda
6,0.3023255813953488,0.29584116357372175,1737.0464181900024,<function get_efficientsu2 at 0x7f04da45e9d0>,<function get_neldermead at 0x7f04a9df0160>,<function get_zzfeaturemap at 0x7f04e1039280>,full,circular,517,lda
7,0.13953488372093023,0.1569918453639384,1682.7213969230652,<function get_efficientsu2 at 0x7f04da45e9d0>,<function get_neldermead at 0x7f04a9df0160>,<function get_zzfeaturemap at 0x7f04e1039280>,full,pairwise,514,lda
8,0.16279069767441862,0.17758985200845667,1437.8506886959076,<function get_efficientsu2 at 0x7f04da45e9d0>,<function get_neldermead at 0x7f04a9df0160>,<function get_zzfeaturemap at 0x7f04e1039280>,full,sca,432,lda
9,0.20930232558139536,0.21544822102961636,1909.815285205841,<function get_efficientsu2 at 0x7f04da45e9d0>,<function get_neldermead at 0x7f04a9df0160>,<function get_zzfeaturemap at 0x7f04e1039280>,linear,full,548,lda
10,0.2558139534883721,0.2541394277140714,1451.715559720993,<function get_efficientsu2 at 0x7f04da45e9d0>,<function get_neldermead at 0x7f04a9df0160>,<function get_zzfeaturemap at 0x7f04e1039280>,linear,linear,468,lda
11,0.3953488372093023,0.39267629407351834,1339.63587474823,<function get_efficientsu2 at 0x7f04da45e9d0>,<function get_neldermead at 0x7f04a9df0160>,<function get_zzfeaturemap at 0x7f04e1039280>,linear,circular,430,lda
12,0.18604651162790697,0.17327861377108983,1110.1414201259613,<function get_efficientsu2 at 0x7f04da45e9d0>,<function get_neldermead at 0x7f04a9df0160>,<function get_zzfeaturemap at 0x7f04e1039280>,linear,pairwise,352,lda
13,0.23255813953488372,0.2589147286821705,2012.5479423999786,<function get_efficientsu2 at 0x7f04da45e9d0>,<function get_neldermead at 0x7f04a9df0160>,<function get_zzfeaturemap at 0x7f04e1039280>,linear,sca,634,lda
14,0.3023255813953488,0.2854122621564482,2133.614783525467,<function get_efficientsu2 at 0x7f04da45e9d0>,<function get_neldermead at 0x7f04a9df0160>,<function get_zzfeaturemap at 0x7f04e1039280>,circular,full,590,lda
15,0.23255813953488372,0.22344921930279732,1746.51491689682,<function get_efficientsu2 at 0x7f04da45e9d0>,<function get_neldermead at 0x7f04a9df0160>,<function get_zzfeaturemap at 0x7f04e1039280>,circular,linear,561,lda
16,0.3023255813953488,0.25346488137185813,1507.9865505695343,<function get_efficientsu2 at 0x7f04da45e9d0>,<function get_neldermead at 0x7f04a9df0160>,<function get_zzfeaturemap at 0x7f04e1039280>,circular,circular,471,lda
17,0.23255813953488372,0.22121846251036448,1324.5432362556458,<function get_efficientsu2 at 0x7f04da45e9d0>,<function get_neldermead at 0x7f04a9df0160>,<function get_zzfeaturemap at 0x7f04e1039280>,circular,pairwise,429,lda
18,0.4186046511627907,0.3737257843872733,1407.3311529159546,<function get_efficientsu2 at 0x7f04da45e9d0>,<function get_neldermead at 0x7f04a9df0160>,<function get_zzfeaturemap at 0x7f04e1039280>,circular,sca,436,lda
19,0.2558139534883721,0.2550562452643236,1707.0853788852692,<function get_efficientsu2 at 0x7f04da45e9d0>,<function get_neldermead at 0x7f04a9df0160>,<function get_zzfeaturemap at 0x7f04e1039280>,sca,full,475,lda
20,0.2558139534883721,0.23382663847780127,1592.4562690258026,<function get_efficientsu2 at 0x7f04da45e9d0>,<function get_neldermead at 0x7f04a9df0160>,<function get_zzfeaturemap at 0x7f04e1039280>,sca,linear,506,lda
21,0.32558139534883723,0.2975612057172508,1510.6000158786774,<function get_efficientsu2 at 0x7f04da45e9d0>,<function get_neldermead at 0x7f04a9df0160>,<function get_zzfeaturemap at 0x7f04e1039280>,sca,circular,471,lda
22,0.2558139534883721,0.2857646229739253,1468.7513589859009,<function get_efficientsu2 at 0x7f04da45e9d0>,<function get_neldermead at 0x7f04a9df0160>,<function get_zzfeaturemap at 0x7f04e1039280>,sca,pairwise,471,lda
23,0.3488372093023256,0.3420105026256564,1521.348088979721,<function get_efficientsu2 at 0x7f04da45e9d0>,<function get_neldermead at 0x7f04a9df0160>,<function get_zzfeaturemap at 0x7f04e1039280>,sca,sca,482,lda
24,0.23255813953488372,0.20519835841313272,1187.4864053726196,<function get_paulitwodesign at 0x7f04e10394c0>,<function get_neldermead at 0x7f04a9df0160>,<function get_zfeaturemap at 0x7f04e10391f0>,,,436,lda
25,0.046511627906976744,0.04510218463706836,1467.5432069301605,<function get_paulitwodesign at 0x7f04e10394c0>,<function get_neldermead at 0x7f04a9df0160>,<function get_zzfeaturemap at 0x7f04e1039280>,,full,419,lda
26,0.09302325581395349,0.11162790697674418,1195.2267436981201,<function get_paulitwodesign at 0x7f04e10394c0>,<function get_neldermead at 0x7f04a9df0160>,<function get_zzfeaturemap at 0x7f04e1039280>,,linear,386,lda
