index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.2558139534883721,0.21834625322997417,1255.9880197048187,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_neldermead at 0x7fe0c4a51160>,<function get_zfeaturemap at 0x7fe0fbc9a1f0>,full,,432,lda
1,0.3023255813953488,0.31853417899929526,1296.5197234153748,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_neldermead at 0x7fe0c4a51160>,<function get_zfeaturemap at 0x7fe0fbc9a1f0>,linear,,473,lda
2,0.23255813953488372,0.20662768031189085,1329.7021849155426,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_neldermead at 0x7fe0c4a51160>,<function get_zfeaturemap at 0x7fe0fbc9a1f0>,circular,,475,lda
3,0.18604651162790697,0.2283676836175373,1451.9155645370483,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_neldermead at 0x7fe0c4a51160>,<function get_zfeaturemap at 0x7fe0fbc9a1f0>,sca,,520,lda
4,0.2558139534883721,0.265374677002584,1925.1519508361816,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_neldermead at 0x7fe0c4a51160>,<function get_zzfeaturemap at 0x7fe0fbc9a280>,full,full,514,lda
5,0.2558139534883721,0.2706022659511032,1592.023936033249,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_neldermead at 0x7fe0c4a51160>,<function get_zzfeaturemap at 0x7fe0fbc9a280>,full,linear,481,lda
6,0.3023255813953488,0.3124769287559985,1749.3178555965424,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_neldermead at 0x7fe0c4a51160>,<function get_zzfeaturemap at 0x7fe0fbc9a280>,full,circular,517,lda
7,0.27906976744186046,0.27714285714285714,1817.8347890377045,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_neldermead at 0x7fe0c4a51160>,<function get_zzfeaturemap at 0x7fe0fbc9a280>,full,pairwise,552,lda
8,0.2558139534883721,0.27506014434643145,1595.7806868553162,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_neldermead at 0x7fe0c4a51160>,<function get_zzfeaturemap at 0x7fe0fbc9a280>,full,sca,472,lda
9,0.23255813953488372,0.2440753045404208,1686.3805782794952,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_neldermead at 0x7fe0c4a51160>,<function get_zzfeaturemap at 0x7fe0fbc9a280>,linear,full,479,lda
10,0.2558139534883721,0.2480320080020005,1338.0311160087585,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_neldermead at 0x7fe0c4a51160>,<function get_zzfeaturemap at 0x7fe0fbc9a280>,linear,linear,428,lda
11,0.13953488372093023,0.1528523156430133,1635.3544874191284,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_neldermead at 0x7fe0c4a51160>,<function get_zzfeaturemap at 0x7fe0fbc9a280>,linear,circular,517,lda
12,0.18604651162790697,0.15503875968992248,1342.8969821929932,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_neldermead at 0x7fe0c4a51160>,<function get_zzfeaturemap at 0x7fe0fbc9a280>,linear,pairwise,428,lda
13,0.3488372093023256,0.29844961240310075,1490.6091105937958,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_neldermead at 0x7fe0c4a51160>,<function get_zzfeaturemap at 0x7fe0fbc9a280>,linear,sca,472,lda
14,0.2558139534883721,0.2381833282996074,1819.220990896225,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_neldermead at 0x7fe0c4a51160>,<function get_zzfeaturemap at 0x7fe0fbc9a280>,circular,full,505,lda
15,0.20930232558139536,0.2244747393744988,1452.8161058425903,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_neldermead at 0x7fe0c4a51160>,<function get_zzfeaturemap at 0x7fe0fbc9a280>,circular,linear,466,lda
16,0.23255813953488372,0.23497307824493066,1522.0896618366241,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_neldermead at 0x7fe0c4a51160>,<function get_zzfeaturemap at 0x7fe0fbc9a280>,circular,circular,472,lda
17,0.27906976744186046,0.29175475687103597,1276.6460075378418,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_neldermead at 0x7fe0c4a51160>,<function get_zzfeaturemap at 0x7fe0fbc9a280>,circular,pairwise,407,lda
18,0.2558139534883721,0.28358833616669815,1636.2203977108002,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_neldermead at 0x7fe0c4a51160>,<function get_zzfeaturemap at 0x7fe0fbc9a280>,circular,sca,508,lda
19,0.32558139534883723,0.31041331761511803,1709.187029838562,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_neldermead at 0x7fe0c4a51160>,<function get_zzfeaturemap at 0x7fe0fbc9a280>,sca,full,480,lda
20,0.27906976744186046,0.3041144901610017,1738.349573135376,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_neldermead at 0x7fe0c4a51160>,<function get_zzfeaturemap at 0x7fe0fbc9a280>,sca,linear,553,lda
21,0.2558139534883721,0.2891527077573589,2015.0127303600311,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_neldermead at 0x7fe0c4a51160>,<function get_zzfeaturemap at 0x7fe0fbc9a280>,sca,circular,633,lda
22,0.20930232558139536,0.20930232558139536,1508.0239353179932,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_neldermead at 0x7fe0c4a51160>,<function get_zzfeaturemap at 0x7fe0fbc9a280>,sca,pairwise,473,lda
23,0.2558139534883721,0.2889405684754522,1924.8020958900452,<function get_efficientsu2 at 0x7fe0f50c09d0>,<function get_neldermead at 0x7fe0c4a51160>,<function get_zzfeaturemap at 0x7fe0fbc9a280>,sca,sca,596,lda
24,0.2558139534883721,0.2672057168997194,1177.7767879962921,<function get_paulitwodesign at 0x7fe0fbc9a4c0>,<function get_neldermead at 0x7fe0c4a51160>,<function get_zfeaturemap at 0x7fe0fbc9a1f0>,,,425,lda
25,0.2558139534883721,0.257677010684228,1471.199301481247,<function get_paulitwodesign at 0x7fe0fbc9a4c0>,<function get_neldermead at 0x7fe0c4a51160>,<function get_zzfeaturemap at 0x7fe0fbc9a280>,,full,412,lda
26,0.3023255813953488,0.29483942414174974,1138.7324907779694,<function get_paulitwodesign at 0x7fe0fbc9a4c0>,<function get_neldermead at 0x7fe0c4a51160>,<function get_zzfeaturemap at 0x7fe0fbc9a280>,,linear,363,lda
27,0.20930232558139536,0.20475808607324242,1303.3088347911835,<function get_paulitwodesign at 0x7fe0fbc9a4c0>,<function get_neldermead at 0x7fe0c4a51160>,<function get_zzfeaturemap at 0x7fe0fbc9a280>,,circular,403,lda
28,0.20930232558139536,0.21796311146752204,1376.9827210903168,<function get_paulitwodesign at 0x7fe0fbc9a4c0>,<function get_neldermead at 0x7fe0c4a51160>,<function get_zzfeaturemap at 0x7fe0fbc9a280>,,pairwise,439,lda
29,0.3023255813953488,0.32397975984322347,1335.2490723133087,<function get_paulitwodesign at 0x7fe0fbc9a4c0>,<function get_neldermead at 0x7fe0c4a51160>,<function get_zzfeaturemap at 0x7fe0fbc9a280>,,sca,416,lda
30,0.4186046511627907,0.36325293160233596,1240.4448511600494,<function get_realamplitudes at 0x7fe0f55e3550>,<function get_neldermead at 0x7fe0c4a51160>,<function get_zfeaturemap at 0x7fe0fbc9a1f0>,full,,456,lda
31,0.27906976744186046,0.2722160040901491,956.0946600437164,<function get_realamplitudes at 0x7fe0f55e3550>,<function get_neldermead at 0x7fe0c4a51160>,<function get_zfeaturemap at 0x7fe0fbc9a1f0>,linear,,377,lda
32,0.32558139534883723,0.2961268244989176,1085.9642717838287,<function get_realamplitudes at 0x7fe0f55e3550>,<function get_neldermead at 0x7fe0c4a51160>,<function get_zfeaturemap at 0x7fe0fbc9a1f0>,circular,,429,lda
33,0.16279069767441862,0.22035726322885069,1157.5292859077454,<function get_realamplitudes at 0x7fe0f55e3550>,<function get_neldermead at 0x7fe0c4a51160>,<function get_zfeaturemap at 0x7fe0fbc9a1f0>,sca,,458,lda
34,0.3488372093023256,0.33708427106776695,1359.124295949936,<function get_realamplitudes at 0x7fe0f55e3550>,<function get_neldermead at 0x7fe0c4a51160>,<function get_zzfeaturemap at 0x7fe0fbc9a280>,full,full,389,lda
