index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.27906976744186046,0.22264505520319472,580.5580687522888,<function get_efficientsu2 at 0x7f0b3342d9d0>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zfeaturemap at 0x7f0b3a0071f0>,full,,201,lda
1,0.4418604651162791,0.41056128693827587,551.0542197227478,<function get_efficientsu2 at 0x7f0b3342d9d0>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zfeaturemap at 0x7f0b3a0071f0>,linear,,201,lda
2,0.3953488372093023,0.34893950760417375,573.7945654392242,<function get_efficientsu2 at 0x7f0b3342d9d0>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zfeaturemap at 0x7f0b3a0071f0>,circular,,201,lda
3,0.37209302325581395,0.3222591362126246,551.5086424350739,<function get_efficientsu2 at 0x7f0b3342d9d0>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zfeaturemap at 0x7f0b3a0071f0>,sca,,201,lda
4,0.27906976744186046,0.2762357255980662,751.0713260173798,<function get_efficientsu2 at 0x7f0b3342d9d0>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,full,full,201,lda
5,0.32558139534883723,0.32361824222289337,651.9830703735352,<function get_efficientsu2 at 0x7f0b3342d9d0>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,full,linear,201,lda
6,0.3488372093023256,0.34609662516639267,677.5121085643768,<function get_efficientsu2 at 0x7f0b3342d9d0>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,full,circular,201,lda
7,0.2558139534883721,0.25700021064379397,659.9898743629456,<function get_efficientsu2 at 0x7f0b3342d9d0>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,full,pairwise,201,lda
8,0.32558139534883723,0.3216764084069146,675.3513174057007,<function get_efficientsu2 at 0x7f0b3342d9d0>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,full,sca,201,lda
9,0.20930232558139536,0.20703714889761402,710.2129471302032,<function get_efficientsu2 at 0x7f0b3342d9d0>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,linear,full,201,lda
10,0.20930232558139536,0.19825581395348837,632.3435122966766,<function get_efficientsu2 at 0x7f0b3342d9d0>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,linear,linear,201,lda
11,0.16279069767441862,0.16990117094491014,642.3226537704468,<function get_efficientsu2 at 0x7f0b3342d9d0>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,linear,circular,201,lda
12,0.18604651162790697,0.17785542444724478,632.8492577075958,<function get_efficientsu2 at 0x7f0b3342d9d0>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,linear,pairwise,201,lda
13,0.18604651162790697,0.2057039458803693,644.5858845710754,<function get_efficientsu2 at 0x7f0b3342d9d0>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,linear,sca,201,lda
14,0.23255813953488372,0.21871539313399777,726.0200068950653,<function get_efficientsu2 at 0x7f0b3342d9d0>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,circular,full,201,lda
15,0.23255813953488372,0.22175240779891944,634.2521696090698,<function get_efficientsu2 at 0x7f0b3342d9d0>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,circular,linear,201,lda
16,0.23255813953488372,0.21376811594202902,647.3707551956177,<function get_efficientsu2 at 0x7f0b3342d9d0>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,circular,circular,201,lda
17,0.27906976744186046,0.27929338103756707,629.8737823963165,<function get_efficientsu2 at 0x7f0b3342d9d0>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,circular,pairwise,201,lda
18,0.2558139534883721,0.26578073089700993,650.6722576618195,<function get_efficientsu2 at 0x7f0b3342d9d0>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,circular,sca,201,lda
19,0.13953488372093023,0.1473073838751465,716.2751038074493,<function get_efficientsu2 at 0x7f0b3342d9d0>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,sca,full,201,lda
20,0.27906976744186046,0.25922480620155036,626.9299042224884,<function get_efficientsu2 at 0x7f0b3342d9d0>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,sca,linear,201,lda
21,0.3023255813953488,0.29739252995066945,639.229240655899,<function get_efficientsu2 at 0x7f0b3342d9d0>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,sca,circular,201,lda
22,0.2558139534883721,0.24773110273615837,635.5800881385803,<function get_efficientsu2 at 0x7f0b3342d9d0>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,sca,pairwise,201,lda
23,0.16279069767441862,0.15298677610579114,648.0549919605255,<function get_efficientsu2 at 0x7f0b3342d9d0>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,sca,sca,201,lda
24,0.4186046511627907,0.41300602928509905,544.9599952697754,<function get_paulitwodesign at 0x7f0b3a0074c0>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zfeaturemap at 0x7f0b3a0071f0>,,,201,lda
25,0.3023255813953488,0.3229112833763997,699.153706073761,<function get_paulitwodesign at 0x7f0b3a0074c0>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,,full,201,lda
26,0.2558139534883721,0.26624437370227266,614.7067093849182,<function get_paulitwodesign at 0x7f0b3a0074c0>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,,linear,201,lda
27,0.20930232558139536,0.2164305444177136,633.2629318237305,<function get_paulitwodesign at 0x7f0b3a0074c0>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,,circular,201,lda
28,0.2558139534883721,0.2548449612403101,613.3116321563721,<function get_paulitwodesign at 0x7f0b3a0074c0>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,,pairwise,201,lda
29,0.13953488372093023,0.11313639220615963,637.5277757644653,<function get_paulitwodesign at 0x7f0b3a0074c0>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,,sca,201,lda
30,0.32558139534883723,0.30455426356589144,529.5485990047455,<function get_realamplitudes at 0x7f0b33950550>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zfeaturemap at 0x7f0b3a0071f0>,full,,201,lda
31,0.3488372093023256,0.2917000801924619,497.2315876483917,<function get_realamplitudes at 0x7f0b33950550>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zfeaturemap at 0x7f0b3a0071f0>,linear,,201,lda
32,0.37209302325581395,0.30655391120507397,503.4589478969574,<function get_realamplitudes at 0x7f0b33950550>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zfeaturemap at 0x7f0b3a0071f0>,circular,,201,lda
33,0.37209302325581395,0.3488372093023256,500.10657262802124,<function get_realamplitudes at 0x7f0b33950550>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zfeaturemap at 0x7f0b3a0071f0>,sca,,201,lda
34,0.20930232558139536,0.20964636980814938,678.1834406852722,<function get_realamplitudes at 0x7f0b33950550>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,full,full,201,lda
35,0.18604651162790697,0.20132305803723657,592.6639106273651,<function get_realamplitudes at 0x7f0b33950550>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,full,linear,201,lda
36,0.20930232558139536,0.1851202487677396,613.1495959758759,<function get_realamplitudes at 0x7f0b33950550>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,full,circular,201,lda
37,0.18604651162790697,0.16330749354005167,594.1454255580902,<function get_realamplitudes at 0x7f0b33950550>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,full,pairwise,201,lda
38,0.2558139534883721,0.2639223024146842,610.0361328125,<function get_realamplitudes at 0x7f0b33950550>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,full,sca,201,lda
39,0.27906976744186046,0.262727844123193,647.7135891914368,<function get_realamplitudes at 0x7f0b33950550>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,linear,full,201,lda
40,0.23255813953488372,0.22189636078970484,584.0726611614227,<function get_realamplitudes at 0x7f0b33950550>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,linear,linear,201,lda
41,0.2558139534883721,0.26275392958911664,585.5523540973663,<function get_realamplitudes at 0x7f0b33950550>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,linear,circular,201,lda
42,0.27906976744186046,0.2355112587670727,566.1414089202881,<function get_realamplitudes at 0x7f0b33950550>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,linear,pairwise,201,lda
43,0.13953488372093023,0.13405635062611806,580.5695109367371,<function get_realamplitudes at 0x7f0b33950550>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,linear,sca,201,lda
44,0.3023255813953488,0.28294573643410853,653.6760544776917,<function get_realamplitudes at 0x7f0b33950550>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,circular,full,201,lda
45,0.32558139534883723,0.31298629255014904,572.9871842861176,<function get_realamplitudes at 0x7f0b33950550>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,circular,linear,201,lda
46,0.3023255813953488,0.30870217554388596,584.4527177810669,<function get_realamplitudes at 0x7f0b33950550>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,circular,circular,201,lda
47,0.20930232558139536,0.19489198318388373,571.0404183864594,<function get_realamplitudes at 0x7f0b33950550>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,circular,pairwise,201,lda
48,0.27906976744186046,0.26106526631657917,591.5062139034271,<function get_realamplitudes at 0x7f0b33950550>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,circular,sca,201,lda
49,0.16279069767441862,0.18655682729459797,654.9135119915009,<function get_realamplitudes at 0x7f0b33950550>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,sca,full,201,lda
50,0.2558139534883721,0.2615478597910347,583.1426320075989,<function get_realamplitudes at 0x7f0b33950550>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,sca,linear,201,lda
51,0.23255813953488372,0.25306478405315613,587.0370714664459,<function get_realamplitudes at 0x7f0b33950550>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,sca,circular,201,lda
52,0.3023255813953488,0.29651162790697677,584.4736425876617,<function get_realamplitudes at 0x7f0b33950550>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,sca,pairwise,201,lda
53,0.32558139534883723,0.3229974160206718,592.7308828830719,<function get_realamplitudes at 0x7f0b33950550>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,sca,sca,201,lda
54,0.3953488372093023,0.3570788379505771,529.8650805950165,<function get_twolocal at 0x7f0b3a007310>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zfeaturemap at 0x7f0b3a0071f0>,full,,201,lda
55,0.3953488372093023,0.3658396204402271,495.9237051010132,<function get_twolocal at 0x7f0b3a007310>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zfeaturemap at 0x7f0b3a0071f0>,linear,,201,lda
56,0.2558139534883721,0.25193798449612403,502.9848198890686,<function get_twolocal at 0x7f0b3a007310>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zfeaturemap at 0x7f0b3a0071f0>,circular,,201,lda
57,0.3953488372093023,0.3749723145071983,501.37242460250854,<function get_twolocal at 0x7f0b3a007310>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zfeaturemap at 0x7f0b3a0071f0>,pairwise,,201,lda
58,0.18604651162790697,0.18257418257418256,499.20861887931824,<function get_twolocal at 0x7f0b3a007310>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zfeaturemap at 0x7f0b3a0071f0>,sca,,201,lda
59,0.11627906976744186,0.11960132890365449,685.6168253421783,<function get_twolocal at 0x7f0b3a007310>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,full,full,201,lda
60,0.18604651162790697,0.18173515710943547,600.1761960983276,<function get_twolocal at 0x7f0b3a007310>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,full,linear,201,lda
61,0.2558139534883721,0.25948168971424784,590.9464592933655,<function get_twolocal at 0x7f0b3a007310>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,full,circular,201,lda
62,0.2558139534883721,0.2598235765838011,603.9618310928345,<function get_twolocal at 0x7f0b3a007310>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,full,pairwise,201,lda
63,0.2558139534883721,0.24391758112688347,591.3813135623932,<function get_twolocal at 0x7f0b3a007310>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,full,sca,201,lda
64,0.27906976744186046,0.277626303127506,609.3345477581024,<function get_twolocal at 0x7f0b3a007310>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,linear,full,201,lda
65,0.23255813953488372,0.2201550387596899,392.19391679763794,<function get_twolocal at 0x7f0b3a007310>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,linear,linear,201,lda
66,0.20930232558139536,0.19710873664362039,459.7553379535675,<function get_twolocal at 0x7f0b3a007310>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,linear,circular,201,lda
67,0.3023255813953488,0.27605317618997505,368.66936469078064,<function get_twolocal at 0x7f0b3a007310>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,linear,pairwise,201,lda
68,0.3023255813953488,0.2754678568632057,454.2483777999878,<function get_twolocal at 0x7f0b3a007310>,<function get_spsa at 0x7f0b02dbf0d0>,<function get_zzfeaturemap at 0x7f0b3a007280>,linear,sca,201,lda
