index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing,number_init
0,0.696,0.6573105035526721,2498.0556964874268,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zfeaturemap at 0x7ffa1d716430>,full,,500,lda,0.05
0,0.696,0.6764913925191528,2461.278153181076,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zfeaturemap at 0x7ffa1d716430>,full,,500,lda,0.1
0,0.728,0.7246446076660645,2126.025494813919,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zfeaturemap at 0x7ffa1d716430>,full,,432,lda,0.15000000000000002
0,0.664,0.6353998537806148,2478.7957282066345,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zfeaturemap at 0x7ffa1d716430>,full,,500,lda,0.2
0,0.692,0.6668683209263854,2496.651629924774,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zfeaturemap at 0x7ffa1d716430>,full,,500,lda,0.25
1,0.652,0.630820791145824,1845.5157408714294,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zfeaturemap at 0x7ffa1d716430>,linear,,405,lda,0.05
1,0.716,0.6570092072093932,2295.4142141342163,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zfeaturemap at 0x7ffa1d716430>,linear,,499,lda,0.1
1,0.668,0.6103894370561037,1796.7373468875885,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zfeaturemap at 0x7ffa1d716430>,linear,,394,lda,0.15000000000000002
1,0.704,0.7054088655990567,2120.8990771770477,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zfeaturemap at 0x7ffa1d716430>,linear,,467,lda,0.2
1,0.74,0.7163768905021175,2218.0016186237335,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zfeaturemap at 0x7ffa1d716430>,linear,,500,lda,0.25
