index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.844,0.833681860281699,2513.658066034317,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_cobyla at 0x7f1c85bee940>,<function get_zfeaturemap at 0x7f1cbe0493a0>,full,,500,lda
1,0.964,0.9508337468982629,2238.8346078395844,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_cobyla at 0x7f1c85bee940>,<function get_zfeaturemap at 0x7f1cbe0493a0>,linear,,500,lda
2,0.968,0.9530700236034618,2338.7138657569885,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_cobyla at 0x7f1c85bee940>,<function get_zfeaturemap at 0x7f1cbe0493a0>,circular,,500,lda
3,0.968,0.9565978494623655,2269.0089638233185,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_cobyla at 0x7f1c85bee940>,<function get_zfeaturemap at 0x7f1cbe0493a0>,sca,,500,lda
4,0.808,0.7551070967741934,3462.692770957947,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_cobyla at 0x7f1c85bee940>,<function get_zzfeaturemap at 0x7f1cbe049430>,full,full,468,lda
5,0.952,0.9409682011905688,2885.693767786026,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_cobyla at 0x7f1c85bee940>,<function get_zzfeaturemap at 0x7f1cbe049430>,full,linear,500,lda
6,0.96,0.9522254356692622,2969.4566411972046,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_cobyla at 0x7f1c85bee940>,<function get_zzfeaturemap at 0x7f1cbe049430>,full,circular,500,lda
7,0.952,0.9401290322580645,2900.3332357406616,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_cobyla at 0x7f1c85bee940>,<function get_zzfeaturemap at 0x7f1cbe049430>,full,pairwise,500,lda
8,0.96,0.9610658240155567,2982.3633947372437,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_cobyla at 0x7f1c85bee940>,<function get_zzfeaturemap at 0x7f1cbe049430>,full,sca,500,lda
9,0.832,0.7949350731227373,3523.414921760559,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_cobyla at 0x7f1c85bee940>,<function get_zzfeaturemap at 0x7f1cbe049430>,linear,full,500,lda
10,0.956,0.9464086735046553,2712.708558320999,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_cobyla at 0x7f1c85bee940>,<function get_zzfeaturemap at 0x7f1cbe049430>,linear,linear,500,lda
11,0.884,0.8810036837391387,2390.891138315201,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_cobyla at 0x7f1c85bee940>,<function get_zzfeaturemap at 0x7f1cbe049430>,linear,circular,435,lda
