index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.968,0.9528471248246845,3202.8210496902466,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zfeaturemap at 0x7ff37478f1f0>,full,,500,lda
1,0.968,0.9528471248246845,2818.802526473999,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zfeaturemap at 0x7ff37478f1f0>,linear,,500,lda
2,0.964,0.9506773333333333,2796.5839977264404,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zfeaturemap at 0x7ff37478f1f0>,circular,,500,lda
3,0.968,0.9530700236034618,2796.972190618515,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zfeaturemap at 0x7ff37478f1f0>,sca,,500,lda
4,0.904,0.896508854781582,4913.240097284317,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,full,full,500,lda
5,0.856,0.8377928385080702,3791.535069465637,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,full,linear,500,lda
6,0.956,0.9485206906001644,3785.8267064094543,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,full,circular,500,lda
7,0.96,0.9510537834095112,3681.497153520584,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,full,pairwise,500,lda
8,0.952,0.9483655353378931,3807.3786883354187,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,full,sca,500,lda
9,0.944,0.9420608199815199,4450.29554271698,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,linear,full,500,lda
10,0.96,0.9487756272401434,3344.316834926605,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,linear,linear,500,lda
11,0.936,0.9292884669008981,3404.969743490219,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,linear,circular,500,lda
12,0.96,0.9522105951602354,3368.4973883628845,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,linear,pairwise,500,lda
13,0.944,0.9469339260299079,3505.405116081238,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,linear,sca,500,lda
14,0.868,0.843609158259773,4559.209763050079,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,circular,full,500,lda
15,0.948,0.9413703500121251,3359.4462018013,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,circular,linear,500,lda
16,0.96,0.9544626014033463,3458.309802532196,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,circular,circular,500,lda
17,0.96,0.9522962076519355,3438.9977679252625,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,circular,pairwise,500,lda
18,0.956,0.9523636363636364,3550.7425541877747,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,circular,sca,500,lda
19,0.908,0.9056956230859835,4153.049834012985,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,sca,full,449,lda
20,0.96,0.9534849753255248,3335.0946910381317,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,sca,linear,500,lda
21,0.964,0.9600234803792081,3413.8938715457916,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,sca,circular,500,lda
22,0.964,0.9596132808226672,3022.4458627700806,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,sca,pairwise,450,lda
23,0.948,0.9399983603197377,3433.3974080085754,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,sca,sca,500,lda
24,0.948,0.9476835637480798,1405.450520515442,<function get_paulitwodesign at 0x7ff37478f4c0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zfeaturemap at 0x7ff37478f1f0>,,,286,lda
25,0.792,0.8183991466160958,1695.3658130168915,<function get_paulitwodesign at 0x7ff37478f4c0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,,full,204,lda
26,0.96,0.9470557263136671,1145.5645220279694,<function get_paulitwodesign at 0x7ff37478f4c0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,,linear,194,lda
27,0.892,0.8773464138456966,1349.991004228592,<function get_paulitwodesign at 0x7ff37478f4c0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,,circular,215,lda
28,0.948,0.9361788018433179,1276.450650691986,<function get_paulitwodesign at 0x7ff37478f4c0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,,pairwise,220,lda
