index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.568,0.4910523809523809,2538.4938514232635,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zfeaturemap at 0x7f59d20123a0>,full,,500,lda
1,0.968,0.9530700236034618,2329.1750383377075,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zfeaturemap at 0x7f59d20123a0>,linear,,500,lda
2,0.972,0.9586139666784828,2357.092520236969,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zfeaturemap at 0x7f59d20123a0>,circular,,500,lda
3,0.964,0.9507927111484389,2305.0053951740265,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zfeaturemap at 0x7f59d20123a0>,sca,,500,lda
4,0.904,0.8926191065537897,3690.527580976486,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,full,full,500,lda
5,0.888,0.890424728634115,2831.076269388199,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,full,linear,500,lda
6,0.956,0.9522303607124742,2959.1998410224915,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,full,circular,500,lda
7,0.944,0.9341779359430604,2865.6436297893524,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,full,pairwise,500,lda
8,0.96,0.9507273712737128,2963.5647962093353,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,full,sca,500,lda
9,0.916,0.9113219858156029,3387.2574689388275,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,linear,full,483,lda
10,0.972,0.9656888888888888,2692.052713871002,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,linear,linear,500,lda
11,0.964,0.9543177644137462,2779.884424686432,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,linear,circular,500,lda
12,0.952,0.9518515542802486,2293.404229402542,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,linear,pairwise,427,lda
13,0.948,0.9436699532952776,2264.5695180892944,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,linear,sca,412,lda
14,0.808,0.7490692364869269,3532.8171780109406,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,circular,full,500,lda
15,0.82,0.770111202166817,2702.178968191147,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,circular,linear,500,lda
16,0.96,0.9485436464579984,2825.820535182953,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,circular,circular,500,lda
17,0.836,0.8055122322953621,2718.1395387649536,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,circular,pairwise,500,lda
