index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.708,0.6894996702660526,3116.8954079151154,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zfeaturemap at 0x7f11688221f0>,full,,488,lda
1,0.696,0.7053383431632387,2807.1173536777496,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zfeaturemap at 0x7f11688221f0>,linear,,500,lda
2,0.704,0.6764993267851231,2895.2898457050323,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zfeaturemap at 0x7f11688221f0>,circular,,500,lda
3,0.62,0.571145922959007,2761.251931667328,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zfeaturemap at 0x7f11688221f0>,sca,,479,lda
4,0.616,0.6365140311782768,4126.8509793281555,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,full,full,422,lda
5,0.632,0.64522100700997,3717.270420074463,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,full,linear,500,lda
6,0.572,0.5756421608008991,2707.3749027252197,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,full,circular,350,lda
7,0.584,0.606770909090909,3447.7703845500946,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,full,pairwise,459,lda
8,0.568,0.5740268516746391,3860.3014159202576,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,full,sca,500,lda
9,0.616,0.6323701665343371,4213.1594178676605,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,linear,full,463,lda
10,0.644,0.6725853828409525,1717.0287773609161,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,linear,linear,257,lda
11,0.584,0.6238493185992868,2730.6843028068542,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,linear,circular,399,lda
12,0.66,0.66419769699162,3414.4632589817047,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,linear,pairwise,500,lda
13,0.624,0.638117277189024,3475.9870274066925,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,linear,sca,500,lda
14,0.616,0.6303145032492082,4598.664594650269,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,circular,full,500,lda
15,0.612,0.6202297970831524,2581.7815430164337,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,circular,linear,373,lda
16,0.58,0.589535740682082,2957.9346113204956,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,circular,circular,421,lda
