index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
20,0.712,0.6960319334834748,3196.6638622283936,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zfeaturemap at 0x7feaf26b6d30>,full,,500,lda
21,0.724,0.7233717802991444,2494.8341903686523,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zfeaturemap at 0x7feaf26b6d30>,linear,,441,lda
22,0.592,0.5395879399683196,2819.469733953476,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zfeaturemap at 0x7feaf26b6d30>,circular,,500,lda
23,0.632,0.6031324115788927,2706.5252406597137,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zfeaturemap at 0x7feaf26b6d30>,sca,,478,lda
24,0.6,0.6136283400809718,4401.300441503525,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,full,full,433,lda
25,0.636,0.6472518354274451,2770.936164855957,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,full,linear,364,lda
26,0.612,0.6324984337888541,3840.4882130622864,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,full,circular,500,lda
27,0.612,0.6192459574468084,3744.2338511943817,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,full,pairwise,500,lda
28,0.604,0.6193752605347296,3250.0250675678253,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,full,sca,426,lda
29,0.604,0.6285842086948549,4438.3383910655975,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,linear,full,495,lda
30,0.672,0.6798303030303031,2946.356374979019,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,linear,linear,439,lda
31,0.612,0.6243794029417612,2793.096474170685,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,linear,circular,408,lda
32,0.628,0.645228342942161,2527.883901834488,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,linear,pairwise,379,lda
33,0.612,0.6259563146085524,3414.3503773212437,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,linear,sca,500,lda
34,0.592,0.6005885152103957,3759.425127029419,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,circular,full,414,lda
35,0.6,0.615062223783744,3353.1276066303253,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,circular,linear,500,lda
36,0.624,0.6571910058544809,2025.249491930008,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,circular,circular,288,lda
37,0.636,0.6581057214303576,3320.652881860733,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,circular,pairwise,490,lda
38,0.568,0.5655620400180532,3057.530635356903,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,circular,sca,441,lda
39,0.6,0.6142491370160013,4533.736139297485,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,sca,full,483,lda
40,0.664,0.6937119047619047,3246.203185081482,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,sca,linear,473,lda
41,0.58,0.5960292899091486,3458.3921542167664,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,sca,circular,500,lda
42,0.628,0.6367172413793103,3429.7246572971344,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,sca,pairwise,500,lda
43,0.592,0.5920543549283243,3436.744322538376,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,sca,sca,487,lda
49,0.648,0.6192747682719992,1007.328600168228,<function get_paulitwodesign at 0x7feaec011820>,<function get_cobyla at 0x7feaebaef820>,<function get_zfeaturemap at 0x7feaf26b6d30>,,,213,lda
50,0.604,0.622391683433937,1323.464997291565,<function get_paulitwodesign at 0x7feaec011820>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,,full,162,lda
51,0.628,0.6398506810552674,1057.1704585552216,<function get_paulitwodesign at 0x7feaec011820>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,,linear,185,lda
52,0.568,0.5809340800400444,1176.4987049102783,<function get_paulitwodesign at 0x7feaec011820>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,,circular,200,lda
53,0.608,0.6227212981744421,1167.8527646064758,<function get_paulitwodesign at 0x7feaec011820>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,,pairwise,203,lda
54,0.556,0.5556952022251053,1392.7269871234894,<function get_paulitwodesign at 0x7feaec011820>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,,sca,238,lda
75,0.728,0.7209031646247267,1217.1320672035215,<function get_realamplitudes at 0x7feaebaef700>,<function get_cobyla at 0x7feaebaef820>,<function get_zfeaturemap at 0x7feaf26b6d30>,full,,225,lda
76,0.704,0.680074833854851,943.5016596317292,<function get_realamplitudes at 0x7feaebaef700>,<function get_cobyla at 0x7feaebaef820>,<function get_zfeaturemap at 0x7feaf26b6d30>,linear,,208,lda
77,0.64,0.6095414712153518,1174.5419652462006,<function get_realamplitudes at 0x7feaebaef700>,<function get_cobyla at 0x7feaebaef820>,<function get_zfeaturemap at 0x7feaf26b6d30>,circular,,251,lda
78,0.644,0.626778261560464,1077.5513327121737,<function get_realamplitudes at 0x7feaebaef700>,<function get_cobyla at 0x7feaebaef820>,<function get_zfeaturemap at 0x7feaf26b6d30>,sca,,231,lda
79,0.588,0.6012156074675592,1731.280041694641,<function get_realamplitudes at 0x7feaebaef700>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,full,full,196,lda
80,0.636,0.6552830409356725,1558.776037454605,<function get_realamplitudes at 0x7feaebaef700>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,full,linear,242,lda
81,0.584,0.5936507569763149,1033.9410424232483,<function get_realamplitudes at 0x7feaebaef700>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,full,circular,158,lda
82,0.64,0.6830245098039216,1342.581716299057,<function get_realamplitudes at 0x7feaebaef700>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,full,pairwise,207,lda
83,0.636,0.6416679979518689,1496.4600944519043,<function get_realamplitudes at 0x7feaebaef700>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,full,sca,226,lda
