index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.72,0.6975216978143808,2161.6800005435944,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zfeaturemap at 0x7f67149f93a0>,full,,431,lda
1,0.676,0.6417924764890283,2318.8262434005737,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zfeaturemap at 0x7f67149f93a0>,linear,,500,lda
2,0.792,0.7708960284609859,2331.642003774643,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zfeaturemap at 0x7f67149f93a0>,circular,,500,lda
3,0.692,0.6649879851399481,2310.5073339939117,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zfeaturemap at 0x7f67149f93a0>,sca,,500,lda
4,0.596,0.6097270669198482,3360.0637106895447,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,full,full,448,lda
5,0.596,0.5913217897162534,2329.474946498871,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,full,linear,401,lda
6,0.588,0.6021437129424682,2088.3716831207275,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,full,circular,352,lda
7,0.62,0.619477220780416,2695.839912414551,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,full,pairwise,465,lda
8,0.56,0.5671278795769268,1837.5645678043365,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,full,sca,311,lda
9,0.616,0.6323254349627175,3202.236530303955,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,linear,full,453,lda
10,0.6,0.5995387746581776,2362.380764245987,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,linear,linear,428,lda
11,0.612,0.6354631333683808,2525.3147823810577,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,linear,circular,451,lda
12,0.636,0.647193410174992,2198.266781806946,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,linear,pairwise,408,lda
13,0.584,0.5946617274894553,2003.1773493289948,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,linear,sca,367,lda
14,0.616,0.6464028896186264,2465.4243202209473,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,circular,full,348,lda
15,0.604,0.6249534808982447,2643.1250829696655,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,circular,linear,484,lda
16,0.576,0.5934743485536697,2822.5197217464447,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,circular,circular,500,lda
17,0.64,0.6265977266995052,2734.5906081199646,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,circular,pairwise,500,lda
18,0.608,0.6317535517250878,2762.0403373241425,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,circular,sca,500,lda
19,0.588,0.5979836433717309,3061.9822368621826,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,sca,full,432,lda
20,0.6,0.606648122737939,2716.9382021427155,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,sca,linear,498,lda
21,0.596,0.6113069792816453,2781.04234457016,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,sca,circular,500,lda
22,0.604,0.6087880763116057,2725.689599752426,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,sca,pairwise,500,lda
23,0.604,0.6135500526500526,1978.4169828891754,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,sca,sca,358,lda
24,0.596,0.5609561575748628,933.5361063480377,<function get_paulitwodesign at 0x7f67149f9670>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zfeaturemap at 0x7f67149f93a0>,,,224,lda
25,0.584,0.6035545192508978,1826.9208087921143,<function get_paulitwodesign at 0x7f67149f9670>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,,full,281,lda
26,0.628,0.6403168667276715,970.700112581253,<function get_paulitwodesign at 0x7f67149f9670>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,,linear,199,lda
27,0.6,0.6130251826749974,811.4947695732117,<function get_paulitwodesign at 0x7f67149f9670>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,,circular,165,lda
28,0.628,0.635282667515518,1093.543499469757,<function get_paulitwodesign at 0x7f67149f9670>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,,pairwise,226,lda
29,0.576,0.6093987733930346,646.5580115318298,<function get_paulitwodesign at 0x7f67149f9670>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,,sca,132,lda
30,0.728,0.7029221725792696,1026.517618894577,<function get_realamplitudes at 0x7f670ddf7160>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zfeaturemap at 0x7f67149f93a0>,full,,235,lda
31,0.716,0.6723917965970111,668.0838377475739,<function get_realamplitudes at 0x7f670ddf7160>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zfeaturemap at 0x7f67149f93a0>,linear,,165,lda
32,0.616,0.5674187241258916,970.6565673351288,<function get_realamplitudes at 0x7f670ddf7160>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zfeaturemap at 0x7f67149f93a0>,circular,,236,lda
33,0.616,0.5615405742489004,1069.6936979293823,<function get_realamplitudes at 0x7f670ddf7160>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zfeaturemap at 0x7f67149f93a0>,sca,,265,lda
34,0.624,0.6289625569489365,1139.2448964118958,<function get_realamplitudes at 0x7f670ddf7160>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,full,full,163,lda
35,0.616,0.6201169881833476,1612.6851201057434,<function get_realamplitudes at 0x7f670ddf7160>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,full,linear,312,lda
36,0.584,0.614532418752884,1040.6138248443604,<function get_realamplitudes at 0x7f670ddf7160>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,full,circular,198,lda
37,0.576,0.5685862506094588,1353.195065021515,<function get_realamplitudes at 0x7f670ddf7160>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,full,pairwise,261,lda
38,0.62,0.6283861829866396,1047.1639895439148,<function get_realamplitudes at 0x7f670ddf7160>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,full,sca,200,lda
39,0.624,0.6356369644960458,1102.7423923015594,<function get_realamplitudes at 0x7f670ddf7160>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,linear,full,171,lda
40,0.624,0.6476119849829025,702.4960997104645,<function get_realamplitudes at 0x7f670ddf7160>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,linear,linear,147,lda
41,0.604,0.6065322087564144,842.4903862476349,<function get_realamplitudes at 0x7f670ddf7160>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,linear,circular,175,lda
