index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.568,0.430650835532102,2549.8522639274597,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_cobyla at 0x7f1c85bee940>,<function get_zfeaturemap at 0x7f1cbe0493a0>,full,,500,pca
1,0.636,0.5415398846105607,2153.2513513565063,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_cobyla at 0x7f1c85bee940>,<function get_zfeaturemap at 0x7f1cbe0493a0>,linear,,461,pca
2,0.6,0.4852991014120668,2377.0829541683197,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_cobyla at 0x7f1c85bee940>,<function get_zfeaturemap at 0x7f1cbe0493a0>,circular,,497,pca
3,0.704,0.646011614090871,2285.889011621475,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_cobyla at 0x7f1c85bee940>,<function get_zfeaturemap at 0x7f1cbe0493a0>,sca,,500,pca
4,0.824,0.8413464755400183,3712.2659685611725,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_cobyla at 0x7f1c85bee940>,<function get_zzfeaturemap at 0x7f1cbe049430>,full,full,500,pca
5,0.928,0.9297172633817795,2831.7438848018646,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_cobyla at 0x7f1c85bee940>,<function get_zzfeaturemap at 0x7f1cbe049430>,full,linear,500,pca
6,0.932,0.9203452224679832,2926.4360616207123,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_cobyla at 0x7f1c85bee940>,<function get_zzfeaturemap at 0x7f1cbe049430>,full,circular,500,pca
7,0.676,0.5867076923076924,2599.7331602573395,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_cobyla at 0x7f1c85bee940>,<function get_zzfeaturemap at 0x7f1cbe049430>,full,pairwise,460,pca
8,0.92,0.9136169468240906,2914.406816959381,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_cobyla at 0x7f1c85bee940>,<function get_zzfeaturemap at 0x7f1cbe049430>,full,sca,500,pca
9,0.808,0.7708042603902875,2893.492008447647,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_cobyla at 0x7f1c85bee940>,<function get_zzfeaturemap at 0x7f1cbe049430>,linear,full,413,pca
