index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.552,0.3998740157480315,2563.7615258693695,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zfeaturemap at 0x7ff37478f1f0>,full,,397,pca
1,0.664,0.5623316953316952,2813.074598789215,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zfeaturemap at 0x7ff37478f1f0>,linear,,500,pca
2,0.588,0.4657733831096761,2881.2988567352295,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zfeaturemap at 0x7ff37478f1f0>,circular,,500,pca
3,0.652,0.5527188285520488,2836.41973900795,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zfeaturemap at 0x7ff37478f1f0>,sca,,500,pca
4,0.844,0.8479338717507393,4903.255884170532,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,full,full,500,pca
5,0.936,0.9366290322580645,3702.434301376343,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,full,linear,500,pca
6,0.928,0.9261601187505693,3799.3708148002625,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,full,circular,500,pca
7,0.924,0.9201537298610367,3711.0728647708893,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,full,pairwise,500,pca
8,0.896,0.9030259421374082,3820.3542428016663,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,full,sca,500,pca
9,0.836,0.8495005186083715,4401.544281959534,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,linear,full,492,pca
10,0.928,0.9261297385168789,3311.0769329071045,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,linear,linear,500,pca
11,0.884,0.8897049235287411,3303.3128616809845,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,linear,circular,489,pca
12,0.924,0.9209472420268573,3321.276746749878,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,linear,pairwise,500,pca
13,0.92,0.9179288879824453,3400.7480165958405,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,linear,sca,500,pca
14,0.868,0.8648331908895985,4670.384276866913,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,circular,full,500,pca
15,0.896,0.8998705352201756,3365.415823698044,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,circular,linear,500,pca
16,0.828,0.8173336299083348,3418.221867799759,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,circular,circular,500,pca
17,0.892,0.9027306055951216,3378.785808324814,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,circular,pairwise,500,pca
18,0.912,0.9211833919857989,3443.247236728668,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,circular,sca,500,pca
19,0.888,0.8913907095892123,4559.045920610428,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,sca,full,500,pca
20,0.936,0.9295889582151635,3448.1774938106537,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,sca,linear,500,pca
21,0.86,0.8621558385376008,3463.883538007736,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,sca,circular,500,pca
22,0.928,0.9192016757380834,3319.40966629982,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,sca,pairwise,500,pca
23,0.9,0.9035398381397468,3419.9880650043488,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,sca,sca,500,pca
24,0.656,0.5581443099273607,762.0772776603699,<function get_paulitwodesign at 0x7ff37478f4c0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zfeaturemap at 0x7ff37478f1f0>,,,157,pca
25,0.78,0.7796803413042981,1368.6200942993164,<function get_paulitwodesign at 0x7ff37478f4c0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,,full,164,pca
26,0.94,0.9333079865016873,1217.653478860855,<function get_paulitwodesign at 0x7ff37478f4c0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,,linear,217,pca
27,0.888,0.8937242383512545,1531.3218264579773,<function get_paulitwodesign at 0x7ff37478f4c0>,<function get_cobyla at 0x7ff33d550f70>,<function get_zzfeaturemap at 0x7ff37478f280>,,circular,256,pca
