index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.584,0.4592828170719402,2479.0919053554535,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zfeaturemap at 0x7f59d20123a0>,full,,500,pca
1,0.656,0.557040404040404,2272.3686950206757,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zfeaturemap at 0x7f59d20123a0>,linear,,500,pca
2,0.58,0.45551828877005346,2395.835965156555,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zfeaturemap at 0x7f59d20123a0>,circular,,500,pca
3,0.56,0.42001833060556465,2294.4287996292114,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zfeaturemap at 0x7f59d20123a0>,sca,,500,pca
4,0.844,0.8424291481391651,3705.7574231624603,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,full,full,500,pca
5,0.848,0.8801704723346829,2810.0671858787537,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,full,linear,500,pca
6,0.92,0.9089100454017528,2993.677967309952,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,full,circular,500,pca
7,0.892,0.8949694154812383,2907.4452905654907,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,full,pairwise,500,pca
8,0.908,0.9141788018433179,2940.0496277809143,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,full,sca,500,pca
9,0.86,0.842487315850602,3583.9877786636353,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,linear,full,500,pca
10,0.912,0.9080664280601288,2670.931309938431,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,linear,linear,500,pca
11,0.916,0.9079919401415805,2709.7337696552277,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,linear,circular,500,pca
12,0.908,0.9056969283579276,2459.06969332695,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,linear,pairwise,456,pca
13,0.892,0.8961614613159479,2532.3215203285217,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,linear,sca,460,pca
14,0.884,0.8879678240170731,3538.0405457019806,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,circular,full,500,pca
15,0.888,0.8990668248319493,2609.638142347336,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,circular,linear,486,pca
16,0.896,0.907051338962805,2809.327312707901,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,circular,circular,500,pca
17,0.82,0.798833693339879,2430.9926660060883,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,circular,pairwise,443,pca
18,0.908,0.9157747019840883,2811.4833583831787,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,circular,sca,500,pca
19,0.824,0.8080420319934578,3635.824686050415,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,sca,full,500,pca
20,0.924,0.9251841392150156,2751.1164157390594,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,sca,linear,500,pca
21,0.872,0.8590790889125604,2818.431006193161,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,sca,circular,500,pca
22,0.912,0.9052610632610634,2672.8807158470154,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,sca,pairwise,500,pca
23,0.9,0.897785966144997,2797.640133857727,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,sca,sca,500,pca
24,0.556,0.41027565982404696,886.8116474151611,<function get_paulitwodesign at 0x7f59d2012670>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zfeaturemap at 0x7f59d20123a0>,,,218,pca
25,0.636,0.6220891341507414,1407.7103745937347,<function get_paulitwodesign at 0x7f59d2012670>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,,full,217,pca
26,0.676,0.5897317186772241,857.5115995407104,<function get_paulitwodesign at 0x7f59d2012670>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,,linear,183,pca
27,0.912,0.9088191811162185,1257.7961599826813,<function get_paulitwodesign at 0x7f59d2012670>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,,circular,259,pca
28,0.86,0.868854135338346,1367.1106028556824,<function get_paulitwodesign at 0x7f59d2012670>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,,pairwise,289,pca
29,0.868,0.8848432931074497,1046.3517606258392,<function get_paulitwodesign at 0x7f59d2012670>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zzfeaturemap at 0x7f59d2012430>,,sca,221,pca
30,0.56,0.4155646136618141,902.6091315746307,<function get_realamplitudes at 0x7f59cb40f160>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zfeaturemap at 0x7f59d20123a0>,full,,205,pca
31,0.656,0.557040404040404,1341.3878772258759,<function get_realamplitudes at 0x7f59cb40f160>,<function get_cobyla at 0x7f5999bb68b0>,<function get_zfeaturemap at 0x7f59d20123a0>,linear,,338,pca
