index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.68,0.699733555697258,3247.2814667224884,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zfeaturemap at 0x7f11688221f0>,full,,500,pca
1,0.876,0.8629502887453983,2846.7993824481964,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zfeaturemap at 0x7f11688221f0>,linear,,500,pca
2,0.848,0.8692503930405617,2906.1477229595184,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zfeaturemap at 0x7f11688221f0>,circular,,500,pca
3,0.852,0.8379151108520436,2821.5858840942383,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zfeaturemap at 0x7f11688221f0>,sca,,500,pca
4,0.656,0.6781216444409374,4911.498118877411,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,full,full,500,pca
5,0.756,0.7296532299741603,3735.2637372016907,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,full,linear,500,pca
6,0.696,0.716994532192895,3448.850646495819,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,full,circular,446,pca
7,0.76,0.7627527583527582,3722.0096306800842,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,full,pairwise,500,pca
8,0.72,0.7277777682233436,2420.616206884384,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,full,sca,301,pca
9,0.648,0.6675088754936604,3302.974158525467,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,linear,full,349,pca
10,0.732,0.7309709194957302,3353.883162021637,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,linear,linear,500,pca
11,0.736,0.7667421698482116,2809.5367443561554,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,linear,circular,409,pca
12,0.696,0.6986939222735833,2750.2331037521362,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,linear,pairwise,412,pca
13,0.784,0.7909989337735817,3478.6147933006287,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,linear,sca,500,pca
14,0.668,0.6675086867025034,3542.2340483665466,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,circular,full,379,pca
15,0.804,0.8075400392341427,3280.770762681961,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,circular,linear,480,pca
16,0.692,0.7065371428571429,3516.272099018097,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,circular,circular,500,pca
17,0.708,0.7052212523491302,3435.4673986434937,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,circular,pairwise,500,pca
18,0.632,0.6338135900430982,3464.2522797584534,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,circular,sca,500,pca
19,0.68,0.6834887922382068,3506.3735015392303,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,sca,full,384,pca
20,0.748,0.7618448044509901,3363.75736618042,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,sca,linear,491,pca
21,0.736,0.7431193369431428,3471.2344789505005,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,sca,circular,500,pca
22,0.728,0.7533723639728123,3375.5445325374603,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,sca,pairwise,500,pca
23,0.636,0.6424742785242148,2583.2055554389954,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,sca,sca,373,pca
24,0.696,0.6986861572535992,1051.1145780086517,<function get_paulitwodesign at 0x7f11688224c0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zfeaturemap at 0x7f11688221f0>,,,223,pca
25,0.664,0.6636492841298649,2000.1799297332764,<function get_paulitwodesign at 0x7f11688224c0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,,full,241,pca
26,0.656,0.6468378751164957,1180.6731405258179,<function get_paulitwodesign at 0x7f11688224c0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,,linear,207,pca
27,0.692,0.7106254421733611,1453.432127714157,<function get_paulitwodesign at 0x7f11688224c0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,,circular,246,pca
28,0.612,0.6013659363643312,942.6038932800293,<function get_paulitwodesign at 0x7f11688224c0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,,pairwise,163,pca
29,0.692,0.7113086652477957,1513.5658857822418,<function get_paulitwodesign at 0x7f11688224c0>,<function get_cobyla at 0x7f11315e0f70>,<function get_zzfeaturemap at 0x7f1168822280>,,sca,253,pca
30,0.852,0.846293758184199,1362.7622258663177,<function get_realamplitudes at 0x7f116216a550>,<function get_cobyla at 0x7f11315e0f70>,<function get_zfeaturemap at 0x7f11688221f0>,full,,248,pca
31,0.788,0.7459412817329509,815.2923691272736,<function get_realamplitudes at 0x7f116216a550>,<function get_cobyla at 0x7f11315e0f70>,<function get_zfeaturemap at 0x7f11688221f0>,linear,,174,pca
