index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
20,0.84,0.8422164148632095,3292.4939007759094,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zfeaturemap at 0x7feaf26b6d30>,full,,500,pca
21,0.872,0.8724158207384014,2144.180176973343,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zfeaturemap at 0x7feaf26b6d30>,linear,,373,pca
22,0.904,0.8975418992355162,2906.822476863861,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zfeaturemap at 0x7feaf26b6d30>,circular,,500,pca
23,0.88,0.8860254385873195,2457.6766583919525,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zfeaturemap at 0x7feaf26b6d30>,sca,,436,pca
24,0.648,0.6428811001863632,4182.781687498093,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,full,full,413,pca
25,0.784,0.7977907645480395,3641.1625015735626,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,full,linear,483,pca
26,0.708,0.7543378068739771,3649.826307296753,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,full,circular,468,pca
27,0.74,0.7489452463912394,3744.5965316295615,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,full,pairwise,500,pca
28,0.616,0.5886081466802777,2288.815621614456,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,full,sca,294,pca
29,0.668,0.6771449876125446,3029.070876598358,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,linear,full,334,pca
30,0.708,0.7100381572017226,2962.9732990264893,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,linear,linear,430,pca
31,0.672,0.7073791757824016,3084.8793590068817,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,linear,circular,439,pca
32,0.78,0.7753874934474926,3318.014007806778,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,linear,pairwise,500,pca
33,0.712,0.7450550342297656,3465.9441015720367,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,linear,sca,489,pca
34,0.652,0.6488265820153808,4476.221415996552,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,circular,full,482,pca
35,0.76,0.7668079743500207,3445.6660680770874,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,circular,linear,500,pca
36,0.744,0.7578734246648651,2488.110958099365,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,circular,circular,355,pca
37,0.74,0.7257892764531871,3294.742779493332,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,circular,pairwise,488,pca
38,0.736,0.7763138722250466,3456.426800966263,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,circular,sca,500,pca
39,0.656,0.6601334776334776,4666.477335929871,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,sca,full,487,pca
40,0.76,0.7889219858156027,3475.010692358017,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,sca,linear,500,pca
41,0.708,0.7117941446613087,2833.842366695404,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,sca,circular,401,pca
42,0.78,0.7659534246575342,3418.4894030094147,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,sca,pairwise,500,pca
43,0.66,0.696914412613813,2907.354652404785,<function get_efficientsu2 at 0x7feaebaef790>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,sca,sca,414,pca
49,0.696,0.693680697384807,865.5437612533569,<function get_paulitwodesign at 0x7feaec011820>,<function get_cobyla at 0x7feaebaef820>,<function get_zfeaturemap at 0x7feaf26b6d30>,,,183,pca
50,0.644,0.6452423368490441,2058.607785463333,<function get_paulitwodesign at 0x7feaec011820>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,,full,249,pca
51,0.696,0.7144540547976613,1263.449594497681,<function get_paulitwodesign at 0x7feaec011820>,<function get_cobyla at 0x7feaebaef820>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,,linear,221,pca
