index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.744,0.6949893733992397,1808.3632452487946,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zfeaturemap at 0x7f67149f93a0>,full,,353,pca
1,0.82,0.8119337299962801,2325.2982020378113,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zfeaturemap at 0x7f67149f93a0>,linear,,500,pca
2,0.852,0.8521106699751863,2378.788967847824,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zfeaturemap at 0x7f67149f93a0>,circular,,500,pca
3,0.888,0.8898993006993008,2370.464831352234,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zfeaturemap at 0x7f67149f93a0>,sca,,500,pca
4,0.724,0.7397257489571483,3450.5432465076447,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,full,full,447,pca
5,0.768,0.7608784801434894,2877.1792719364166,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,full,linear,500,pca
6,0.692,0.7178524311200821,2530.7082121372223,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,full,circular,429,pca
7,0.72,0.7103536964228168,2821.4676370620728,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,full,pairwise,487,pca
8,0.74,0.7561114379953416,2257.613975763321,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,full,sca,380,pca
9,0.64,0.6332960591833832,3625.448954105377,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_cobyla at 0x7f66dc59ea60>,<function get_zzfeaturemap at 0x7f67149f9430>,linear,full,500,pca
