index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.004,8.333333333333333e-05,4051.775479078293,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_neldermead at 0x7ff33d54d0d0>,<function get_zfeaturemap at 0x7ff37478f1f0>,full,,618,lda
1,0.412,0.3119230666402339,2207.047831058502,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_neldermead at 0x7ff33d54d0d0>,<function get_zfeaturemap at 0x7ff37478f1f0>,linear,,381,lda
2,0.132,0.06770299742451641,5030.062201976776,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_neldermead at 0x7ff33d54d0d0>,<function get_zfeaturemap at 0x7ff37478f1f0>,circular,,845,lda
3,0.012,0.0016284584980237155,4674.929806470871,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_neldermead at 0x7ff33d54d0d0>,<function get_zfeaturemap at 0x7ff37478f1f0>,sca,,788,lda
4,0.04,0.036963342830009495,7613.818365097046,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_neldermead at 0x7ff33d54d0d0>,<function get_zzfeaturemap at 0x7ff37478f280>,full,full,787,lda
5,0.012,0.013329534662867997,7406.845667123795,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_neldermead at 0x7ff33d54d0d0>,<function get_zzfeaturemap at 0x7ff37478f280>,full,linear,1000,lda
6,0.492,0.5258296211251435,5174.972082614899,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_neldermead at 0x7ff33d54d0d0>,<function get_zzfeaturemap at 0x7ff37478f280>,full,circular,669,lda
7,0.008,0.0069260739260739255,4666.008322477341,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_neldermead at 0x7ff33d54d0d0>,<function get_zzfeaturemap at 0x7ff37478f280>,full,pairwise,618,lda
8,0.024,0.03685714285714285,5679.153424978256,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_neldermead at 0x7ff33d54d0d0>,<function get_zzfeaturemap at 0x7ff37478f280>,full,sca,735,lda
9,0.132,0.08571135531135532,7695.582612037659,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_neldermead at 0x7ff33d54d0d0>,<function get_zzfeaturemap at 0x7ff37478f280>,linear,full,845,lda
10,0.288,0.28184783910997,4454.032675981522,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_neldermead at 0x7ff33d54d0d0>,<function get_zzfeaturemap at 0x7ff37478f280>,linear,linear,660,lda
11,0.036,0.05231673746813933,5041.919837474823,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_neldermead at 0x7ff33d54d0d0>,<function get_zzfeaturemap at 0x7ff37478f280>,linear,circular,735,lda
12,0.108,0.1447912087912088,3809.652158021927,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_neldermead at 0x7ff33d54d0d0>,<function get_zzfeaturemap at 0x7ff37478f280>,linear,pairwise,567,lda
