index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.0,0.0,2518.1452009677887,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zfeaturemap at 0x7f59d20123a0>,full,,492,lda
1,0.26,0.2529001894657067,2310.959755897522,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zfeaturemap at 0x7f59d20123a0>,linear,,491,lda
2,0.244,0.09664935064935065,3211.8702256679535,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zfeaturemap at 0x7f59d20123a0>,circular,,676,lda
3,0.004,5.7971014492753614e-05,3500.4677731990814,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zfeaturemap at 0x7f59d20123a0>,sca,,731,lda
4,0.092,0.08666666666666666,5154.544813871384,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,full,full,680,lda
5,0.3,0.3671067445000904,3913.625119447708,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,full,linear,677,lda
6,0.02,0.027220036073563797,3272.6535773277283,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,full,circular,558,lda
7,0.028,0.04625959183673469,4833.097924232483,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,full,pairwise,842,lda
8,0.176,0.24492398018551892,4636.140494585037,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,full,sca,785,lda
9,0.304,0.2545107142857143,5882.405380010605,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,linear,full,846,lda
10,0.128,0.16437894736842107,3714.990916490555,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,linear,linear,689,lda
11,0.004,0.0024897959183673465,4018.438836336136,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,linear,circular,737,lda
12,0.016,0.02102523762700754,3595.734739780426,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,linear,pairwise,667,lda
13,0.308,0.4020947368421052,4305.821284294128,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,linear,sca,782,lda
14,0.264,0.25019201459583373,5607.608917713165,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,circular,full,788,lda
15,0.008,0.004968221771467208,4553.272967100143,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,circular,linear,844,lda
16,0.008,0.0075604395604395615,4107.3280239105225,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,circular,circular,730,lda
17,0.064,0.0747897165458141,4717.445599079132,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,circular,pairwise,856,lda
18,0.076,0.08600435251114537,3767.7521204948425,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,circular,sca,676,lda
19,0.008,0.00849514708078244,4894.986930131912,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,sca,full,686,lda
20,0.016,0.02163855421686747,3370.458418369293,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,sca,linear,616,lda
21,0.14,0.08176358744394618,4108.5259346961975,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,sca,circular,732,lda
