index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.072,0.07496672146784066,3716.601066827774,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zfeaturemap at 0x7f11688221f0>,full,,561,lda
1,0.088,0.07449514973597171,2171.5307281017303,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zfeaturemap at 0x7f11688221f0>,linear,,378,lda
2,0.14,0.1259151515151515,4220.5562443733215,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zfeaturemap at 0x7f11688221f0>,circular,,729,lda
3,0.124,0.1599973960136848,3547.462961435318,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zfeaturemap at 0x7f11688221f0>,sca,,618,lda
4,0.192,0.27024703177822845,9284.234189510345,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,full,full,960,lda
5,0.08,0.08707208840542174,4586.112910985947,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,full,linear,624,lda
6,0.216,0.30241654722089506,6011.096285820007,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,full,circular,785,lda
7,0.052,0.07515355547921676,7196.073420286179,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,full,pairwise,965,lda
8,0.076,0.07204761904761905,5206.666200399399,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,full,sca,680,lda
9,0.132,0.14237982080249317,7193.512340307236,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,linear,full,804,lda
10,0.076,0.08706157706906771,2928.7645614147186,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,linear,linear,435,lda
11,0.108,0.10247873933846473,3830.8388912677765,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,linear,circular,562,lda
12,0.068,0.09320757314974182,4986.431190252304,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,linear,pairwise,726,lda
13,0.096,0.08197239627738652,5455.399537086487,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,linear,sca,789,lda
14,0.144,0.18046105263157894,7286.877519369125,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,circular,full,792,lda
15,0.08,0.06309618153364632,5075.776601552963,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,circular,linear,737,lda
16,0.144,0.166055478090284,6415.814728498459,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,circular,circular,911,lda
17,0.1,0.1148421052631579,5058.451349258423,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,circular,pairwise,728,lda
18,0.124,0.16765486106250438,5656.021763563156,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,circular,sca,798,lda
19,0.108,0.12527043431703605,9252.966179609299,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,sca,full,1000,lda
20,0.18,0.2503750034011843,5494.402185916901,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,sca,linear,806,lda
21,0.608,0.6245476190476191,5525.30469083786,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,sca,circular,792,lda
22,0.116,0.11641234447385641,3828.4365050792694,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,sca,pairwise,567,lda
23,0.592,0.6086162944644662,6189.222328662872,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,sca,sca,896,lda
24,0.228,0.3212010229265417,1897.7133147716522,<function get_paulitwodesign at 0x7f11688224c0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zfeaturemap at 0x7f11688221f0>,,,392,lda
