index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
20,0.116,0.083936628477905,2807.841856241226,<function get_efficientsu2 at 0x7feaebaef790>,<function get_neldermead at 0x7feaebaef9d0>,<function get_zfeaturemap at 0x7feaf26b6d30>,full,,250,lda
21,0.136,0.0672692566054635,2901.7350313663483,<function get_efficientsu2 at 0x7feaebaef790>,<function get_neldermead at 0x7feaebaef9d0>,<function get_zfeaturemap at 0x7feaf26b6d30>,linear,,250,lda
22,0.116,0.1052522273425499,5147.456506252289,<function get_efficientsu2 at 0x7feaebaef790>,<function get_neldermead at 0x7feaebaef9d0>,<function get_zfeaturemap at 0x7feaf26b6d30>,circular,,250,lda
23,0.052,0.0579635291950635,4212.941293001175,<function get_efficientsu2 at 0x7feaebaef790>,<function get_neldermead at 0x7feaebaef9d0>,<function get_zfeaturemap at 0x7feaf26b6d30>,sca,,250,lda
24,0.136,0.1381138632957499,8294.576965093613,<function get_efficientsu2 at 0x7feaebaef790>,<function get_neldermead at 0x7feaebaef9d0>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,full,full,250,lda
25,0.072,0.0868651685393258,4143.454109668732,<function get_efficientsu2 at 0x7feaebaef790>,<function get_neldermead at 0x7feaebaef9d0>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,full,linear,250,lda
26,0.084,0.1107108395957851,4722.857649564743,<function get_efficientsu2 at 0x7feaebaef790>,<function get_neldermead at 0x7feaebaef9d0>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,full,circular,250,lda
27,0.06,0.0816151949655643,5165.695074081421,<function get_efficientsu2 at 0x7feaebaef790>,<function get_neldermead at 0x7feaebaef9d0>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,full,pairwise,250,lda
28,0.148,0.1502376870154434,6107.595329284668,<function get_efficientsu2 at 0x7feaebaef790>,<function get_neldermead at 0x7feaebaef9d0>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,full,sca,250,lda
29,0.14,0.1459039752454927,8312.279312133789,<function get_efficientsu2 at 0x7feaebaef790>,<function get_neldermead at 0x7feaebaef9d0>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,linear,full,250,lda
30,0.044,0.0597846790890269,5333.734583854675,<function get_efficientsu2 at 0x7feaebaef790>,<function get_neldermead at 0x7feaebaef9d0>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,linear,linear,250,lda
31,0.088,0.0745341234915605,5487.3211145401,<function get_efficientsu2 at 0x7feaebaef790>,<function get_neldermead at 0x7feaebaef9d0>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,linear,circular,250,lda
32,0.08,0.1019007382710169,4587.920801401138,<function get_efficientsu2 at 0x7feaebaef790>,<function get_neldermead at 0x7feaebaef9d0>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,linear,pairwise,250,lda
33,0.156,0.206662303430614,4600.618574380875,<function get_efficientsu2 at 0x7feaebaef790>,<function get_neldermead at 0x7feaebaef9d0>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,linear,sca,250,lda
34,0.22,0.2675266078279618,7125.034847974777,<function get_efficientsu2 at 0x7feaebaef790>,<function get_neldermead at 0x7feaebaef9d0>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,circular,full,250,lda
35,0.6,0.6366602742185351,6104.208931446075,<function get_efficientsu2 at 0x7feaebaef790>,<function get_neldermead at 0x7feaebaef9d0>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,circular,linear,250,lda
36,0.268,0.3428899807381312,6038.603564500809,<function get_efficientsu2 at 0x7feaebaef790>,<function get_neldermead at 0x7feaebaef9d0>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,circular,circular,250,lda
37,0.144,0.2062784242382636,5543.242585659027,<function get_efficientsu2 at 0x7feaebaef790>,<function get_neldermead at 0x7feaebaef9d0>,<function get_zzfeaturemap at 0x7feaf26b6dc0>,circular,pairwise,250,lda
