index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.56,0.4698583333333332,5042.649512290955,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_neldermead at 0x7ff33d54d0d0>,<function get_zfeaturemap at 0x7ff37478f1f0>,full,,782,pca
1,0.256,0.11817622617262798,4806.561944961548,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_neldermead at 0x7ff33d54d0d0>,<function get_zfeaturemap at 0x7ff37478f1f0>,linear,,845,pca
2,0.192,0.14006380554311587,5180.797647476196,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_neldermead at 0x7ff33d54d0d0>,<function get_zfeaturemap at 0x7ff37478f1f0>,circular,,903,pca
3,0.004,0.001,4179.863356113434,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_neldermead at 0x7ff33d54d0d0>,<function get_zfeaturemap at 0x7ff37478f1f0>,sca,,734,pca
4,0.572,0.5621779359430604,8266.449387788773,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_neldermead at 0x7ff33d54d0d0>,<function get_zzfeaturemap at 0x7ff37478f280>,full,full,851,pca
5,0.024,0.021145454545454547,5399.315359354019,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_neldermead at 0x7ff33d54d0d0>,<function get_zzfeaturemap at 0x7ff37478f280>,full,linear,733,pca
6,0.048,0.01724223602484472,4603.007136821747,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_neldermead at 0x7ff33d54d0d0>,<function get_zzfeaturemap at 0x7ff37478f280>,full,circular,605,pca
7,0.116,0.15040785922487315,4199.813185214996,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_neldermead at 0x7ff33d54d0d0>,<function get_zzfeaturemap at 0x7ff37478f280>,full,pairwise,558,pca
8,0.032,0.03405224509449862,5479.253668785095,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_neldermead at 0x7ff33d54d0d0>,<function get_zzfeaturemap at 0x7ff37478f280>,full,sca,713,pca
9,0.636,0.6806840666169526,7699.3866856098175,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_neldermead at 0x7ff33d54d0d0>,<function get_zzfeaturemap at 0x7ff37478f280>,linear,full,855,pca
10,0.356,0.4361513688844267,4873.082856416702,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_neldermead at 0x7ff33d54d0d0>,<function get_zzfeaturemap at 0x7ff37478f280>,linear,linear,731,pca
11,0.02,0.03127272727272727,3400.9199979305267,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_neldermead at 0x7ff33d54d0d0>,<function get_zzfeaturemap at 0x7ff37478f280>,linear,circular,502,pca
12,0.06,0.10119292517006802,5815.045056819916,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_neldermead at 0x7ff33d54d0d0>,<function get_zzfeaturemap at 0x7ff37478f280>,linear,pairwise,841,pca
13,0.024,0.028273972602739728,3814.759334564209,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_neldermead at 0x7ff33d54d0d0>,<function get_zzfeaturemap at 0x7ff37478f280>,linear,sca,558,pca
14,0.276,0.21318767507002803,8283.162725687027,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_neldermead at 0x7ff33d54d0d0>,<function get_zzfeaturemap at 0x7ff37478f280>,circular,full,911,pca
15,0.04,0.06398288770053476,4912.5616619586945,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_neldermead at 0x7ff33d54d0d0>,<function get_zzfeaturemap at 0x7ff37478f280>,circular,linear,737,pca
16,0.036,0.03785049173607119,3999.9488604068756,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_neldermead at 0x7ff33d54d0d0>,<function get_zzfeaturemap at 0x7ff37478f280>,circular,circular,565,pca
17,0.02,0.026037735849056606,4973.3876185417175,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_neldermead at 0x7ff33d54d0d0>,<function get_zzfeaturemap at 0x7ff37478f280>,circular,pairwise,729,pca
18,0.432,0.47103685181389626,4988.104477405548,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_neldermead at 0x7ff33d54d0d0>,<function get_zzfeaturemap at 0x7ff37478f280>,circular,sca,727,pca
19,0.224,0.20928600546855586,5651.307789325714,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_neldermead at 0x7ff33d54d0d0>,<function get_zzfeaturemap at 0x7ff37478f280>,sca,full,622,pca
20,0.576,0.5810190915075707,4224.536931991577,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_neldermead at 0x7ff33d54d0d0>,<function get_zzfeaturemap at 0x7ff37478f280>,sca,linear,623,pca
