index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.556,0.4213191489361702,4380.295769929886,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zfeaturemap at 0x7f59d20123a0>,full,,858,pca
1,0.252,0.28593960956029923,2146.873286962509,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zfeaturemap at 0x7f59d20123a0>,linear,,452,pca
2,0.256,0.1204138303784947,3719.1566684246063,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zfeaturemap at 0x7f59d20123a0>,circular,,783,pca
3,0.056,0.035705210340038526,3145.679025411606,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zfeaturemap at 0x7f59d20123a0>,sca,,667,pca
4,0.296,0.37981320164827276,5908.429821968079,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,full,full,787,pca
5,0.548,0.5554072985837691,4167.313264131546,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,full,linear,732,pca
6,0.028,0.010989247311827958,2615.429071187973,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,full,circular,441,pca
7,0.136,0.15540363636363635,3606.2181582450867,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,full,pairwise,617,pca
8,0.016,0.00421122661122661,2981.9812059402466,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,full,sca,504,pca
9,0.424,0.5168328607918675,6076.391363143921,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,linear,full,851,pca
10,0.54,0.5581093333333333,3608.1855635643005,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,linear,linear,674,pca
11,0.008,0.015288888888888888,2735.000246524811,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,linear,circular,498,pca
12,0.104,0.13899530916844346,3011.074479818344,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,linear,pairwise,561,pca
13,0.016,0.01581609195402299,2388.8088302612305,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,linear,sca,435,pca
14,0.188,0.13214656822532128,5974.896984577179,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,circular,full,845,pca
15,0.028,0.03560204081632653,5145.430808544159,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,circular,linear,958,pca
16,0.02,0.01865659551176792,5393.186842918396,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,circular,circular,958,pca
17,0.072,0.10304444030545727,3375.3434357643127,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,circular,pairwise,613,pca
18,0.124,0.1834374891774892,5358.885519504547,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,circular,sca,974,pca
19,0.188,0.23167846802342218,4334.373214483261,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,sca,full,614,pca
20,0.004,0.007644444444444444,3405.51389837265,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,sca,linear,615,pca
21,0.096,0.06503908045977012,4427.988863945007,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,sca,circular,789,pca
22,0.6,0.6229722693831352,4613.751184463501,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,sca,pairwise,857,pca
23,0.012,0.0215,3393.3362753391266,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,sca,sca,616,pca
24,0.016,0.009251700680272108,2818.6412596702576,<function get_paulitwodesign at 0x7f59d2012670>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zfeaturemap at 0x7f59d20123a0>,,,684,pca
25,0.08,0.13052216488320345,4132.775818824768,<function get_paulitwodesign at 0x7f59d2012670>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,,full,639,pca
26,0.28,0.35287812321190154,3192.2983133792877,<function get_paulitwodesign at 0x7f59d2012670>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,,linear,664,pca
27,0.06,0.07406201550387598,1498.275199174881,<function get_paulitwodesign at 0x7f59d2012670>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,,circular,307,pca
28,0.036,0.0628752607425949,3771.6568796634674,<function get_paulitwodesign at 0x7f59d2012670>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,,pairwise,791,pca
29,0.012,0.00616632860040568,1490.6266832351685,<function get_paulitwodesign at 0x7f59d2012670>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,,sca,305,pca
30,0.008,0.014638297872340425,1762.457543373108,<function get_realamplitudes at 0x7f59cb40f160>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zfeaturemap at 0x7f59d20123a0>,full,,403,pca
31,0.068,0.022320610687022898,1233.8526318073273,<function get_realamplitudes at 0x7f59cb40f160>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zfeaturemap at 0x7f59d20123a0>,linear,,305,pca
32,0.016,0.01290074074074074,2471.2500133514404,<function get_realamplitudes at 0x7f59cb40f160>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zfeaturemap at 0x7f59d20123a0>,circular,,606,pca
33,0.384,0.44369770580296897,1868.4159615039825,<function get_realamplitudes at 0x7f59cb40f160>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zfeaturemap at 0x7f59d20123a0>,sca,,464,pca
34,0.068,0.07606445993031359,3775.463840007782,<function get_realamplitudes at 0x7f59cb40f160>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,full,full,556,pca
35,0.656,0.6155864828331983,2821.050191640854,<function get_realamplitudes at 0x7f59cb40f160>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,full,linear,553,pca
36,0.024,0.008896551724137931,1605.4570932388306,<function get_realamplitudes at 0x7f59cb40f160>,<function get_neldermead at 0x7f5999bb69d0>,<function get_zzfeaturemap at 0x7f59d2012430>,full,circular,311,pca
