index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.104,0.10647557471264368,4414.02791762352,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zfeaturemap at 0x7f11688221f0>,full,,675,pca
1,0.076,0.08966899766899768,3514.9392483234406,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zfeaturemap at 0x7f11688221f0>,linear,,608,pca
2,0.292,0.19152885943109638,3843.4374434947968,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zfeaturemap at 0x7f11688221f0>,circular,,663,pca
3,0.8,0.8239449333165466,2559.8784296512604,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zfeaturemap at 0x7f11688221f0>,sca,,441,pca
4,0.348,0.4255989570098508,6597.563018798828,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,full,full,675,pca
5,0.084,0.0912359391146488,6897.941777706146,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,full,linear,917,pca
6,0.124,0.09826117237864716,5132.158557653427,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,full,circular,670,pca
7,0.064,0.07464977375565611,5408.797114372253,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,full,pairwise,723,pca
8,0.216,0.24123598390473847,5638.663063764572,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,full,sca,739,pca
9,0.124,0.09194649528788276,6669.420104980469,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,linear,full,739,pca
10,0.12,0.11555332131836632,2164.547161102295,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,linear,linear,323,pca
11,0.22,0.30220369717676676,4625.334426164627,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,linear,circular,674,pca
12,0.088,0.07592785260626407,5350.196535348892,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,linear,pairwise,795,pca
13,0.052,0.05731755868544601,5016.826182603836,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,linear,sca,738,pca
14,0.116,0.11619789014649465,8293.229147911072,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,circular,full,904,pca
15,0.496,0.5293635220125786,5008.2793571949005,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,circular,linear,739,pca
16,0.052,0.059850195537152054,6395.840558767319,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,circular,circular,910,pca
17,0.152,0.0999355623100304,4318.83477139473,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,circular,pairwise,629,pca
18,0.364,0.45229708443107425,5038.809120416641,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,circular,sca,730,pca
19,0.1,0.1253562183847898,7221.017792463303,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,sca,full,787,pca
20,0.272,0.3571551949646342,4699.9885239601135,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,sca,linear,684,pca
21,0.492,0.49792437669857026,5438.274100780487,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,sca,circular,781,pca
22,0.26,0.34175860181757944,5093.760643720627,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,sca,pairwise,741,pca
23,0.108,0.12318327676191375,4395.502673625946,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,sca,sca,617,pca
24,0.048,0.07141917530989123,2988.9908397197723,<function get_paulitwodesign at 0x7f11688224c0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zfeaturemap at 0x7f11688221f0>,,,631,pca
25,0.152,0.19933400612920565,5401.158692359924,<function get_paulitwodesign at 0x7f11688224c0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,,full,658,pca
26,0.584,0.5619984352333336,2290.655984401703,<function get_paulitwodesign at 0x7f11688224c0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,,linear,395,pca
27,0.072,0.06617142857142856,4822.039146661758,<function get_paulitwodesign at 0x7f11688224c0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,,circular,803,pca
28,0.048,0.03567272727272728,3217.625522851944,<function get_paulitwodesign at 0x7f11688224c0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,,pairwise,544,pca
29,0.128,0.11329773282764433,4074.4956374168396,<function get_paulitwodesign at 0x7f11688224c0>,<function get_neldermead at 0x7f11315e30d0>,<function get_zzfeaturemap at 0x7f1168822280>,,sca,667,pca
30,0.128,0.11535246842709529,2900.8579745292664,<function get_realamplitudes at 0x7f116216a550>,<function get_neldermead at 0x7f11315e30d0>,<function get_zfeaturemap at 0x7f11688221f0>,full,,516,pca
31,0.564,0.5755191646815639,1506.1915831565857,<function get_realamplitudes at 0x7f116216a550>,<function get_neldermead at 0x7f11315e30d0>,<function get_zfeaturemap at 0x7f11688221f0>,linear,,311,pca
32,0.092,0.05652631578947369,2521.8668129444122,<function get_realamplitudes at 0x7f116216a550>,<function get_neldermead at 0x7f11315e30d0>,<function get_zfeaturemap at 0x7f11688221f0>,circular,,517,pca
