index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.552,0.4702222222222222,2773.145619869232,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zfeaturemap at 0x7f1cbe0493a0>,full,,551,lda
1,0.816,0.8197705626406601,2587.4731845855713,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zfeaturemap at 0x7f1cbe0493a0>,linear,,551,lda
2,0.964,0.9525978494623655,2589.228343963623,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zfeaturemap at 0x7f1cbe0493a0>,circular,,551,lda
3,0.928,0.9304204146730463,2580.9186630249023,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zfeaturemap at 0x7f1cbe0493a0>,sca,,551,lda
4,0.748,0.7318600242753106,4040.5937280654907,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,full,full,551,lda
5,0.964,0.9506050696789721,3140.493724346161,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,full,linear,551,lda
6,0.956,0.9502303769309324,3270.9087438583374,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,full,circular,551,lda
7,0.824,0.8206745137491617,3199.8404393196106,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,full,pairwise,551,lda
8,0.96,0.952144,3224.1556754112244,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,full,sca,551,lda
9,0.928,0.9191822897526502,3828.6565990448,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,linear,full,551,lda
10,0.96,0.9544719101123597,2981.3063883781433,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,linear,linear,551,lda
11,0.944,0.9341727769784174,3046.5313696861267,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,linear,circular,551,lda
12,0.956,0.9520287769784174,2933.2356810569763,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,linear,pairwise,551,lda
13,0.924,0.9251612579836689,3015.119988679886,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,linear,sca,551,lda
14,0.876,0.8651954251067935,3879.850110769272,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,circular,full,551,lda
15,0.956,0.9462542126476794,2991.015962123871,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,circular,linear,551,lda
16,0.948,0.9458117156733258,3023.79519033432,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,circular,circular,551,lda
17,0.968,0.9585494505494505,2973.110902786255,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,circular,pairwise,551,lda
18,0.924,0.9118078644888081,3023.317934036255,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,circular,sca,551,lda
19,0.844,0.8119032032391247,3868.751547574997,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,sca,full,551,lda
20,0.956,0.9485974328640204,3007.988111972809,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,sca,linear,551,lda
21,0.964,0.9543605590308936,3032.819509744644,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,sca,circular,551,lda
22,0.964,0.9581890383984247,2996.584906578064,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,sca,pairwise,551,lda
23,0.952,0.9459865143342536,3093.9850628376007,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,sca,sca,551,lda
24,0.968,0.9530609836574667,2189.1610338687897,<function get_paulitwodesign at 0x7f1cbe049670>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zfeaturemap at 0x7f1cbe0493a0>,,,551,lda
25,0.816,0.8032871243451889,3538.1841576099396,<function get_paulitwodesign at 0x7f1cbe049670>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,,full,551,lda
26,0.964,0.9506050696789721,2621.602690935135,<function get_paulitwodesign at 0x7f1cbe049670>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,,linear,551,lda
