index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.812,0.8102200412819627,3504.711352109909,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_spsa at 0x7ff33d54d040>,<function get_zfeaturemap at 0x7ff37478f1f0>,full,,551,lda
1,0.968,0.9528060890748604,3107.9148864746094,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_spsa at 0x7ff33d54d040>,<function get_zfeaturemap at 0x7ff37478f1f0>,linear,,551,lda
2,0.968,0.9528060890748604,3223.6349716186523,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_spsa at 0x7ff33d54d040>,<function get_zfeaturemap at 0x7ff37478f1f0>,circular,,551,lda
3,0.932,0.933174718755938,3216.332531929016,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_spsa at 0x7ff33d54d040>,<function get_zfeaturemap at 0x7ff37478f1f0>,sca,,551,lda
4,0.892,0.8836596058273801,5358.159686565399,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_spsa at 0x7ff33d54d040>,<function get_zzfeaturemap at 0x7ff37478f280>,full,full,551,lda
5,0.816,0.8481596011689875,4114.420555114746,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_spsa at 0x7ff33d54d040>,<function get_zzfeaturemap at 0x7ff37478f280>,full,linear,551,lda
6,0.948,0.9428105860609363,4265.722170114517,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_spsa at 0x7ff33d54d040>,<function get_zzfeaturemap at 0x7ff37478f280>,full,circular,551,lda
7,0.936,0.9240643560119811,4106.793990373611,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_spsa at 0x7ff33d54d040>,<function get_zzfeaturemap at 0x7ff37478f280>,full,pairwise,551,lda
8,0.952,0.9482141167683308,4236.8911600112915,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_spsa at 0x7ff33d54d040>,<function get_zzfeaturemap at 0x7ff37478f280>,full,sca,551,lda
9,0.928,0.9207423367467712,4997.264283180237,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_spsa at 0x7ff33d54d040>,<function get_zzfeaturemap at 0x7ff37478f280>,linear,full,551,lda
10,0.952,0.9501516108312167,3714.2123386859894,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_spsa at 0x7ff33d54d040>,<function get_zzfeaturemap at 0x7ff37478f280>,linear,linear,551,lda
11,0.848,0.8534261416828458,3807.406112909317,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_spsa at 0x7ff33d54d040>,<function get_zzfeaturemap at 0x7ff37478f280>,linear,circular,551,lda
