index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.712,0.6372683469019647,2816.232361316681,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zfeaturemap at 0x7f59d20123a0>,full,,551,lda
1,0.968,0.9525944876904695,2564.2033698558807,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zfeaturemap at 0x7f59d20123a0>,linear,,551,lda
2,0.968,0.9528060890748604,2644.292486667633,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zfeaturemap at 0x7f59d20123a0>,circular,,551,lda
3,0.968,0.9528471248246845,2580.2928607463837,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zfeaturemap at 0x7f59d20123a0>,sca,,551,lda
4,0.896,0.8916228872835684,4061.375624895096,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,full,full,551,lda
5,0.94,0.9337334351490469,3163.30251789093,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,full,linear,551,lda
6,0.956,0.9463372434017596,3229.218646287918,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,full,circular,551,lda
7,0.868,0.8633151812388532,3154.1712532043457,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,full,pairwise,551,lda
8,0.952,0.9420239217029739,3233.9093732833862,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,full,sca,551,lda
9,0.868,0.8534742347072722,3862.052388906479,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,linear,full,551,lda
10,0.932,0.9335978494623657,2952.8614954948425,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,linear,linear,551,lda
11,0.928,0.9219048176634905,3025.2159123420715,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,linear,circular,551,lda
12,0.956,0.9565019607843137,2941.3230283260345,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,linear,pairwise,551,lda
13,0.952,0.9462356735301414,3072.9371185302734,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,linear,sca,551,lda
14,0.952,0.9456881720092765,3892.9488728046417,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,circular,full,551,lda
15,0.964,0.9543605590308936,2986.81192779541,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,circular,linear,551,lda
16,0.96,0.9483660203801769,3035.9609274864197,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,circular,circular,551,lda
17,0.956,0.9540162601626017,2994.8730046749115,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,circular,pairwise,551,lda
18,0.944,0.93985275142315,3054.354402780533,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,circular,sca,551,lda
19,0.836,0.800369314515656,3986.8072147369385,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,sca,full,551,lda
20,0.904,0.8904932441909393,3000.9215071201324,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,sca,linear,551,lda
21,0.916,0.9126184561716627,3132.2814819812775,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,sca,circular,551,lda
22,0.956,0.9502799474893339,2997.280837535858,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,sca,pairwise,551,lda
23,0.956,0.950375884416434,3071.0690705776215,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,sca,sca,551,lda
24,0.816,0.8226420472160394,2191.3697028160095,<function get_paulitwodesign at 0x7f59d2012670>,<function get_spsa at 0x7f5999bb6940>,<function get_zfeaturemap at 0x7f59d20123a0>,,,551,lda
25,0.848,0.8132829615429302,3600.09729886055,<function get_paulitwodesign at 0x7f59d2012670>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,,full,551,lda
26,0.728,0.6817616090331686,2620.1511352062225,<function get_paulitwodesign at 0x7f59d2012670>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,,linear,551,lda
27,0.884,0.8741247430293596,2707.1803822517395,<function get_paulitwodesign at 0x7f59d2012670>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,,circular,551,lda
28,0.94,0.938166129188049,2633.418618440628,<function get_paulitwodesign at 0x7f59d2012670>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,,pairwise,551,lda
29,0.844,0.8297316630617639,2708.863288164139,<function get_paulitwodesign at 0x7f59d2012670>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,,sca,551,lda
30,0.592,0.5356246996838778,2376.857502937317,<function get_realamplitudes at 0x7f59cb40f160>,<function get_spsa at 0x7f5999bb6940>,<function get_zfeaturemap at 0x7f59d20123a0>,full,,551,lda
31,0.796,0.7117425347048837,2202.1904685497284,<function get_realamplitudes at 0x7f59cb40f160>,<function get_spsa at 0x7f5999bb6940>,<function get_zfeaturemap at 0x7f59d20123a0>,linear,,551,lda
32,0.968,0.9528471248246845,2197.827323913574,<function get_realamplitudes at 0x7f59cb40f160>,<function get_spsa at 0x7f5999bb6940>,<function get_zfeaturemap at 0x7f59d20123a0>,circular,,551,lda
33,0.8,0.7941762601626016,2202.888832092285,<function get_realamplitudes at 0x7f59cb40f160>,<function get_spsa at 0x7f5999bb6940>,<function get_zfeaturemap at 0x7f59d20123a0>,sca,,551,lda
34,0.792,0.7235020406219079,3708.4905138015747,<function get_realamplitudes at 0x7f59cb40f160>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,full,full,551,lda
35,0.864,0.8567429381965552,2788.794093847275,<function get_realamplitudes at 0x7f59cb40f160>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,full,linear,551,lda
36,0.948,0.9438998102466795,2872.1336991786957,<function get_realamplitudes at 0x7f59cb40f160>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,full,circular,551,lda
37,0.876,0.8973872675444551,2761.629634618759,<function get_realamplitudes at 0x7f59cb40f160>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,full,pairwise,551,lda
38,0.844,0.8815482241361049,2847.220543384552,<function get_realamplitudes at 0x7f59cb40f160>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,full,sca,551,lda
39,0.88,0.8981338495612626,3502.3022022247314,<function get_realamplitudes at 0x7f59cb40f160>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,linear,full,551,lda
40,0.968,0.9581359462319281,2594.0481061935425,<function get_realamplitudes at 0x7f59cb40f160>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,linear,linear,551,lda
41,0.884,0.8798334592526649,2666.864721298218,<function get_realamplitudes at 0x7f59cb40f160>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,linear,circular,551,lda
42,0.952,0.9466067415730337,2615.8243057727814,<function get_realamplitudes at 0x7f59cb40f160>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,linear,pairwise,551,lda
43,0.856,0.8482406138033929,2671.025907278061,<function get_realamplitudes at 0x7f59cb40f160>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,linear,sca,551,lda
44,0.924,0.9322072202166066,3461.9841039180756,<function get_realamplitudes at 0x7f59cb40f160>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,circular,full,551,lda
45,0.952,0.9481681397568364,2568.1380274295807,<function get_realamplitudes at 0x7f59cb40f160>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,circular,linear,551,lda
