index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.624,0.5875474294659494,3560.1954803466797,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zfeaturemap at 0x7f11688221f0>,full,,551,lda
1,0.652,0.6094899269406413,3176.4225986003876,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zfeaturemap at 0x7f11688221f0>,linear,,551,lda
2,0.644,0.5989240763301871,3164.646408557892,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zfeaturemap at 0x7f11688221f0>,circular,,551,lda
3,0.656,0.6117286585365854,3201.250454902649,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zfeaturemap at 0x7f11688221f0>,sca,,551,lda
4,0.592,0.6133318741752268,5363.238103628159,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,full,full,551,lda
5,0.616,0.6221907861986362,4082.867178440094,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,full,linear,551,lda
6,0.604,0.627777151489105,4228.213183403015,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,full,circular,551,lda
7,0.66,0.6685531020703435,4187.841658115387,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,full,pairwise,551,lda
8,0.6,0.6218521469927921,4223.212999820709,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,full,sca,551,lda
9,0.6,0.6167907491009263,4978.978591680527,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,linear,full,551,lda
10,0.6,0.601953762160016,3790.3689036369324,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,linear,linear,551,lda
11,0.564,0.5885986559139785,3790.929525375366,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,linear,circular,551,lda
12,0.6,0.5992578225897813,3661.6040890216827,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,linear,pairwise,551,lda
13,0.596,0.6138732430360339,3745.5722358226776,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,linear,sca,551,lda
14,0.592,0.5987330706498873,5001.040332555771,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,circular,full,551,lda
15,0.636,0.6509179301091259,3714.03435587883,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,circular,linear,551,lda
