,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
20,0.692,0.6815692974218295,3521.77765583992,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zfeaturemap at 0x7f0e262375e0>,full,,551,lda
21,0.636,0.579049696838702,3185.4853456020355,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zfeaturemap at 0x7f0e262375e0>,linear,,551,lda
22,0.716,0.6819608668634456,3185.375937461853,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zfeaturemap at 0x7f0e262375e0>,circular,,551,lda
23,0.632,0.5574097519247221,3159.106393098831,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zfeaturemap at 0x7f0e262375e0>,sca,,551,lda
24,0.616,0.650823564997687,5540.244400262833,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zzfeaturemap at 0x7f0e26237670>,full,full,551,lda
25,0.58,0.5700860650755704,4191.101806879044,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zzfeaturemap at 0x7f0e26237670>,full,linear,551,lda
26,0.584,0.6102073253385341,4220.508857965469,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zzfeaturemap at 0x7f0e26237670>,full,circular,551,lda
27,0.576,0.5752535332829862,4153.279850244522,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zzfeaturemap at 0x7f0e26237670>,full,pairwise,551,lda
28,0.604,0.6194009695326422,4198.38009262085,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zzfeaturemap at 0x7f0e26237670>,full,sca,551,lda
29,0.604,0.6260559587409515,4972.4187104702,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zzfeaturemap at 0x7f0e26237670>,linear,full,551,lda
30,0.62,0.6232468378900856,3727.686942338944,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zzfeaturemap at 0x7f0e26237670>,linear,linear,551,lda
31,0.628,0.6406323923426396,3847.2206552028656,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zzfeaturemap at 0x7f0e26237670>,linear,circular,551,lda
32,0.596,0.5997556303149237,3718.197810411453,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zzfeaturemap at 0x7f0e26237670>,linear,pairwise,551,lda
33,0.596,0.605765526618975,3813.894622087479,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zzfeaturemap at 0x7f0e26237670>,linear,sca,551,lda
34,0.564,0.5826236559139785,5127.451149940491,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zzfeaturemap at 0x7f0e26237670>,circular,full,551,lda
35,0.612,0.6228872218147841,3758.9419300556174,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zzfeaturemap at 0x7f0e26237670>,circular,linear,551,lda
36,0.62,0.654739330695663,3916.2927238941193,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zzfeaturemap at 0x7f0e26237670>,circular,circular,551,lda
37,0.596,0.6081918229503815,3754.857583284378,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zzfeaturemap at 0x7f0e26237670>,circular,pairwise,551,lda
38,0.6,0.6132752924026386,3926.269601583481,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zzfeaturemap at 0x7f0e26237670>,circular,sca,551,lda
39,0.592,0.6055408629977651,5111.670450925827,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zzfeaturemap at 0x7f0e26237670>,sca,full,551,lda
40,0.592,0.5987128417564209,3794.673344373703,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zzfeaturemap at 0x7f0e26237670>,sca,linear,551,lda
41,0.6,0.6170244343891403,3858.169975757599,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zzfeaturemap at 0x7f0e26237670>,sca,circular,551,lda
42,0.628,0.645695104895105,3805.103422403336,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zzfeaturemap at 0x7f0e26237670>,sca,pairwise,551,lda
