index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.7,0.6559722160354244,2787.5170068740845,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_spsa at 0x7f66dc59eaf0>,<function get_zfeaturemap at 0x7f67149f93a0>,full,,551,lda
1,0.688,0.6510368454564407,2565.307051420212,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_spsa at 0x7f66dc59eaf0>,<function get_zfeaturemap at 0x7f67149f93a0>,linear,,551,lda
2,0.572,0.48879556479556474,2626.8977222442627,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_spsa at 0x7f66dc59eaf0>,<function get_zfeaturemap at 0x7f67149f93a0>,circular,,551,lda
3,0.68,0.6388558368460808,2616.5838162899017,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_spsa at 0x7f66dc59eaf0>,<function get_zfeaturemap at 0x7f67149f93a0>,sca,,551,lda
4,0.62,0.6410100765455975,4186.434221506119,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_spsa at 0x7f66dc59eaf0>,<function get_zzfeaturemap at 0x7f67149f9430>,full,full,551,lda
5,0.636,0.6374607012035585,3173.6763734817505,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_spsa at 0x7f66dc59eaf0>,<function get_zzfeaturemap at 0x7f67149f9430>,full,linear,551,lda
6,0.604,0.6293770777449159,3299.019500732422,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_spsa at 0x7f66dc59eaf0>,<function get_zzfeaturemap at 0x7f67149f9430>,full,circular,551,lda
7,0.588,0.6018207596325243,3174.6470572948456,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_spsa at 0x7f66dc59eaf0>,<function get_zzfeaturemap at 0x7f67149f9430>,full,pairwise,551,lda
8,0.592,0.6048724668131029,3236.5195076465607,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_spsa at 0x7f66dc59eaf0>,<function get_zzfeaturemap at 0x7f67149f9430>,full,sca,551,lda
9,0.608,0.6124784530761151,3859.596889257431,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_spsa at 0x7f66dc59eaf0>,<function get_zzfeaturemap at 0x7f67149f9430>,linear,full,551,lda
10,0.592,0.6290770432080227,2981.5906479358673,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_spsa at 0x7f66dc59eaf0>,<function get_zzfeaturemap at 0x7f67149f9430>,linear,linear,551,lda
11,0.624,0.6492249838417308,3032.487535238266,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_spsa at 0x7f66dc59eaf0>,<function get_zzfeaturemap at 0x7f67149f9430>,linear,circular,551,lda
12,0.64,0.6381314125537622,2945.0003230571747,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_spsa at 0x7f66dc59eaf0>,<function get_zzfeaturemap at 0x7f67149f9430>,linear,pairwise,551,lda
13,0.6,0.6363242714447533,3031.7355279922485,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_spsa at 0x7f66dc59eaf0>,<function get_zzfeaturemap at 0x7f67149f9430>,linear,sca,551,lda
14,0.592,0.6015337121712699,4008.1837480068207,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_spsa at 0x7f66dc59eaf0>,<function get_zzfeaturemap at 0x7f67149f9430>,circular,full,551,lda
15,0.584,0.6044169578622816,3024.348227262497,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_spsa at 0x7f66dc59eaf0>,<function get_zzfeaturemap at 0x7f67149f9430>,circular,linear,551,lda
16,0.588,0.6048419709322935,3072.992461204529,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_spsa at 0x7f66dc59eaf0>,<function get_zzfeaturemap at 0x7f67149f9430>,circular,circular,551,lda
17,0.58,0.5781546079839799,3013.591961145401,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_spsa at 0x7f66dc59eaf0>,<function get_zzfeaturemap at 0x7f67149f9430>,circular,pairwise,551,lda
18,0.628,0.6283426769170115,3048.8979041576385,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_spsa at 0x7f66dc59eaf0>,<function get_zzfeaturemap at 0x7f67149f9430>,circular,sca,551,lda
19,0.612,0.6379824046920821,3906.70156621933,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_spsa at 0x7f66dc59eaf0>,<function get_zzfeaturemap at 0x7f67149f9430>,sca,full,551,lda
