index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.552,0.39882722513089,2782.4087946414948,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zfeaturemap at 0x7f1cbe0493a0>,full,,551,pca
1,0.58,0.45257285112436385,2562.2167670726776,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zfeaturemap at 0x7f1cbe0493a0>,linear,,551,pca
2,0.588,0.46428136569313033,2633.9521219730377,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zfeaturemap at 0x7f1cbe0493a0>,circular,,551,pca
3,0.588,0.47192552995391707,2589.8430919647217,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zfeaturemap at 0x7f1cbe0493a0>,sca,,551,pca
4,0.808,0.8233262719594334,4041.7685391902924,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,full,full,551,pca
5,0.824,0.8301708726056551,3120.1642665863037,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,full,linear,551,pca
6,0.892,0.8936319041970286,3199.4209246635437,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,full,circular,551,pca
7,0.9,0.8959096401365904,3121.6047530174255,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,full,pairwise,551,pca
8,0.92,0.9086950090714168,3246.974115371704,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,full,sca,551,pca
9,0.844,0.8225145794127766,3894.509546995163,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,linear,full,551,pca
10,0.848,0.8741878198076515,2954.824188709259,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,linear,linear,551,pca
11,0.924,0.9198643632336656,3035.7036097049713,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,linear,circular,551,pca
12,0.816,0.8212799767593869,2954.7221245765686,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,linear,pairwise,551,pca
13,0.676,0.6464430752699085,3013.5951936244965,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,linear,sca,551,pca
14,0.848,0.8647513576235787,3865.319184064865,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,circular,full,551,pca
15,0.88,0.8899127623709794,2960.650574207306,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,circular,linear,551,pca
16,0.844,0.8138348530901721,3057.531152009964,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,circular,circular,551,pca
17,0.904,0.8953284579891482,3012.2418506145477,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,circular,pairwise,551,pca
18,0.888,0.8905889254119541,3015.660179376602,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,circular,sca,551,pca
19,0.796,0.7579997426768934,3858.019496679306,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,sca,full,551,pca
20,0.892,0.894151755245934,2964.105309486389,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,sca,linear,551,pca
21,0.92,0.9171761656343826,3035.1968433856964,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,sca,circular,551,pca
22,0.884,0.8750330395530125,2975.6472659111023,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,sca,pairwise,551,pca
23,0.912,0.9129596647988288,3034.1415638923645,<function get_efficientsu2 at 0x7f1cb6ed5ee0>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,sca,sca,551,pca
24,0.664,0.5599316953316953,2197.4293501377106,<function get_paulitwodesign at 0x7f1cbe049670>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zfeaturemap at 0x7f1cbe0493a0>,,,551,pca
25,0.868,0.8741644497876389,3524.475615501404,<function get_paulitwodesign at 0x7f1cbe049670>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,,full,551,pca
26,0.916,0.9180466487279844,2594.349318265915,<function get_paulitwodesign at 0x7f1cbe049670>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,,linear,551,pca
27,0.624,0.6471743182533467,2625.968850135803,<function get_paulitwodesign at 0x7f1cbe049670>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,,circular,551,pca
28,0.952,0.9441707231040565,2579.6711614131927,<function get_paulitwodesign at 0x7f1cbe049670>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,,pairwise,551,pca
29,0.64,0.6607103368754614,2670.4376950263977,<function get_paulitwodesign at 0x7f1cbe049670>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,,sca,551,pca
30,0.636,0.5343384615384617,2431.742290019989,<function get_realamplitudes at 0x7f1cb7447160>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zfeaturemap at 0x7f1cbe0493a0>,full,,551,pca
31,0.656,0.552605007824726,2194.8867032527924,<function get_realamplitudes at 0x7f1cb7447160>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zfeaturemap at 0x7f1cbe0493a0>,linear,,551,pca
32,0.656,0.5569319919517102,2191.596659898758,<function get_realamplitudes at 0x7f1cb7447160>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zfeaturemap at 0x7f1cbe0493a0>,circular,,551,pca
33,0.648,0.5446991596638655,2236.1128993034363,<function get_realamplitudes at 0x7f1cb7447160>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zfeaturemap at 0x7f1cbe0493a0>,sca,,551,pca
34,0.816,0.7881434904751978,3726.938784122467,<function get_realamplitudes at 0x7f1cb7447160>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,full,full,551,pca
35,0.876,0.8838066072129676,2759.5379276275635,<function get_realamplitudes at 0x7f1cb7447160>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,full,linear,551,pca
36,0.84,0.8365898595582083,2774.6256561279297,<function get_realamplitudes at 0x7f1cb7447160>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,full,circular,551,pca
37,0.804,0.7842431959775693,2640.3079607486725,<function get_realamplitudes at 0x7f1cb7447160>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,full,pairwise,551,pca
38,0.816,0.7838854545454547,2795.7272374629974,<function get_realamplitudes at 0x7f1cb7447160>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,full,sca,551,pca
39,0.824,0.8218647972399276,3472.0277371406555,<function get_realamplitudes at 0x7f1cb7447160>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,linear,full,551,pca
40,0.92,0.9160923966411233,2528.9638755321503,<function get_realamplitudes at 0x7f1cb7447160>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,linear,linear,551,pca
41,0.848,0.8352705564755161,2625.8483765125275,<function get_realamplitudes at 0x7f1cb7447160>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,linear,circular,551,pca
42,0.94,0.9356716341212745,2488.2267973423004,<function get_realamplitudes at 0x7f1cb7447160>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,linear,pairwise,551,pca
43,0.86,0.8659897012078831,2597.9363627433777,<function get_realamplitudes at 0x7f1cb7447160>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,linear,sca,551,pca
44,0.816,0.8259720158010682,3479.6406531333923,<function get_realamplitudes at 0x7f1cb7447160>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,circular,full,551,pca
45,0.888,0.8857685619686231,2603.074191570282,<function get_realamplitudes at 0x7f1cb7447160>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,circular,linear,551,pca
46,0.9,0.9032709217016723,2657.4830980300903,<function get_realamplitudes at 0x7f1cb7447160>,<function get_spsa at 0x7f1c85bee9d0>,<function get_zzfeaturemap at 0x7f1cbe049430>,circular,circular,551,pca
