index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.652,0.5574558629776021,3569.347162246704,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_spsa at 0x7ff33d54d040>,<function get_zfeaturemap at 0x7ff37478f1f0>,full,,551,pca
1,0.64,0.5326827739754267,3220.2018773555756,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_spsa at 0x7ff33d54d040>,<function get_zfeaturemap at 0x7ff37478f1f0>,linear,,551,pca
2,0.58,0.45279225103420434,3114.8479363918304,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_spsa at 0x7ff33d54d040>,<function get_zfeaturemap at 0x7ff37478f1f0>,circular,,551,pca
3,0.62,0.5142827838827838,3151.4638257026672,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_spsa at 0x7ff33d54d040>,<function get_zfeaturemap at 0x7ff37478f1f0>,sca,,551,pca
4,0.876,0.8786332183790102,5376.559123039246,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_spsa at 0x7ff33d54d040>,<function get_zzfeaturemap at 0x7ff37478f280>,full,full,551,pca
5,0.876,0.8832314569697964,4080.511195421219,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_spsa at 0x7ff33d54d040>,<function get_zzfeaturemap at 0x7ff37478f280>,full,linear,551,pca
6,0.832,0.7897668673768721,4249.948982954025,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_spsa at 0x7ff33d54d040>,<function get_zzfeaturemap at 0x7ff37478f280>,full,circular,551,pca
7,0.912,0.9102860083152018,4118.330828905106,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_spsa at 0x7ff33d54d040>,<function get_zzfeaturemap at 0x7ff37478f280>,full,pairwise,551,pca
8,0.888,0.8867917213868309,4248.099902153015,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_spsa at 0x7ff33d54d040>,<function get_zzfeaturemap at 0x7ff37478f280>,full,sca,551,pca
9,0.796,0.8177641428396122,4991.153833389282,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_spsa at 0x7ff33d54d040>,<function get_zzfeaturemap at 0x7ff37478f280>,linear,full,551,pca
10,0.872,0.8825344986469297,3693.8729865550995,<function get_efficientsu2 at 0x7ff36dbb39d0>,<function get_spsa at 0x7ff33d54d040>,<function get_zzfeaturemap at 0x7ff37478f280>,linear,linear,551,pca
