index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.552,0.39675,2736.7263844013214,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zfeaturemap at 0x7f59d20123a0>,full,,551,pca
1,0.632,0.5232488935721813,2527.223687648773,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zfeaturemap at 0x7f59d20123a0>,linear,,551,pca
2,0.564,0.4147444976076554,2573.7536776065826,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zfeaturemap at 0x7f59d20123a0>,circular,,551,pca
3,0.648,0.5523844439772966,2546.3000361919403,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zfeaturemap at 0x7f59d20123a0>,sca,,551,pca
4,0.812,0.7773480138310326,4141.948448419571,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,full,full,551,pca
5,0.8,0.7942754586958395,3194.3377170562744,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,full,linear,551,pca
6,0.724,0.6963835771590372,3197.856683731079,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,full,circular,551,pca
7,0.84,0.8600833224329628,3092.8332102298737,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,full,pairwise,551,pca
8,0.888,0.8896408433434249,3307.2705085277557,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,full,sca,551,pca
9,0.704,0.7213204024456581,3913.397450208664,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,linear,full,551,pca
10,0.852,0.8562761385804055,2924.034595966339,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,linear,linear,551,pca
11,0.932,0.9328868571428572,2992.5110969543457,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,linear,circular,551,pca
12,0.932,0.9266297919446503,2950.6240141391754,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,linear,pairwise,551,pca
13,0.828,0.8451459888236428,3028.2959549427032,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,linear,sca,551,pca
14,0.776,0.7708265734265735,3893.2150416374207,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,circular,full,551,pca
15,0.888,0.8840812438311011,2965.6212043762207,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,circular,linear,551,pca
16,0.848,0.818969536617066,3118.289459705353,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,circular,circular,551,pca
17,0.92,0.9207848938223939,2992.865149497986,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,circular,pairwise,551,pca
18,0.928,0.9239377806873976,3064.092122077942,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,circular,sca,551,pca
19,0.86,0.8630616716079524,3968.379534482956,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,sca,full,551,pca
20,0.916,0.9124662593984962,2998.0384361743927,<function get_efficientsu2 at 0x7f59cae9fee0>,<function get_spsa at 0x7f5999bb6940>,<function get_zzfeaturemap at 0x7f59d2012430>,sca,linear,551,pca
