index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.824,0.8478567083215771,3574.4642384052277,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zfeaturemap at 0x7f11688221f0>,full,,551,pca
1,0.792,0.7360243865062934,3132.626188993454,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zfeaturemap at 0x7f11688221f0>,linear,,551,pca
2,0.812,0.8226221077168445,3155.7952241897583,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zfeaturemap at 0x7f11688221f0>,circular,,551,pca
3,0.88,0.8748543719448696,3123.6990361213684,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zfeaturemap at 0x7f11688221f0>,sca,,551,pca
4,0.736,0.765729542880982,5413.8331990242,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,full,full,551,pca
5,0.752,0.7486819370460048,4119.0413320064545,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,full,linear,551,pca
6,0.744,0.7511671327747792,4242.980032205582,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,full,circular,551,pca
7,0.692,0.6818696112658377,4064.821672677994,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,full,pairwise,551,pca
8,0.7,0.7239014631037295,4240.208961009979,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,full,sca,551,pca
9,0.644,0.6693148165277312,4998.23148226738,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,linear,full,551,pca
10,0.716,0.7100979188281965,3655.118719100952,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,linear,linear,551,pca
11,0.656,0.6817576971214018,3734.986248731613,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,linear,circular,551,pca
12,0.688,0.6869017157585108,3684.9919786453247,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,linear,pairwise,551,pca
13,0.648,0.6318120811466325,3750.7153038978577,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,linear,sca,551,pca
14,0.688,0.7176415374286814,5079.506152153015,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,circular,full,551,pca
15,0.756,0.7662667485720956,3739.721161842346,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,circular,linear,551,pca
16,0.732,0.7451817095163575,3991.2461342811584,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,circular,circular,551,pca
17,0.656,0.6617760756620165,3784.538838624954,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,circular,pairwise,551,pca
18,0.644,0.6393716236092474,3843.239732503891,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,circular,sca,551,pca
19,0.596,0.6050504225239297,5159.097151994705,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,sca,full,551,pca
20,0.72,0.7301397289060892,3816.0706040859222,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,sca,linear,551,pca
21,0.676,0.6762088632684127,3921.3461017608643,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,sca,circular,551,pca
22,0.724,0.7389773704309873,3804.809836626053,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,sca,pairwise,551,pca
23,0.716,0.7281629943515597,3831.276631593704,<function get_efficientsu2 at 0x7f1161c469d0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,sca,sca,551,pca
24,0.656,0.6879966813585688,2637.339231967926,<function get_paulitwodesign at 0x7f11688224c0>,<function get_spsa at 0x7f11315e3040>,<function get_zfeaturemap at 0x7f11688221f0>,,,551,pca
25,0.648,0.6554322981219105,4701.987046003342,<function get_paulitwodesign at 0x7f11688224c0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,,full,551,pca
26,0.712,0.7096348790107665,3147.7845137119293,<function get_paulitwodesign at 0x7f11688224c0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,,linear,551,pca
27,0.64,0.6625786553103626,3273.3210060596466,<function get_paulitwodesign at 0x7f11688224c0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,,circular,551,pca
28,0.668,0.6728131865366468,3136.1300053596497,<function get_paulitwodesign at 0x7f11688224c0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,,pairwise,551,pca
29,0.732,0.7503090268042989,3290.5635619163513,<function get_paulitwodesign at 0x7f11688224c0>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,,sca,551,pca
30,0.76,0.7798778033560643,2976.562663793564,<function get_realamplitudes at 0x7f116216a550>,<function get_spsa at 0x7f11315e3040>,<function get_zfeaturemap at 0x7f11688221f0>,full,,551,pca
31,0.844,0.8368697388632872,2587.1484067440033,<function get_realamplitudes at 0x7f116216a550>,<function get_spsa at 0x7f11315e3040>,<function get_zfeaturemap at 0x7f11688221f0>,linear,,551,pca
32,0.808,0.8409445275040441,2632.55757689476,<function get_realamplitudes at 0x7f116216a550>,<function get_spsa at 0x7f11315e3040>,<function get_zfeaturemap at 0x7f11688221f0>,circular,,551,pca
33,0.788,0.7774777999973512,2596.5139441490173,<function get_realamplitudes at 0x7f116216a550>,<function get_spsa at 0x7f11315e3040>,<function get_zfeaturemap at 0x7f11688221f0>,sca,,551,pca
34,0.66,0.6781739130434783,4843.111852884293,<function get_realamplitudes at 0x7f116216a550>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,full,full,551,pca
35,0.628,0.5860711271850512,3491.6355028152466,<function get_realamplitudes at 0x7f116216a550>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,full,linear,551,pca
36,0.66,0.6783602150537634,3660.9945402145386,<function get_realamplitudes at 0x7f116216a550>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,full,circular,551,pca
37,0.664,0.6372831524056142,3569.076180934906,<function get_realamplitudes at 0x7f116216a550>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,full,pairwise,551,pca
38,0.64,0.6364978158865233,3662.019305706024,<function get_realamplitudes at 0x7f116216a550>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,full,sca,551,pca
39,0.624,0.6328362447499046,4426.914633512497,<function get_realamplitudes at 0x7f116216a550>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,linear,full,551,pca
40,0.688,0.6828236142982727,3110.4050149917603,<function get_realamplitudes at 0x7f116216a550>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,linear,linear,551,pca
41,0.668,0.6830275283751589,3217.44167137146,<function get_realamplitudes at 0x7f116216a550>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,linear,circular,551,pca
42,0.668,0.6551102094904262,3180.0249688625336,<function get_realamplitudes at 0x7f116216a550>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,linear,pairwise,551,pca
43,0.768,0.7766910082936112,3272.4474544525146,<function get_realamplitudes at 0x7f116216a550>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,linear,sca,551,pca
44,0.668,0.672761743877038,4431.428441524506,<function get_realamplitudes at 0x7f116216a550>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,circular,full,551,pca
45,0.648,0.6484069222809216,3137.258411884308,<function get_realamplitudes at 0x7f116216a550>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,circular,linear,551,pca
46,0.744,0.7695086704018743,3227.814344406128,<function get_realamplitudes at 0x7f116216a550>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,circular,circular,551,pca
47,0.692,0.6996886114087723,3147.2360622882843,<function get_realamplitudes at 0x7f116216a550>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,circular,pairwise,551,pca
48,0.652,0.6764371823298653,3343.541896343231,<function get_realamplitudes at 0x7f116216a550>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,circular,sca,551,pca
49,0.664,0.6862986621443377,4501.385586023331,<function get_realamplitudes at 0x7f116216a550>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,sca,full,551,pca
50,0.688,0.6815337970889821,3175.7891404628754,<function get_realamplitudes at 0x7f116216a550>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,sca,linear,551,pca
51,0.672,0.6867353129922408,3220.434065103531,<function get_realamplitudes at 0x7f116216a550>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,sca,circular,551,pca
52,0.668,0.6764212258329906,3197.7696974277496,<function get_realamplitudes at 0x7f116216a550>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,sca,pairwise,551,pca
53,0.676,0.701198315667199,3290.93372797966,<function get_realamplitudes at 0x7f116216a550>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,sca,sca,551,pca
54,0.828,0.8527562886843882,3023.736385345459,<function get_twolocal at 0x7f1168822310>,<function get_spsa at 0x7f11315e3040>,<function get_zfeaturemap at 0x7f11688221f0>,full,,551,pca
55,0.872,0.8790789010478962,2572.6831860542297,<function get_twolocal at 0x7f1168822310>,<function get_spsa at 0x7f11315e3040>,<function get_zfeaturemap at 0x7f11688221f0>,linear,,551,pca
56,0.828,0.843016761016761,2617.253692626953,<function get_twolocal at 0x7f1168822310>,<function get_spsa at 0x7f11315e3040>,<function get_zfeaturemap at 0x7f11688221f0>,circular,,551,pca
57,0.8,0.7522255412289341,2571.4472708702087,<function get_twolocal at 0x7f1168822310>,<function get_spsa at 0x7f11315e3040>,<function get_zfeaturemap at 0x7f11688221f0>,pairwise,,551,pca
58,0.848,0.8300022376857198,2628.6887896060944,<function get_twolocal at 0x7f1168822310>,<function get_spsa at 0x7f11315e3040>,<function get_zfeaturemap at 0x7f11688221f0>,sca,,551,pca
59,0.664,0.6755728250244378,4636.69692158699,<function get_twolocal at 0x7f1168822310>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,full,full,551,pca
60,0.656,0.6491048285400479,3503.630200624466,<function get_twolocal at 0x7f1168822310>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,full,linear,551,pca
61,0.584,0.56586017111616,3499.459535598755,<function get_twolocal at 0x7f1168822310>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,full,circular,551,pca
62,0.648,0.6525919039989798,3499.3336782455444,<function get_twolocal at 0x7f1168822310>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,full,pairwise,551,pca
63,0.712,0.7405543823772648,3363.1218185424805,<function get_twolocal at 0x7f1168822310>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,full,sca,551,pca
64,0.676,0.7031833767835617,4388.634646177292,<function get_twolocal at 0x7f1168822310>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,linear,full,551,pca
65,0.624,0.6162945578231291,2385.6083829402924,<function get_twolocal at 0x7f1168822310>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,linear,linear,551,pca
66,0.68,0.678348717948718,3039.386152982712,<function get_twolocal at 0x7f1168822310>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,linear,circular,551,pca
67,0.676,0.6552604105998835,2050.257685661316,<function get_twolocal at 0x7f1168822310>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,linear,pairwise,551,pca
68,0.676,0.702627386495853,2930.103756427765,<function get_twolocal at 0x7f1168822310>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,linear,sca,551,pca
69,0.632,0.6419106182515529,2630.8270699977875,<function get_twolocal at 0x7f1168822310>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,circular,full,551,pca
70,0.74,0.7699981762917932,2768.8270807266235,<function get_twolocal at 0x7f1168822310>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,circular,linear,551,pca
71,0.704,0.7243473718746356,2125.9807467460632,<function get_twolocal at 0x7f1168822310>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,circular,circular,551,pca
72,0.748,0.7616386913229019,2823.763349056244,<function get_twolocal at 0x7f1168822310>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,circular,pairwise,551,pca
73,0.708,0.7249804808437833,1977.4832661151886,<function get_twolocal at 0x7f1168822310>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,circular,sca,551,pca
74,0.664,0.6845277377433617,3676.348124265671,<function get_twolocal at 0x7f1168822310>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,pairwise,full,551,pca
75,0.68,0.6780194578940224,1836.4048218727112,<function get_twolocal at 0x7f1168822310>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,pairwise,linear,551,pca
76,0.724,0.7497118635655221,2734.12579202652,<function get_twolocal at 0x7f1168822310>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,pairwise,circular,551,pca
77,0.648,0.6304271471471472,1999.623046875,<function get_twolocal at 0x7f1168822310>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,pairwise,pairwise,551,pca
78,0.692,0.7076870306225669,2702.8979885578156,<function get_twolocal at 0x7f1168822310>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,pairwise,sca,551,pca
79,0.66,0.6896065959952886,2709.8983244895935,<function get_twolocal at 0x7f1168822310>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,sca,full,551,pca
80,0.672,0.6627705322185455,2613.58229637146,<function get_twolocal at 0x7f1168822310>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,sca,linear,551,pca
81,0.64,0.6256401734673763,2045.9666821956635,<function get_twolocal at 0x7f1168822310>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,sca,circular,551,pca
82,0.696,0.699955715619581,2598.874467611313,<function get_twolocal at 0x7f1168822310>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,sca,pairwise,551,pca
83,0.736,0.7545389185977421,1866.2340950965881,<function get_twolocal at 0x7f1168822310>,<function get_spsa at 0x7f11315e3040>,<function get_zzfeaturemap at 0x7f1168822280>,sca,sca,551,pca
