,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
20,0.824,0.8314418410549517,3603.691625833512,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zfeaturemap at 0x7f0e262375e0>,full,,551,pca
21,0.832,0.8333758999492986,3242.581023454666,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zfeaturemap at 0x7f0e262375e0>,linear,,551,pca
22,0.82,0.7973389985397334,3256.966137170792,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zfeaturemap at 0x7f0e262375e0>,circular,,551,pca
23,0.812,0.786651204560021,3200.1073746681213,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zfeaturemap at 0x7f0e262375e0>,sca,,551,pca
24,0.648,0.6642288020876602,5451.145087003708,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zzfeaturemap at 0x7f0e26237670>,full,full,551,pca
25,0.68,0.6850460478454242,4126.5463235378265,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zzfeaturemap at 0x7f0e26237670>,full,linear,551,pca
26,0.712,0.7379523809523809,4220.366447687149,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zzfeaturemap at 0x7f0e26237670>,full,circular,551,pca
27,0.664,0.660528155611091,4192.187200307846,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zzfeaturemap at 0x7f0e26237670>,full,pairwise,551,pca
28,0.728,0.7292932551319647,4296.274437189102,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zzfeaturemap at 0x7f0e26237670>,full,sca,551,pca
29,0.636,0.6335895059918284,5162.519305467606,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zzfeaturemap at 0x7f0e26237670>,linear,full,551,pca
30,0.648,0.6412749315942593,3693.399310350418,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zzfeaturemap at 0x7f0e26237670>,linear,linear,551,pca
31,0.696,0.697131636020745,3791.065964698792,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zzfeaturemap at 0x7f0e26237670>,linear,circular,551,pca
32,0.672,0.6780928561200624,3710.325273275376,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zzfeaturemap at 0x7f0e26237670>,linear,pairwise,551,pca
33,0.688,0.6976612484884124,3808.835504770279,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zzfeaturemap at 0x7f0e26237670>,linear,sca,551,pca
34,0.628,0.6352620548447377,5018.377006053925,<function get_efficientsu2 at 0x7f0e262378b0>,<function get_spsa at 0x7f0e262379d0>,<function get_zzfeaturemap at 0x7f0e26237670>,circular,full,551,pca
