index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.752,0.712011255191118,2815.8059873580933,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_spsa at 0x7f66dc59eaf0>,<function get_zfeaturemap at 0x7f67149f93a0>,full,,551,pca
1,0.824,0.8127894338324498,2625.8559560775757,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_spsa at 0x7f66dc59eaf0>,<function get_zfeaturemap at 0x7f67149f93a0>,linear,,551,pca
2,0.896,0.8897976334738924,2608.034912109375,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_spsa at 0x7f66dc59eaf0>,<function get_zfeaturemap at 0x7f67149f93a0>,circular,,551,pca
3,0.808,0.783624833578586,2587.964911699295,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_spsa at 0x7f66dc59eaf0>,<function get_zfeaturemap at 0x7f67149f93a0>,sca,,551,pca
4,0.692,0.7119453999900808,4124.497401475906,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_spsa at 0x7f66dc59eaf0>,<function get_zzfeaturemap at 0x7f67149f9430>,full,full,551,pca
5,0.728,0.7334146745755615,3207.541284799576,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_spsa at 0x7f66dc59eaf0>,<function get_zzfeaturemap at 0x7f67149f9430>,full,linear,551,pca
6,0.684,0.7195400617555084,3266.5278499126434,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_spsa at 0x7f66dc59eaf0>,<function get_zzfeaturemap at 0x7f67149f9430>,full,circular,551,pca
7,0.704,0.7014455934195064,3196.263664960861,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_spsa at 0x7f66dc59eaf0>,<function get_zzfeaturemap at 0x7f67149f9430>,full,pairwise,551,pca
8,0.704,0.7185191547198184,3320.8911230564117,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_spsa at 0x7f66dc59eaf0>,<function get_zzfeaturemap at 0x7f67149f9430>,full,sca,551,pca
9,0.648,0.6528346538637332,3992.5513999462128,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_spsa at 0x7f66dc59eaf0>,<function get_zzfeaturemap at 0x7f67149f9430>,linear,full,551,pca
10,0.736,0.7662043193563427,2980.0665230751038,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_spsa at 0x7f66dc59eaf0>,<function get_zzfeaturemap at 0x7f67149f9430>,linear,linear,551,pca
11,0.696,0.7255762731891764,3022.5399689674377,<function get_efficientsu2 at 0x7f670d885ee0>,<function get_spsa at 0x7f66dc59eaf0>,<function get_zzfeaturemap at 0x7f67149f9430>,linear,circular,551,pca
