index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.724,0.6474322580645162,9739.407819271088,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zfeaturemap at 0x7f09a6ad61f0>,full,,250,lda
1,0.708,0.6414399999999999,8585.108345031738,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zfeaturemap at 0x7f09a6ad61f0>,linear,,250,lda
2,0.832,0.7930506566604127,8546.328270196915,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zfeaturemap at 0x7f09a6ad61f0>,circular,,250,lda
3,0.936,0.9208797898360358,8594.978046178818,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zfeaturemap at 0x7f09a6ad61f0>,sca,,250,lda
4,0.588,0.6336080774984503,14623.76165819168,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,full,250,lda
5,0.716,0.6956832078275089,12128.161633014679,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,linear,250,lda
6,0.64,0.6612314765694076,12286.200004577637,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,circular,250,lda
7,0.688,0.6723801918005534,12145.623214960098,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,pairwise,250,lda
8,0.74,0.7369287729570704,12272.497574090958,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,sca,250,lda
9,0.592,0.6520969552238806,13457.216764688492,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,linear,full,250,lda
10,0.88,0.8741985435302734,10976.248475790024,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,linear,linear,250,lda
11,0.888,0.8755546432153231,11055.852229595184,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,linear,circular,250,lda
12,0.832,0.8083340020328466,10996.094958305359,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,linear,pairwise,250,lda
13,0.74,0.7473351506456242,11113.77100777626,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,linear,sca,250,lda
14,0.684,0.6875106554185594,13531.379975557327,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,circular,full,250,lda
15,0.752,0.7291620660041712,10998.557414770126,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,circular,linear,250,lda
16,0.764,0.7987843009989094,11203.915415763855,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,circular,circular,250,lda
17,0.64,0.6377029097715763,11008.100121974945,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,circular,pairwise,250,lda
18,0.708,0.702208578518256,11137.199407815933,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,circular,sca,250,lda
19,0.62,0.655846044249889,11699.533681154251,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,sca,full,216,lda
20,0.868,0.8729284086363132,11021.47396183014,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,sca,linear,250,lda
21,0.572,0.6480435736578473,11084.641061782837,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,sca,circular,250,lda
22,0.772,0.7688641801548205,11077.42372059822,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,sca,pairwise,250,lda
