index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.308,0.3959536996336997,9637.324797391891,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zfeaturemap at 0x7f379d2dc1f0>,full,,250,lda
1,0.648,0.6273227139634907,8462.173169851303,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zfeaturemap at 0x7f379d2dc1f0>,linear,,250,lda
2,0.672,0.6532708742402993,8503.135357141495,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zfeaturemap at 0x7f379d2dc1f0>,circular,,250,lda
3,0.628,0.5707307672291279,8532.704257011414,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zfeaturemap at 0x7f379d2dc1f0>,sca,,250,lda
4,0.552,0.5760718440185062,14585.642920255661,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,full,250,lda
5,0.612,0.6240209499358153,12077.318788766861,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,linear,250,lda
6,0.584,0.5943035152089005,12204.626943588257,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,circular,250,lda
7,0.612,0.634729717341482,12081.83094906807,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,pairwise,250,lda
8,0.608,0.6131836322316505,12201.464968681335,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,sca,250,lda
9,0.56,0.5967781966322651,13464.083051919937,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,linear,full,250,lda
10,0.62,0.6272445384073292,10973.080388307571,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,linear,linear,250,lda
11,0.64,0.6455456425025252,11140.477069616318,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,linear,circular,250,lda
12,0.636,0.6499299738708475,10944.837976932526,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,linear,pairwise,250,lda
13,0.596,0.6230513933612828,11036.908380270004,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,linear,sca,250,lda
