index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing,noise
20,0.716,0.7092067854475622,9611.048521280289,<function get_efficientsu2 at 0x7f16c9920790>,<function get_cobyla at 0x7f16c9920820>,<function get_zfeaturemap at 0x7f16d04e8d30>,full,,250,lda,ibm_perth
21,0.624,0.591074381250933,8497.083180904388,<function get_efficientsu2 at 0x7f16c9920790>,<function get_cobyla at 0x7f16c9920820>,<function get_zfeaturemap at 0x7f16d04e8d30>,linear,,250,lda,ibm_perth
22,0.656,0.5978400341442595,8499.408907651901,<function get_efficientsu2 at 0x7f16c9920790>,<function get_cobyla at 0x7f16c9920820>,<function get_zfeaturemap at 0x7f16d04e8d30>,circular,,250,lda,ibm_perth
23,0.664,0.602376390904693,8485.483025550842,<function get_efficientsu2 at 0x7f16c9920790>,<function get_cobyla at 0x7f16c9920820>,<function get_zfeaturemap at 0x7f16d04e8d30>,sca,,250,lda,ibm_perth
24,0.64,0.6445099971022892,14637.407536506653,<function get_efficientsu2 at 0x7f16c9920790>,<function get_cobyla at 0x7f16c9920820>,<function get_zzfeaturemap at 0x7f16d04e8dc0>,full,full,250,lda,ibm_perth
25,0.656,0.6557524724464429,12074.666471719742,<function get_efficientsu2 at 0x7f16c9920790>,<function get_cobyla at 0x7f16c9920820>,<function get_zzfeaturemap at 0x7f16d04e8dc0>,full,linear,250,lda,ibm_perth
26,0.604,0.6228239048622611,12180.41522026062,<function get_efficientsu2 at 0x7f16c9920790>,<function get_cobyla at 0x7f16c9920820>,<function get_zzfeaturemap at 0x7f16d04e8dc0>,full,circular,250,lda,ibm_perth
27,0.624,0.6399991760816504,12155.006417274475,<function get_efficientsu2 at 0x7f16c9920790>,<function get_cobyla at 0x7f16c9920820>,<function get_zzfeaturemap at 0x7f16d04e8dc0>,full,pairwise,250,lda,ibm_perth
28,0.6,0.597857206360578,12187.95859003067,<function get_efficientsu2 at 0x7f16c9920790>,<function get_cobyla at 0x7f16c9920820>,<function get_zzfeaturemap at 0x7f16d04e8dc0>,full,sca,250,lda,ibm_perth
29,0.584,0.5967204325112583,13412.291214942932,<function get_efficientsu2 at 0x7f16c9920790>,<function get_cobyla at 0x7f16c9920820>,<function get_zzfeaturemap at 0x7f16d04e8dc0>,linear,full,250,lda,ibm_perth
