index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.556,0.4064716695753344,9692.673512220383,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zfeaturemap at 0x7f09a6ad61f0>,full,,250,pca
1,0.56,0.41694069060456573,8529.669367551804,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zfeaturemap at 0x7f09a6ad61f0>,linear,,250,pca
2,0.556,0.4001605584642233,8607.9130692482,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zfeaturemap at 0x7f09a6ad61f0>,circular,,250,pca
3,0.728,0.6901936040293926,8564.731548309326,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zfeaturemap at 0x7f09a6ad61f0>,sca,,250,pca
4,0.656,0.6862542433066837,14634.432024002075,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,full,250,pca
5,0.692,0.6297325373743559,12128.216504573822,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,linear,250,pca
6,0.708,0.6529620582444701,12288.651053905487,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,circular,250,pca
7,0.648,0.6483682287861393,12197.86258149147,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,pairwise,250,pca
8,0.764,0.7588327283325825,12285.75677061081,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,sca,250,pca
9,0.692,0.7008553496325739,13451.377809286118,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,linear,full,250,pca
10,0.648,0.6128425544786467,11065.035558700562,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,linear,linear,250,pca
11,0.892,0.8892899858156028,11051.943439483643,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,linear,circular,250,pca
12,0.664,0.6596413505772069,9345.499687433243,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,linear,pairwise,212,pca
13,0.864,0.8601600040383645,11084.435283899307,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,linear,sca,250,pca
14,0.62,0.6698841475123465,13562.07723069191,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,circular,full,250,pca
15,0.676,0.6681327454695406,11033.511272192001,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,circular,linear,250,pca
16,0.696,0.6985854104449654,11162.468441486359,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,circular,circular,250,pca
17,0.788,0.7871469513029539,10989.687372207642,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,circular,pairwise,250,pca
18,0.632,0.6607829870778014,11157.825373888016,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,circular,sca,250,pca
19,0.712,0.738119788849888,13487.176715612411,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,sca,full,250,pca
20,0.664,0.7539947124917381,11078.018335819244,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,sca,linear,250,pca
21,0.72,0.7200019570216885,11108.56741809845,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,sca,circular,250,pca
22,0.596,0.5750822837691474,11030.701553106308,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,sca,pairwise,250,pca
23,0.616,0.6214141426783478,11109.61593747139,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,sca,sca,250,pca
24,0.552,0.4377931034482759,6545.359750986099,<function get_paulitwodesign at 0x7f09a6ad64c0>,<function get_cobyla at 0x7f096f895f70>,<function get_zfeaturemap at 0x7f09a6ad61f0>,,,170,pca
25,0.556,0.628107941059339,7767.0502140522,<function get_paulitwodesign at 0x7f09a6ad64c0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,,full,133,pca
26,0.844,0.8446857142857143,10451.417871236801,<function get_paulitwodesign at 0x7f09a6ad64c0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,,linear,216,pca
27,0.844,0.8402227196580732,7248.080771446228,<function get_paulitwodesign at 0x7f09a6ad64c0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,,circular,149,pca
28,0.896,0.8953337842705904,10162.434888839722,<function get_paulitwodesign at 0x7f09a6ad64c0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,,pairwise,210,pca
29,0.624,0.6138284839978251,7699.733279466629,<function get_paulitwodesign at 0x7f09a6ad64c0>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,,sca,157,pca
30,0.568,0.48849639639639636,6628.553727388382,<function get_realamplitudes at 0x7f09a041e550>,<function get_cobyla at 0x7f096f895f70>,<function get_zfeaturemap at 0x7f09a6ad61f0>,full,,187,pca
31,0.552,0.4328181818181818,6345.308254480362,<function get_realamplitudes at 0x7f09a041e550>,<function get_cobyla at 0x7f096f895f70>,<function get_zfeaturemap at 0x7f09a6ad61f0>,linear,,206,pca
32,0.6,0.48916705698672913,6468.552553892136,<function get_realamplitudes at 0x7f09a041e550>,<function get_cobyla at 0x7f096f895f70>,<function get_zfeaturemap at 0x7f09a6ad61f0>,circular,,209,pca
33,0.64,0.5416980426051147,7321.104524374008,<function get_realamplitudes at 0x7f09a041e550>,<function get_cobyla at 0x7f096f895f70>,<function get_zfeaturemap at 0x7f09a6ad61f0>,sca,,238,pca
34,0.612,0.6526063201557298,8588.343935728073,<function get_realamplitudes at 0x7f09a041e550>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,full,156,pca
35,0.684,0.6312230215827338,8111.955399751663,<function get_realamplitudes at 0x7f09a041e550>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,linear,180,pca
36,0.812,0.7847159257396515,9244.053605794907,<function get_realamplitudes at 0x7f09a041e550>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,circular,202,pca
37,0.692,0.621840775147338,6976.248112440109,<function get_realamplitudes at 0x7f09a041e550>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,pairwise,154,pca
38,0.58,0.5434602472011907,7189.486096382141,<function get_realamplitudes at 0x7f09a041e550>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,sca,158,pca
39,0.676,0.688017232597623,12116.168529987335,<function get_realamplitudes at 0x7f09a041e550>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,linear,full,240,pca
40,0.912,0.9189866216250573,8084.0293180942535,<function get_realamplitudes at 0x7f09a041e550>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,linear,linear,199,pca
41,0.884,0.8722855828919432,9583.421471595764,<function get_realamplitudes at 0x7f09a041e550>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,linear,circular,232,pca
42,0.824,0.8102247883744287,7745.425861120224,<function get_realamplitudes at 0x7f09a041e550>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,linear,pairwise,191,pca
43,0.884,0.8825197966212893,7777.12494969368,<function get_realamplitudes at 0x7f09a041e550>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,linear,sca,190,pca
44,0.608,0.6789748216695587,6675.329952955246,<function get_realamplitudes at 0x7f09a041e550>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,circular,full,132,pca
45,0.836,0.823540930496541,7359.745439052582,<function get_realamplitudes at 0x7f09a041e550>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,circular,linear,181,pca
46,0.444,0.4910098251915332,6214.030428171158,<function get_realamplitudes at 0x7f09a041e550>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,circular,circular,151,pca
47,0.84,0.831380704418355,7131.147107839584,<function get_realamplitudes at 0x7f09a041e550>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,circular,pairwise,175,pca
48,0.548,0.5978873584066806,6404.979106426239,<function get_realamplitudes at 0x7f09a041e550>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,circular,sca,156,pca
49,0.668,0.7087733194164865,7383.10853767395,<function get_realamplitudes at 0x7f09a041e550>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,sca,full,146,pca
50,0.604,0.6200011907715207,5844.2746686935425,<function get_realamplitudes at 0x7f09a041e550>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,sca,linear,144,pca
51,0.696,0.7189009292164232,9854.790573358536,<function get_realamplitudes at 0x7f09a041e550>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,sca,circular,241,pca
52,0.672,0.7055506557958172,8118.859375,<function get_realamplitudes at 0x7f09a041e550>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,sca,pairwise,200,pca
53,0.768,0.787544471753858,9953.711822986603,<function get_realamplitudes at 0x7f09a041e550>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,sca,sca,250,pca
54,0.56,0.4155646136618141,5666.305910348892,<function get_twolocal at 0x7f09a6ad6310>,<function get_cobyla at 0x7f096f895f70>,<function get_zfeaturemap at 0x7f09a6ad61f0>,full,,159,pca
55,0.552,0.4095483870967742,5410.0829067230225,<function get_twolocal at 0x7f09a6ad6310>,<function get_cobyla at 0x7f096f895f70>,<function get_zfeaturemap at 0x7f09a6ad61f0>,linear,,176,pca
56,0.56,0.4397732379979571,7715.2378923892975,<function get_twolocal at 0x7f09a6ad6310>,<function get_cobyla at 0x7f096f895f70>,<function get_zfeaturemap at 0x7f09a6ad61f0>,circular,,250,pca
57,0.56,0.4119787402824051,4900.0824139118195,<function get_twolocal at 0x7f09a6ad6310>,<function get_cobyla at 0x7f096f895f70>,<function get_zfeaturemap at 0x7f09a6ad61f0>,pairwise,,160,pca
58,0.632,0.5328326923076924,7439.114573717117,<function get_twolocal at 0x7f09a6ad6310>,<function get_cobyla at 0x7f096f895f70>,<function get_zfeaturemap at 0x7f09a6ad61f0>,sca,,242,pca
59,0.476,0.5712790280188446,8479.745263814926,<function get_twolocal at 0x7f09a6ad6310>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,full,161,pca
60,0.716,0.6436086856542165,9300.648965835571,<function get_twolocal at 0x7f09a6ad6310>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,linear,206,pca
61,0.828,0.8094814814814815,7017.577928066254,<function get_twolocal at 0x7f09a6ad6310>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,circular,176,pca
62,0.696,0.6282440515433023,9569.767096042633,<function get_twolocal at 0x7f09a6ad6310>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,pairwise,212,pca
63,0.676,0.626246526711043,8807.211725473404,<function get_twolocal at 0x7f09a6ad6310>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,sca,250,pca
64,0.468,0.5261936507936508,7832.372709035873,<function get_twolocal at 0x7f09a6ad6310>,<function get_cobyla at 0x7f096f895f70>,<function get_zzfeaturemap at 0x7f09a6ad6280>,linear,full,155,pca
