index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.752,0.7070611876447269,9637.88679075241,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zfeaturemap at 0x7f379d2dc1f0>,full,,250,pca
1,0.76,0.7540611565489799,8458.80461549759,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zfeaturemap at 0x7f379d2dc1f0>,linear,,250,pca
2,0.7,0.6909614708537224,8521.774766921997,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zfeaturemap at 0x7f379d2dc1f0>,circular,,250,pca
3,0.812,0.8188608237360921,8479.325447797775,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zfeaturemap at 0x7f379d2dc1f0>,sca,,250,pca
4,0.528,0.5675612444378427,14596.382695674896,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,full,250,pca
5,0.688,0.6983473348501643,12072.717302799225,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,linear,250,pca
6,0.696,0.7150794336364682,12206.109295606613,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,circular,250,pca
7,0.744,0.7458008112414892,12066.853494644165,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,pairwise,250,pca
8,0.732,0.7449790139064475,12274.25260591507,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,sca,250,pca
9,0.592,0.6330242586469322,13441.044369459152,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,linear,full,250,pca
10,0.744,0.7435975611543089,11027.161975622177,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,linear,linear,250,pca
11,0.636,0.647805787111535,11018.403853178024,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,linear,circular,250,pca
12,0.772,0.7675995440668916,11045.187341213226,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,linear,pairwise,250,pca
13,0.676,0.691385241545065,11063.48240351677,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,linear,sca,250,pca
14,0.624,0.6565121339623442,13568.511320590973,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,circular,full,250,pca
15,0.448,0.5225349979763328,10966.199871778488,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,circular,linear,250,pca
16,0.704,0.7190174679599006,11106.305971860886,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,circular,circular,250,pca
17,0.688,0.6926971092858346,11028.619616031647,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,circular,pairwise,250,pca
18,0.66,0.6613810886345488,11131.955477952957,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,circular,sca,250,pca
19,0.588,0.6071434483262896,13482.08012843132,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,sca,full,250,pca
20,0.672,0.6729433072674451,11017.042928934097,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,sca,linear,250,pca
21,0.692,0.7227726406926407,11119.169121265411,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,sca,circular,250,pca
22,0.648,0.6506222060496555,11022.17735004425,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,sca,pairwise,250,pca
23,0.668,0.6762428886071922,11092.943725585938,<function get_efficientsu2 at 0x7f37967009d0>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,sca,sca,250,pca
24,0.604,0.6152670499683158,6032.746938467026,<function get_paulitwodesign at 0x7f379d2dc4c0>,<function get_cobyla at 0x7f376609bf70>,<function get_zfeaturemap at 0x7f379d2dc1f0>,,,158,pca
25,0.584,0.6269071016068624,7688.689386844635,<function get_paulitwodesign at 0x7f379d2dc4c0>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,,full,132,pca
26,0.596,0.5838520887979016,9372.757375478745,<function get_paulitwodesign at 0x7f379d2dc4c0>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,,linear,195,pca
27,0.716,0.7246100199587295,8396.015046358109,<function get_paulitwodesign at 0x7f379d2dc4c0>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,,circular,173,pca
28,0.6,0.5783814655550681,7203.645260810852,<function get_paulitwodesign at 0x7f379d2dc4c0>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,,pairwise,149,pca
29,0.68,0.6987391387559808,9404.130126953125,<function get_paulitwodesign at 0x7f379d2dc4c0>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,,sca,193,pca
30,0.576,0.5559823176406404,6430.5837960243225,<function get_realamplitudes at 0x7f3796c24550>,<function get_cobyla at 0x7f376609bf70>,<function get_zfeaturemap at 0x7f379d2dc1f0>,full,,182,pca
31,0.784,0.7706506602641057,5234.596161842346,<function get_realamplitudes at 0x7f3796c24550>,<function get_cobyla at 0x7f376609bf70>,<function get_zfeaturemap at 0x7f379d2dc1f0>,linear,,171,pca
32,0.68,0.6825988485607009,6873.0572102069855,<function get_realamplitudes at 0x7f3796c24550>,<function get_cobyla at 0x7f376609bf70>,<function get_zfeaturemap at 0x7f379d2dc1f0>,circular,,223,pca
33,0.816,0.826373988926745,7100.436534881592,<function get_realamplitudes at 0x7f3796c24550>,<function get_cobyla at 0x7f376609bf70>,<function get_zfeaturemap at 0x7f379d2dc1f0>,sca,,232,pca
34,0.484,0.5696835718332511,11227.15136384964,<function get_realamplitudes at 0x7f3796c24550>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,full,204,pca
35,0.748,0.7510687769784173,10443.200994729996,<function get_realamplitudes at 0x7f3796c24550>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,linear,232,pca
36,0.656,0.6623604656803298,6234.557890176773,<function get_realamplitudes at 0x7f3796c24550>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,circular,136,pca
37,0.66,0.6304782150617544,9855.108382940292,<function get_realamplitudes at 0x7f3796c24550>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,pairwise,219,pca
38,0.66,0.6739610698878343,8574.326487779617,<function get_realamplitudes at 0x7f3796c24550>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,sca,189,pca
39,0.488,0.5622907645545944,7895.666113615036,<function get_realamplitudes at 0x7f3796c24550>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,linear,full,157,pca
40,0.68,0.6727523809523809,7179.235712051392,<function get_realamplitudes at 0x7f3796c24550>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,linear,linear,178,pca
41,0.696,0.7163318297435486,6397.781936407089,<function get_realamplitudes at 0x7f3796c24550>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,linear,circular,157,pca
42,0.728,0.7325828502830402,8009.475773334503,<function get_realamplitudes at 0x7f3796c24550>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,linear,pairwise,199,pca
43,0.696,0.7032390148898658,6922.459878921509,<function get_realamplitudes at 0x7f3796c24550>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,linear,sca,170,pca
44,0.54,0.5819359542990873,6747.358818769455,<function get_realamplitudes at 0x7f3796c24550>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,circular,full,133,pca
45,0.64,0.6406010617685367,7848.56263923645,<function get_realamplitudes at 0x7f3796c24550>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,circular,linear,193,pca
46,0.664,0.7048097567689305,9673.081488847733,<function get_realamplitudes at 0x7f3796c24550>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,circular,circular,236,pca
47,0.66,0.6630625032802389,7361.170583724976,<function get_realamplitudes at 0x7f3796c24550>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,circular,pairwise,189,pca
48,0.692,0.6872743860057857,7684.447706222534,<function get_realamplitudes at 0x7f3796c24550>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,circular,sca,188,pca
49,0.584,0.6081331875142403,8867.561541080475,<function get_realamplitudes at 0x7f3796c24550>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,sca,full,181,pca
50,0.708,0.7174050295261308,7034.78786444664,<function get_realamplitudes at 0x7f3796c24550>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,sca,linear,173,pca
51,0.644,0.6642879527589645,6978.730347394943,<function get_realamplitudes at 0x7f3796c24550>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,sca,circular,170,pca
52,0.772,0.7823852713062226,6648.291611671448,<function get_realamplitudes at 0x7f3796c24550>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,sca,pairwise,164,pca
53,0.708,0.7260284833446125,7123.764201164246,<function get_realamplitudes at 0x7f3796c24550>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,sca,sca,174,pca
54,0.78,0.7197133836650652,7471.300472021103,<function get_twolocal at 0x7f379d2dc310>,<function get_cobyla at 0x7f376609bf70>,<function get_zfeaturemap at 0x7f379d2dc1f0>,full,,213,pca
55,0.808,0.7642204602885635,5007.27179646492,<function get_twolocal at 0x7f379d2dc310>,<function get_cobyla at 0x7f376609bf70>,<function get_zfeaturemap at 0x7f379d2dc1f0>,linear,,164,pca
56,0.668,0.673250364942611,4386.9912033081055,<function get_twolocal at 0x7f379d2dc310>,<function get_cobyla at 0x7f376609bf70>,<function get_zfeaturemap at 0x7f379d2dc1f0>,circular,,143,pca
57,0.816,0.8131451131439577,6442.672163248062,<function get_twolocal at 0x7f379d2dc310>,<function get_cobyla at 0x7f376609bf70>,<function get_zfeaturemap at 0x7f379d2dc1f0>,pairwise,,211,pca
58,0.816,0.8045990359658879,5799.020028829575,<function get_twolocal at 0x7f379d2dc310>,<function get_cobyla at 0x7f376609bf70>,<function get_zfeaturemap at 0x7f379d2dc1f0>,sca,,189,pca
59,0.46,0.5543015873015872,6417.294768333435,<function get_twolocal at 0x7f379d2dc310>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,full,117,pca
60,0.692,0.6863945773710518,10059.990789413452,<function get_twolocal at 0x7f379d2dc310>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,linear,224,pca
61,0.696,0.7043161158780991,8301.906328678131,<function get_twolocal at 0x7f379d2dc310>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,circular,246,pca
62,0.616,0.6228470435428005,9284.05212688446,<function get_twolocal at 0x7f379d2dc310>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,pairwise,206,pca
63,0.624,0.6220549308755761,5602.817974328995,<function get_twolocal at 0x7f379d2dc310>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,sca,142,pca
64,0.576,0.5870000789610244,7604.972177028656,<function get_twolocal at 0x7f379d2dc310>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,linear,full,151,pca
65,0.712,0.710667834191662,5637.2825610637665,<function get_twolocal at 0x7f379d2dc310>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,linear,linear,155,pca
66,0.7,0.73164733310314,7226.998082876205,<function get_twolocal at 0x7f379d2dc310>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,linear,circular,184,pca
67,0.588,0.5862179512953507,4126.737209558487,<function get_twolocal at 0x7f379d2dc310>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,linear,pairwise,149,pca
68,0.644,0.6619672767453754,5748.25278878212,<function get_twolocal at 0x7f379d2dc310>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,linear,sca,147,pca
69,0.556,0.5991870081426557,5242.480436325073,<function get_twolocal at 0x7f379d2dc310>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,circular,full,150,pca
70,0.74,0.7405213891463364,7476.772475719452,<function get_twolocal at 0x7f379d2dc310>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,circular,linear,206,pca
71,0.604,0.6416455696044105,4059.960414648056,<function get_twolocal at 0x7f379d2dc310>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,circular,circular,167,pca
72,0.368,0.4689255635283032,5936.763201713562,<function get_twolocal at 0x7f379d2dc310>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,circular,pairwise,157,pca
73,0.672,0.6857423743691025,5291.572599649429,<function get_twolocal at 0x7f379d2dc310>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,circular,sca,207,pca
74,0.536,0.6175411764705881,6131.872386455536,<function get_twolocal at 0x7f379d2dc310>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,pairwise,full,148,pca
75,0.62,0.6423151463424304,3632.3282566070557,<function get_twolocal at 0x7f379d2dc310>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,pairwise,linear,158,pca
76,0.736,0.7543350717286201,5381.516624927521,<function get_twolocal at 0x7f379d2dc310>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,pairwise,circular,157,pca
77,0.692,0.6836918367346939,4281.711010456085,<function get_twolocal at 0x7f379d2dc310>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,pairwise,pairwise,182,pca
78,0.676,0.66269735275194,6553.266320943832,<function get_twolocal at 0x7f379d2dc310>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,pairwise,sca,207,pca
79,0.572,0.6225734583381644,3648.6953632831573,<function get_twolocal at 0x7f379d2dc310>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,sca,full,132,pca
80,0.644,0.6580781826868783,5390.338848590851,<function get_twolocal at 0x7f379d2dc310>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,sca,linear,170,pca
81,0.704,0.726821706864564,4799.246829748154,<function get_twolocal at 0x7f379d2dc310>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,sca,circular,208,pca
82,0.732,0.7439986052697798,6806.654673099518,<function get_twolocal at 0x7f379d2dc310>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,sca,pairwise,224,pca
83,0.696,0.7313380480905234,4433.322358131409,<function get_twolocal at 0x7f379d2dc310>,<function get_cobyla at 0x7f376609bf70>,<function get_zzfeaturemap at 0x7f379d2dc280>,sca,sca,206,pca
