index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing,noise
20,0.772,0.731237029011677,9670.9593436718,<function get_efficientsu2 at 0x7f16c9920790>,<function get_cobyla at 0x7f16c9920820>,<function get_zfeaturemap at 0x7f16d04e8d30>,full,,250,pca,ibm_perth
21,0.808,0.7818297756158444,8580.804738521576,<function get_efficientsu2 at 0x7f16c9920790>,<function get_cobyla at 0x7f16c9920820>,<function get_zfeaturemap at 0x7f16d04e8d30>,linear,,250,pca,ibm_perth
22,0.816,0.7899207125290794,8525.11739730835,<function get_efficientsu2 at 0x7f16c9920790>,<function get_cobyla at 0x7f16c9920820>,<function get_zfeaturemap at 0x7f16d04e8d30>,circular,,250,pca,ibm_perth
23,0.836,0.8464101864055733,8504.267137765884,<function get_efficientsu2 at 0x7f16c9920790>,<function get_cobyla at 0x7f16c9920820>,<function get_zfeaturemap at 0x7f16d04e8d30>,sca,,250,pca,ibm_perth
24,0.66,0.6543902796697789,14641.577159404756,<function get_efficientsu2 at 0x7f16c9920790>,<function get_cobyla at 0x7f16c9920820>,<function get_zzfeaturemap at 0x7f16d04e8dc0>,full,full,250,pca,ibm_perth
25,0.628,0.6012729274165806,12075.55064344406,<function get_efficientsu2 at 0x7f16c9920790>,<function get_cobyla at 0x7f16c9920820>,<function get_zzfeaturemap at 0x7f16d04e8dc0>,full,linear,250,pca,ibm_perth
26,0.696,0.7097341978771181,12188.598165512083,<function get_efficientsu2 at 0x7f16c9920790>,<function get_cobyla at 0x7f16c9920820>,<function get_zzfeaturemap at 0x7f16d04e8dc0>,full,circular,250,pca,ibm_perth
27,0.696,0.6873721259562355,12140.331451416016,<function get_efficientsu2 at 0x7f16c9920790>,<function get_cobyla at 0x7f16c9920820>,<function get_zzfeaturemap at 0x7f16d04e8dc0>,full,pairwise,250,pca,ibm_perth
28,0.696,0.7178216212541422,12248.363937616348,<function get_efficientsu2 at 0x7f16c9920790>,<function get_cobyla at 0x7f16c9920820>,<function get_zzfeaturemap at 0x7f16d04e8dc0>,full,sca,250,pca,ibm_perth
29,0.628,0.6329666229293095,13497.355239868164,<function get_efficientsu2 at 0x7f16c9920790>,<function get_cobyla at 0x7f16c9920820>,<function get_zzfeaturemap at 0x7f16d04e8dc0>,linear,full,250,pca,ibm_perth
30,0.736,0.7403176232472007,10973.654079914091,<function get_efficientsu2 at 0x7f16c9920790>,<function get_cobyla at 0x7f16c9920820>,<function get_zzfeaturemap at 0x7f16d04e8dc0>,linear,linear,250,pca,ibm_perth
31,0.756,0.7800583948944164,11049.855047225952,<function get_efficientsu2 at 0x7f16c9920790>,<function get_cobyla at 0x7f16c9920820>,<function get_zzfeaturemap at 0x7f16d04e8dc0>,linear,circular,250,pca,ibm_perth
32,0.716,0.7063136628407107,10923.274072408676,<function get_efficientsu2 at 0x7f16c9920790>,<function get_cobyla at 0x7f16c9920820>,<function get_zzfeaturemap at 0x7f16d04e8dc0>,linear,pairwise,250,pca,ibm_perth
33,0.756,0.7884722832722832,11094.619450807571,<function get_efficientsu2 at 0x7f16c9920790>,<function get_cobyla at 0x7f16c9920820>,<function get_zzfeaturemap at 0x7f16d04e8dc0>,linear,sca,250,pca,ibm_perth
34,0.612,0.6139607760660393,13502.219819307327,<function get_efficientsu2 at 0x7f16c9920790>,<function get_cobyla at 0x7f16c9920820>,<function get_zzfeaturemap at 0x7f16d04e8dc0>,circular,full,250,pca,ibm_perth
35,0.7,0.70877180732272,10959.27747297287,<function get_efficientsu2 at 0x7f16c9920790>,<function get_cobyla at 0x7f16c9920820>,<function get_zzfeaturemap at 0x7f16d04e8dc0>,circular,linear,250,pca,ibm_perth
36,0.668,0.6898021529032765,11160.136626243591,<function get_efficientsu2 at 0x7f16c9920790>,<function get_cobyla at 0x7f16c9920820>,<function get_zzfeaturemap at 0x7f16d04e8dc0>,circular,circular,250,pca,ibm_perth
37,0.652,0.6473348896079272,11013.912373304369,<function get_efficientsu2 at 0x7f16c9920790>,<function get_cobyla at 0x7f16c9920820>,<function get_zzfeaturemap at 0x7f16d04e8dc0>,circular,pairwise,250,pca,ibm_perth
38,0.668,0.68012686233504,11056.416241645811,<function get_efficientsu2 at 0x7f16c9920790>,<function get_cobyla at 0x7f16c9920820>,<function get_zzfeaturemap at 0x7f16d04e8dc0>,circular,sca,250,pca,ibm_perth
39,0.656,0.6677144685389265,13548.391582727432,<function get_efficientsu2 at 0x7f16c9920790>,<function get_cobyla at 0x7f16c9920820>,<function get_zzfeaturemap at 0x7f16d04e8dc0>,sca,full,250,pca,ibm_perth
40,0.668,0.683740978744439,11020.297605991364,<function get_efficientsu2 at 0x7f16c9920790>,<function get_cobyla at 0x7f16c9920820>,<function get_zzfeaturemap at 0x7f16d04e8dc0>,sca,linear,250,pca,ibm_perth
41,0.744,0.7536729559748429,11084.374609708786,<function get_efficientsu2 at 0x7f16c9920790>,<function get_cobyla at 0x7f16c9920820>,<function get_zzfeaturemap at 0x7f16d04e8dc0>,sca,circular,250,pca,ibm_perth
42,0.712,0.7314867995230795,11010.60389995575,<function get_efficientsu2 at 0x7f16c9920790>,<function get_cobyla at 0x7f16c9920820>,<function get_zzfeaturemap at 0x7f16d04e8dc0>,sca,pairwise,250,pca,ibm_perth
43,0.68,0.6856365999297507,11098.06796336174,<function get_efficientsu2 at 0x7f16c9920790>,<function get_cobyla at 0x7f16c9920820>,<function get_zzfeaturemap at 0x7f16d04e8dc0>,sca,sca,250,pca,ibm_perth
49,0.66,0.6929217608053666,8380.696582078934,<function get_paulitwodesign at 0x7f16c9e45820>,<function get_cobyla at 0x7f16c9920820>,<function get_zfeaturemap at 0x7f16d04e8d30>,,,220,pca,ibm_perth
50,0.656,0.6192111896030367,9694.638163089752,<function get_paulitwodesign at 0x7f16c9e45820>,<function get_cobyla at 0x7f16c9920820>,<function get_zzfeaturemap at 0x7f16d04e8dc0>,,full,166,pca,ibm_perth
51,0.716,0.7098609500723034,8468.391775846481,<function get_paulitwodesign at 0x7f16c9e45820>,<function get_cobyla at 0x7f16c9920820>,<function get_zzfeaturemap at 0x7f16d04e8dc0>,,linear,177,pca,ibm_perth
