index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.004,0.0002666666666666667,18519.980483293533,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zfeaturemap at 0x7f09a6ad61f0>,full,,479,lda
1,0.364,0.26363041065482795,14272.46987605095,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zfeaturemap at 0x7f09a6ad61f0>,linear,,419,lda
2,0.124,0.07507908902691511,18464.085179567337,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zfeaturemap at 0x7f09a6ad61f0>,circular,,539,lda
3,0.016,0.01317625402669121,14639.829710245132,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zfeaturemap at 0x7f09a6ad61f0>,sca,,428,lda
4,0.292,0.3507465541490858,27928.886384248734,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,full,477,lda
5,0.156,0.15726612965093978,20815.027065753937,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,linear,429,lda
6,0.064,0.08098255330933259,26439.05627632141,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,circular,538,lda
7,0.096,0.12465617977528089,23571.502579927444,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,pairwise,485,lda
8,0.244,0.31563940779784516,21095.75633621216,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,sca,428,lda
9,0.116,0.11855012748597654,23122.197731733322,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zzfeaturemap at 0x7f09a6ad6280>,linear,full,429,lda
10,0.136,0.10774025974025973,21140.96205830574,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zzfeaturemap at 0x7f09a6ad6280>,linear,linear,481,lda
11,0.036,0.022869005683152508,23769.888314008713,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zzfeaturemap at 0x7f09a6ad6280>,linear,circular,537,lda
12,0.172,0.17114358974358976,16261.662882566452,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zzfeaturemap at 0x7f09a6ad6280>,linear,pairwise,369,lda
13,0.116,0.09121821150009068,26502.325741767883,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zzfeaturemap at 0x7f09a6ad6280>,linear,sca,597,lda
14,0.112,0.14379896213877388,26214.30497598648,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zzfeaturemap at 0x7f09a6ad6280>,circular,full,484,lda
15,0.176,0.22187103981338846,18843.17087817192,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zzfeaturemap at 0x7f09a6ad6280>,circular,linear,428,lda
16,0.048,0.04526879861711323,21258.60481262207,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zzfeaturemap at 0x7f09a6ad6280>,circular,circular,478,lda
17,0.124,0.14946881234206677,18734.832493305206,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zzfeaturemap at 0x7f09a6ad6280>,circular,pairwise,426,lda
18,0.08,0.09633739837398375,26739.533997297287,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zzfeaturemap at 0x7f09a6ad6280>,circular,sca,601,lda
19,0.228,0.2599996345780518,23594.386307239532,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zzfeaturemap at 0x7f09a6ad6280>,sca,full,437,lda
20,0.204,0.23687820586543992,23883.04418706894,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zzfeaturemap at 0x7f09a6ad6280>,sca,linear,542,lda
21,0.092,0.0747325140112642,19048.021147966385,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zzfeaturemap at 0x7f09a6ad6280>,sca,circular,429,lda
22,0.34,0.4114477083742732,21484.117906332016,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zzfeaturemap at 0x7f09a6ad6280>,sca,pairwise,487,lda
23,0.312,0.30907952661526233,21257.415153503418,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zzfeaturemap at 0x7f09a6ad6280>,sca,sca,479,lda
24,0.268,0.19496760357889925,17596.380460977554,<function get_paulitwodesign at 0x7f09a6ad64c0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zfeaturemap at 0x7f09a6ad61f0>,,,458,lda
25,0.108,0.15411176550472094,21985.344101667404,<function get_paulitwodesign at 0x7f09a6ad64c0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zzfeaturemap at 0x7f09a6ad6280>,,full,377,lda
26,0.296,0.274419416111813,23740.22603535652,<function get_paulitwodesign at 0x7f09a6ad64c0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zzfeaturemap at 0x7f09a6ad6280>,,linear,491,lda
27,0.072,0.09272306363374605,20985.839081287384,<function get_paulitwodesign at 0x7f09a6ad64c0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zzfeaturemap at 0x7f09a6ad6280>,,circular,432,lda
28,0.604,0.6202227682227683,17853.626148700714,<function get_paulitwodesign at 0x7f09a6ad64c0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zzfeaturemap at 0x7f09a6ad6280>,,pairwise,369,lda
29,0.18,0.25452549019607845,21410.919452428818,<function get_paulitwodesign at 0x7f09a6ad64c0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zzfeaturemap at 0x7f09a6ad6280>,,sca,439,lda
