index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.088,0.06704778787598172,18500.168196439743,<function get_efficientsu2 at 0x7f37967009d0>,<function get_neldermead at 0x7f376609d0d0>,<function get_zfeaturemap at 0x7f379d2dc1f0>,full,,479,lda
1,0.112,0.0861888888888889,14612.237539052963,<function get_efficientsu2 at 0x7f37967009d0>,<function get_neldermead at 0x7f376609d0d0>,<function get_zfeaturemap at 0x7f379d2dc1f0>,linear,,430,lda
2,0.196,0.12740527577937652,16379.81820178032,<function get_efficientsu2 at 0x7f37967009d0>,<function get_neldermead at 0x7f376609d0d0>,<function get_zfeaturemap at 0x7f379d2dc1f0>,circular,,480,lda
3,0.156,0.20251475191955098,14449.703752994537,<function get_efficientsu2 at 0x7f37967009d0>,<function get_neldermead at 0x7f376609d0d0>,<function get_zfeaturemap at 0x7f379d2dc1f0>,sca,,423,lda
4,0.136,0.1581160639192599,38221.27051115036,<function get_efficientsu2 at 0x7f37967009d0>,<function get_neldermead at 0x7f376609d0d0>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,full,655,lda
5,0.072,0.0700998655423213,23217.164323329926,<function get_efficientsu2 at 0x7f37967009d0>,<function get_neldermead at 0x7f376609d0d0>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,linear,481,lda
6,0.472,0.5394460690824325,20768.112190485,<function get_efficientsu2 at 0x7f37967009d0>,<function get_neldermead at 0x7f376609d0d0>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,circular,426,lda
7,0.072,0.06238330263965624,20453.78796362877,<function get_efficientsu2 at 0x7f37967009d0>,<function get_neldermead at 0x7f376609d0d0>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,pairwise,424,lda
8,0.164,0.1840707142857143,21024.47533583641,<function get_efficientsu2 at 0x7f37967009d0>,<function get_neldermead at 0x7f376609d0d0>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,sca,431,lda
9,0.232,0.2792258892715505,32133.802668333054,<function get_efficientsu2 at 0x7f37967009d0>,<function get_neldermead at 0x7f376609d0d0>,<function get_zzfeaturemap at 0x7f379d2dc280>,linear,full,598,lda
10,0.104,0.08190432430670967,23907.858109474182,<function get_efficientsu2 at 0x7f37967009d0>,<function get_neldermead at 0x7f376609d0d0>,<function get_zzfeaturemap at 0x7f379d2dc280>,linear,linear,547,lda
11,0.1,0.07822888307995841,23822.739493846893,<function get_efficientsu2 at 0x7f37967009d0>,<function get_neldermead at 0x7f376609d0d0>,<function get_zzfeaturemap at 0x7f379d2dc280>,linear,circular,540,lda
12,0.056,0.04134266047344563,21207.533511400223,<function get_efficientsu2 at 0x7f37967009d0>,<function get_neldermead at 0x7f376609d0d0>,<function get_zzfeaturemap at 0x7f379d2dc280>,linear,pairwise,485,lda
