index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.108,0.07474666666666667,10642.391911506653,<function get_efficientsu2 at 0x7f10633dd790>,<function get_neldermead at 0x7f10633dd9d0>,<function get_zfeaturemap at 0x7f1069fa5d30>,full,,275,lda
1,0.068,0.043941176470588234,11271.293054819107,<function get_efficientsu2 at 0x7f10633dd790>,<function get_neldermead at 0x7f10633dd9d0>,<function get_zfeaturemap at 0x7f1069fa5d30>,linear,,332,lda
2,0.104,0.08393333333333333,9511.40159702301,<function get_efficientsu2 at 0x7f10633dd790>,<function get_neldermead at 0x7f10633dd9d0>,<function get_zfeaturemap at 0x7f1069fa5d30>,circular,,277,lda
3,0.084,0.10270919723551303,13513.620618104935,<function get_efficientsu2 at 0x7f10633dd790>,<function get_neldermead at 0x7f10633dd9d0>,<function get_zfeaturemap at 0x7f1069fa5d30>,sca,,396,lda
4,0.104,0.11176913834163239,23620.174026489258,<function get_efficientsu2 at 0x7f10633dd790>,<function get_neldermead at 0x7f10633dd9d0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,full,full,401,lda
5,0.088,0.1242049303989424,19067.58730483055,<function get_efficientsu2 at 0x7f10633dd790>,<function get_neldermead at 0x7f10633dd9d0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,full,linear,394,lda
6,0.088,0.07841653939014576,16852.722846984863,<function get_efficientsu2 at 0x7f10633dd790>,<function get_neldermead at 0x7f10633dd9d0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,full,circular,344,lda
7,0.088,0.08563029696641469,19328.781864881516,<function get_efficientsu2 at 0x7f10633dd790>,<function get_neldermead at 0x7f10633dd9d0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,full,pairwise,398,lda
8,0.116,0.11119424812030075,19270.680763959885,<function get_efficientsu2 at 0x7f10633dd790>,<function get_neldermead at 0x7f10633dd9d0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,full,sca,394,lda
9,0.148,0.1819119389006363,24602.705242872238,<function get_efficientsu2 at 0x7f10633dd790>,<function get_neldermead at 0x7f10633dd9d0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,linear,full,457,lda
10,0.088,0.11573209441738479,14811.572006940842,<function get_efficientsu2 at 0x7f10633dd790>,<function get_neldermead at 0x7f10633dd9d0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,linear,linear,337,lda
11,0.228,0.2753041660444975,14925.839792966843,<function get_efficientsu2 at 0x7f10633dd790>,<function get_neldermead at 0x7f10633dd9d0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,linear,circular,337,lda
12,0.08,0.07350322253764595,17484.04373550415,<function get_efficientsu2 at 0x7f10633dd790>,<function get_neldermead at 0x7f10633dd9d0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,linear,pairwise,398,lda
13,0.108,0.09616958216065492,14908.795540332794,<function get_efficientsu2 at 0x7f10633dd790>,<function get_neldermead at 0x7f10633dd9d0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,linear,sca,337,lda
14,0.096,0.08126143790849673,21543.292587041855,<function get_efficientsu2 at 0x7f10633dd790>,<function get_neldermead at 0x7f10633dd9d0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,circular,full,395,lda
15,0.14,0.13046867144419885,17421.051109075546,<function get_efficientsu2 at 0x7f10633dd790>,<function get_neldermead at 0x7f10633dd9d0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,circular,linear,396,lda
16,0.176,0.1687856509625127,14968.712569475174,<function get_efficientsu2 at 0x7f10633dd790>,<function get_neldermead at 0x7f10633dd9d0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,circular,circular,337,lda
17,0.296,0.3567302508556261,14938.757807970047,<function get_efficientsu2 at 0x7f10633dd790>,<function get_neldermead at 0x7f10633dd9d0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,circular,pairwise,339,lda
18,0.132,0.12123290043290044,15141.357266426086,<function get_efficientsu2 at 0x7f10633dd790>,<function get_neldermead at 0x7f10633dd9d0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,circular,sca,340,lda
19,0.16,0.17158599447338208,24454.001715898514,<function get_efficientsu2 at 0x7f10633dd790>,<function get_neldermead at 0x7f10633dd9d0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,sca,full,451,lda
20,0.26,0.3275171847507331,12621.691269159317,<function get_efficientsu2 at 0x7f10633dd790>,<function get_neldermead at 0x7f10633dd9d0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,sca,linear,286,lda
21,0.208,0.24019367029535424,15289.09694314003,<function get_efficientsu2 at 0x7f10633dd790>,<function get_neldermead at 0x7f10633dd9d0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,sca,circular,344,lda
22,0.12,0.11065355836849508,15029.432193517685,<function get_efficientsu2 at 0x7f10633dd790>,<function get_neldermead at 0x7f10633dd9d0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,sca,pairwise,340,lda
