index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.128,0.15298546204927702,12113.706644535065,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zfeaturemap at 0x7f09a6ad61f0>,full,,313,pca
1,0.056,0.027738880918220948,18398.54539179802,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zfeaturemap at 0x7f09a6ad61f0>,linear,,538,pca
2,0.288,0.21956056338028168,18430.278893470764,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zfeaturemap at 0x7f09a6ad61f0>,circular,,539,pca
3,0.196,0.112546687211094,18394.43660092354,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zfeaturemap at 0x7f09a6ad61f0>,sca,,538,pca
4,0.464,0.5444657014238742,25419.57017016411,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,full,432,pca
5,0.608,0.6082359906124611,23478.05916070938,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,linear,483,pca
6,0.028,0.015073766914011348,23801.084090948105,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,circular,485,pca
7,0.204,0.2804339869281046,23589.301246881485,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,pairwise,485,pca
8,0.0,0.0,23898.1410343647,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,sca,487,pca
9,0.384,0.45130748052645714,26004.64914917946,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zzfeaturemap at 0x7f09a6ad6280>,linear,full,481,pca
10,0.252,0.3508256029684601,18637.89133477211,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zzfeaturemap at 0x7f09a6ad6280>,linear,linear,424,pca
11,0.056,0.06623428042441072,24034.941998243332,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zzfeaturemap at 0x7f09a6ad6280>,linear,circular,539,pca
12,0.04,0.06370370370370369,18853.773158311844,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_neldermead at 0x7f096f8970d0>,<function get_zzfeaturemap at 0x7f09a6ad6280>,linear,pairwise,427,pca
