index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.172,0.16365993953608662,16387.108256340027,<function get_efficientsu2 at 0x7f37967009d0>,<function get_neldermead at 0x7f376609d0d0>,<function get_zfeaturemap at 0x7f379d2dc1f0>,full,,425,pca
1,0.056,0.04815639679469466,16508.287088632584,<function get_efficientsu2 at 0x7f37967009d0>,<function get_neldermead at 0x7f376609d0d0>,<function get_zfeaturemap at 0x7f379d2dc1f0>,linear,,485,pca
2,0.088,0.10786614685757,18393.71591615677,<function get_efficientsu2 at 0x7f37967009d0>,<function get_neldermead at 0x7f376609d0d0>,<function get_zfeaturemap at 0x7f379d2dc1f0>,circular,,539,pca
3,0.216,0.22895214211076279,16615.396535873413,<function get_efficientsu2 at 0x7f37967009d0>,<function get_neldermead at 0x7f376609d0d0>,<function get_zfeaturemap at 0x7f379d2dc1f0>,sca,,488,pca
4,0.172,0.1642563551520607,24913.648905992508,<function get_efficientsu2 at 0x7f37967009d0>,<function get_neldermead at 0x7f376609d0d0>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,full,426,pca
5,0.068,0.06280759124087591,17826.37352657318,<function get_efficientsu2 at 0x7f37967009d0>,<function get_neldermead at 0x7f376609d0d0>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,linear,368,pca
6,0.144,0.18118156682027647,26335.85155272484,<function get_efficientsu2 at 0x7f37967009d0>,<function get_neldermead at 0x7f376609d0d0>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,circular,540,pca
7,0.16,0.20015336737565842,23476.699142217636,<function get_efficientsu2 at 0x7f37967009d0>,<function get_neldermead at 0x7f376609d0d0>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,pairwise,486,pca
8,0.124,0.11528329003147604,23876.443289518356,<function get_efficientsu2 at 0x7f37967009d0>,<function get_neldermead at 0x7f376609d0d0>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,sca,487,pca
9,0.14,0.1044316715542522,26284.665889024734,<function get_efficientsu2 at 0x7f37967009d0>,<function get_neldermead at 0x7f376609d0d0>,<function get_zzfeaturemap at 0x7f379d2dc280>,linear,full,489,pca
10,0.06,0.048829629629629626,23821.969086170197,<function get_efficientsu2 at 0x7f37967009d0>,<function get_neldermead at 0x7f376609d0d0>,<function get_zzfeaturemap at 0x7f379d2dc280>,linear,linear,545,pca
