index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.124,0.18010227272727275,12996.560072660446,<function get_efficientsu2 at 0x7f10633dd790>,<function get_neldermead at 0x7f10633dd9d0>,<function get_zfeaturemap at 0x7f1069fa5d30>,full,,336,pca
1,0.1,0.08388353315390262,7377.668480396271,<function get_efficientsu2 at 0x7f10633dd790>,<function get_neldermead at 0x7f10633dd9d0>,<function get_zfeaturemap at 0x7f1069fa5d30>,linear,,216,pca
2,0.04,0.03450925925925925,11413.831290960312,<function get_efficientsu2 at 0x7f10633dd790>,<function get_neldermead at 0x7f10633dd9d0>,<function get_zfeaturemap at 0x7f1069fa5d30>,circular,,333,pca
3,0.444,0.5150464511937631,11616.513940095901,<function get_efficientsu2 at 0x7f10633dd790>,<function get_neldermead at 0x7f10633dd9d0>,<function get_zfeaturemap at 0x7f1069fa5d30>,sca,,337,pca
4,0.124,0.14557244698450897,19929.391754865646,<function get_efficientsu2 at 0x7f10633dd790>,<function get_neldermead at 0x7f10633dd9d0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,full,full,340,pca
5,0.096,0.12114728220402085,16518.106158733368,<function get_efficientsu2 at 0x7f10633dd790>,<function get_neldermead at 0x7f10633dd9d0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,full,linear,337,pca
6,0.104,0.10837871148459384,16864.45448422432,<function get_efficientsu2 at 0x7f10633dd790>,<function get_neldermead at 0x7f10633dd9d0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,full,circular,345,pca
7,0.076,0.091146211004616,16545.925946474075,<function get_efficientsu2 at 0x7f10633dd790>,<function get_neldermead at 0x7f10633dd9d0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,full,pairwise,339,pca
8,0.1,0.09703096425010682,19464.93533205986,<function get_efficientsu2 at 0x7f10633dd790>,<function get_neldermead at 0x7f10633dd9d0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,full,sca,398,pca
9,0.144,0.17223954391604349,21583.70902466774,<function get_efficientsu2 at 0x7f10633dd790>,<function get_neldermead at 0x7f10633dd9d0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,linear,full,398,pca
10,0.072,0.0702672335256605,17485.75410103798,<function get_efficientsu2 at 0x7f10633dd790>,<function get_neldermead at 0x7f10633dd9d0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,linear,linear,398,pca
11,0.072,0.07885324686122891,15320.197602033615,<function get_efficientsu2 at 0x7f10633dd790>,<function get_neldermead at 0x7f10633dd9d0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,linear,circular,343,pca
12,0.072,0.06455977876390764,12533.940388917923,<function get_efficientsu2 at 0x7f10633dd790>,<function get_neldermead at 0x7f10633dd9d0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,linear,pairwise,286,pca
