index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.728,0.7495039112343967,9715.018125295639,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_spsa at 0x7f096f897040>,<function get_zfeaturemap at 0x7f09a6ad61f0>,full,,251,lda
1,0.96,0.9448623313277177,8569.215864896774,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_spsa at 0x7f096f897040>,<function get_zfeaturemap at 0x7f09a6ad61f0>,linear,,251,lda
2,0.66,0.6601460259407285,8653.489030361176,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_spsa at 0x7f096f897040>,<function get_zfeaturemap at 0x7f09a6ad61f0>,circular,,251,lda
3,0.924,0.909852696072209,8623.77350115776,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_spsa at 0x7f096f897040>,<function get_zfeaturemap at 0x7f09a6ad61f0>,sca,,251,lda
4,0.588,0.5933774484524017,14686.987896680832,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_spsa at 0x7f096f897040>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,full,251,lda
5,0.676,0.6646636591478695,12162.593299865723,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_spsa at 0x7f096f897040>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,linear,251,lda
6,0.664,0.6962191214470285,12304.886930704117,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_spsa at 0x7f096f897040>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,circular,251,lda
7,0.788,0.792679227877995,12168.08258318901,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_spsa at 0x7f096f897040>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,pairwise,251,lda
8,0.46,0.5548649194000403,12330.164151668549,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_spsa at 0x7f096f897040>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,sca,251,lda
9,0.58,0.6340690166975881,13496.256726503372,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_spsa at 0x7f096f897040>,<function get_zzfeaturemap at 0x7f09a6ad6280>,linear,full,251,lda
10,0.888,0.8988522536287242,11069.684913635254,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_spsa at 0x7f096f897040>,<function get_zzfeaturemap at 0x7f09a6ad6280>,linear,linear,251,lda
11,0.576,0.6555069975408003,11104.56399679184,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_spsa at 0x7f096f897040>,<function get_zzfeaturemap at 0x7f09a6ad6280>,linear,circular,251,lda
12,0.86,0.8696286352598349,11047.189255714417,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_spsa at 0x7f096f897040>,<function get_zzfeaturemap at 0x7f09a6ad6280>,linear,pairwise,251,lda
13,0.732,0.7312069657173095,11107.08490037918,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_spsa at 0x7f096f897040>,<function get_zzfeaturemap at 0x7f09a6ad6280>,linear,sca,251,lda
14,0.68,0.6783583972199785,13577.505765676498,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_spsa at 0x7f096f897040>,<function get_zzfeaturemap at 0x7f09a6ad6280>,circular,full,251,lda
15,0.868,0.8742904461438347,11027.81286239624,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_spsa at 0x7f096f897040>,<function get_zzfeaturemap at 0x7f09a6ad6280>,circular,linear,251,lda
16,0.804,0.8092827380952381,11179.429291963577,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_spsa at 0x7f096f897040>,<function get_zzfeaturemap at 0x7f09a6ad6280>,circular,circular,251,lda
17,0.672,0.6151887250554879,11068.874966859818,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_spsa at 0x7f096f897040>,<function get_zzfeaturemap at 0x7f09a6ad6280>,circular,pairwise,251,lda
18,0.784,0.7859980472808273,11243.616223335266,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_spsa at 0x7f096f897040>,<function get_zzfeaturemap at 0x7f09a6ad6280>,circular,sca,251,lda
19,0.64,0.6738012210012211,13640.139995098114,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_spsa at 0x7f096f897040>,<function get_zzfeaturemap at 0x7f09a6ad6280>,sca,full,251,lda
20,0.792,0.7797537720580091,11080.940252542496,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_spsa at 0x7f096f897040>,<function get_zzfeaturemap at 0x7f09a6ad6280>,sca,linear,251,lda
21,0.764,0.7646344124839874,11142.55764222145,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_spsa at 0x7f096f897040>,<function get_zzfeaturemap at 0x7f09a6ad6280>,sca,circular,251,lda
22,0.676,0.6637835336223255,11151.981031179428,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_spsa at 0x7f096f897040>,<function get_zzfeaturemap at 0x7f09a6ad6280>,sca,pairwise,251,lda
23,0.7,0.7759227246594176,11208.694898605347,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_spsa at 0x7f096f897040>,<function get_zzfeaturemap at 0x7f09a6ad6280>,sca,sca,251,lda
