index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.68,0.631817837014561,9764.760011911392,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zfeaturemap at 0x7f379d2dc1f0>,full,,251,lda
1,0.676,0.6373627314900724,8518.20311665535,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zfeaturemap at 0x7f379d2dc1f0>,linear,,251,lda
2,0.632,0.5745679456193353,8534.37058544159,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zfeaturemap at 0x7f379d2dc1f0>,circular,,251,lda
3,0.652,0.6180898599600569,8530.295732021332,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zfeaturemap at 0x7f379d2dc1f0>,sca,,251,lda
4,0.544,0.5951796991238222,14635.251402378082,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,full,251,lda
5,0.64,0.6622574724742285,12114.585873126984,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,linear,251,lda
6,0.608,0.635296102905701,12237.488555669785,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,circular,251,lda
7,0.632,0.6375191086118921,12191.886605501175,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,pairwise,251,lda
8,0.62,0.6419883255796643,12245.6548371315,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,sca,251,lda
9,0.56,0.5756968645164259,13511.36683011055,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,linear,full,251,lda
10,0.668,0.6896073975044563,11051.639712572098,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,linear,linear,251,lda
11,0.62,0.6389919794202006,11089.623699903488,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,linear,circular,251,lda
12,0.636,0.6614630011454754,11047.155067920685,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,linear,pairwise,251,lda
13,0.576,0.59704456436609,11078.564781188965,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,linear,sca,251,lda
14,0.512,0.5526228391510037,13656.228339910507,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,circular,full,251,lda
15,0.624,0.6601329870129871,11037.416248321533,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,circular,linear,251,lda
16,0.6,0.6306848421651342,11140.37467455864,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,circular,circular,251,lda
17,0.504,0.5717930109827414,10994.3614859581,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,circular,pairwise,251,lda
18,0.564,0.6003384830241396,11184.105085611343,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,circular,sca,251,lda
19,0.452,0.5247728104575163,13624.01543211937,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,sca,full,251,lda
20,0.568,0.6116456888401969,11045.59665107727,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,sca,linear,251,lda
21,0.604,0.6200838285893024,11114.731944799423,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,sca,circular,251,lda
22,0.6,0.6219294540290689,11050.647472381592,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,sca,pairwise,251,lda
23,0.476,0.5436918400530945,11119.054705619812,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,sca,sca,251,lda
24,0.588,0.559523865344438,9587.746285438538,<function get_paulitwodesign at 0x7f379d2dc4c0>,<function get_spsa at 0x7f376609d040>,<function get_zfeaturemap at 0x7f379d2dc1f0>,,,251,lda
25,0.492,0.5310487463306935,14555.327724695206,<function get_paulitwodesign at 0x7f379d2dc4c0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,,full,251,lda
26,0.652,0.6672772404000964,12064.158117294312,<function get_paulitwodesign at 0x7f379d2dc4c0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,,linear,251,lda
27,0.6,0.6120107310529845,12188.413513183594,<function get_paulitwodesign at 0x7f379d2dc4c0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,,circular,251,lda
28,0.592,0.5973286989723131,12054.563261985779,<function get_paulitwodesign at 0x7f379d2dc4c0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,,pairwise,251,lda
29,0.612,0.6386537384184444,12196.395057439804,<function get_paulitwodesign at 0x7f379d2dc4c0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,,sca,251,lda
30,0.664,0.6244649506649507,8845.096326112747,<function get_realamplitudes at 0x7f3796c24550>,<function get_spsa at 0x7f376609d040>,<function get_zfeaturemap at 0x7f379d2dc1f0>,full,,251,lda
31,0.64,0.5791981202280053,7682.578298091888,<function get_realamplitudes at 0x7f3796c24550>,<function get_spsa at 0x7f376609d040>,<function get_zfeaturemap at 0x7f379d2dc1f0>,linear,,251,lda
32,0.64,0.578977466977467,7704.350180864334,<function get_realamplitudes at 0x7f3796c24550>,<function get_spsa at 0x7f376609d040>,<function get_zfeaturemap at 0x7f379d2dc1f0>,circular,,251,lda
