index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.688,0.667485631934185,11648.196985960007,<function get_efficientsu2 at 0x7f10633dd790>,<function get_spsa at 0x7f10633dd8b0>,<function get_zfeaturemap at 0x7f1069fa5d30>,full,,301,lda
1,0.66,0.6389909808262941,10251.263606071472,<function get_efficientsu2 at 0x7f10633dd790>,<function get_spsa at 0x7f10633dd8b0>,<function get_zfeaturemap at 0x7f1069fa5d30>,linear,,301,lda
2,0.768,0.7474973421243518,10278.260040521622,<function get_efficientsu2 at 0x7f10633dd790>,<function get_spsa at 0x7f10633dd8b0>,<function get_zfeaturemap at 0x7f1069fa5d30>,circular,,301,lda
3,0.652,0.6195802256645631,10289.720907211304,<function get_efficientsu2 at 0x7f10633dd790>,<function get_spsa at 0x7f10633dd8b0>,<function get_zfeaturemap at 0x7f1069fa5d30>,sca,,301,lda
4,0.604,0.6129333742167894,17618.185675621033,<function get_efficientsu2 at 0x7f10633dd790>,<function get_spsa at 0x7f10633dd8b0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,full,full,301,lda
5,0.628,0.6465884446463729,14583.188039064407,<function get_efficientsu2 at 0x7f10633dd790>,<function get_spsa at 0x7f10633dd8b0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,full,linear,301,lda
6,0.576,0.5891712537156846,14743.071124076843,<function get_efficientsu2 at 0x7f10633dd790>,<function get_spsa at 0x7f10633dd8b0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,full,circular,301,lda
7,0.624,0.6280370113525453,14609.083432912827,<function get_efficientsu2 at 0x7f10633dd790>,<function get_spsa at 0x7f10633dd8b0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,full,pairwise,301,lda
8,0.592,0.6074452798663325,14796.067280292511,<function get_efficientsu2 at 0x7f10633dd790>,<function get_spsa at 0x7f10633dd8b0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,full,sca,301,lda
9,0.6,0.6160753530396058,16309.141075134277,<function get_efficientsu2 at 0x7f10633dd790>,<function get_spsa at 0x7f10633dd8b0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,linear,full,301,lda
10,0.676,0.7012150026859704,13281.001618385315,<function get_efficientsu2 at 0x7f10633dd790>,<function get_spsa at 0x7f10633dd8b0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,linear,linear,301,lda
11,0.58,0.5928273991057861,13457.496482372284,<function get_efficientsu2 at 0x7f10633dd790>,<function get_spsa at 0x7f10633dd8b0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,linear,circular,301,lda
12,0.64,0.6498453522276986,13285.83933520317,<function get_efficientsu2 at 0x7f10633dd790>,<function get_spsa at 0x7f10633dd8b0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,linear,pairwise,301,lda
13,0.596,0.6129008418451293,13466.033642292023,<function get_efficientsu2 at 0x7f10633dd790>,<function get_spsa at 0x7f10633dd8b0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,linear,sca,301,lda
14,0.588,0.6035586434268261,16289.848249435425,<function get_efficientsu2 at 0x7f10633dd790>,<function get_spsa at 0x7f10633dd8b0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,circular,full,301,lda
15,0.616,0.6403188321167884,13271.353157758713,<function get_efficientsu2 at 0x7f10633dd790>,<function get_spsa at 0x7f10633dd8b0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,circular,linear,301,lda
16,0.612,0.6424856432456433,13425.462053060532,<function get_efficientsu2 at 0x7f10633dd790>,<function get_spsa at 0x7f10633dd8b0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,circular,circular,301,lda
17,0.588,0.603974585607571,13290.574919462204,<function get_efficientsu2 at 0x7f10633dd790>,<function get_spsa at 0x7f10633dd8b0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,circular,pairwise,301,lda
18,0.592,0.6056531150009412,13434.015058040619,<function get_efficientsu2 at 0x7f10633dd790>,<function get_spsa at 0x7f10633dd8b0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,circular,sca,301,lda
19,0.6,0.6219595769183718,16308.294340372086,<function get_efficientsu2 at 0x7f10633dd790>,<function get_spsa at 0x7f10633dd8b0>,<function get_zzfeaturemap at 0x7f1069fa5dc0>,sca,full,301,lda
