index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.556,0.40543034522773425,9734.396743059158,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_spsa at 0x7f096f897040>,<function get_zfeaturemap at 0x7f09a6ad61f0>,full,,251,pca
1,0.552,0.40627199999999997,8559.41405916214,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_spsa at 0x7f096f897040>,<function get_zfeaturemap at 0x7f09a6ad61f0>,linear,,251,pca
2,0.504,0.4450200416611266,8565.730507135391,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_spsa at 0x7f096f897040>,<function get_zfeaturemap at 0x7f09a6ad61f0>,circular,,251,pca
3,0.596,0.4844031323925279,8573.811841249466,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_spsa at 0x7f096f897040>,<function get_zfeaturemap at 0x7f09a6ad61f0>,sca,,251,pca
4,0.56,0.6251257049556507,14734.502098321915,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_spsa at 0x7f096f897040>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,full,251,pca
5,0.64,0.5960412554064545,12226.568530082703,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_spsa at 0x7f096f897040>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,linear,251,pca
6,0.888,0.894411120486359,12317.73440361023,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_spsa at 0x7f096f897040>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,circular,251,pca
7,0.808,0.8040006505828138,12164.11826133728,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_spsa at 0x7f096f897040>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,pairwise,251,pca
8,0.868,0.8683040796753085,12352.17708992958,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_spsa at 0x7f096f897040>,<function get_zzfeaturemap at 0x7f09a6ad6280>,full,sca,251,pca
9,0.676,0.6914448889505117,13522.363686323166,<function get_efficientsu2 at 0x7f099fefa9d0>,<function get_spsa at 0x7f096f897040>,<function get_zzfeaturemap at 0x7f09a6ad6280>,linear,full,251,pca
