index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.56,0.5284491815759421,9661.769308328629,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zfeaturemap at 0x7f379d2dc1f0>,full,,251,pca
1,0.764,0.7588669738863287,8523.306826591492,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zfeaturemap at 0x7f379d2dc1f0>,linear,,251,pca
2,0.64,0.6538401333446339,8539.099297046661,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zfeaturemap at 0x7f379d2dc1f0>,circular,,251,pca
3,0.616,0.6068888484186244,8533.500445842743,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zfeaturemap at 0x7f379d2dc1f0>,sca,,251,pca
4,0.552,0.6108615620490621,14650.55606508255,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,full,251,pca
5,0.72,0.7259445522693684,12119.787028551102,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,linear,251,pca
6,0.476,0.5462931681398101,12251.533998727798,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,circular,251,pca
7,0.664,0.6576953898393626,12119.776384592056,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,pairwise,251,pca
8,0.656,0.6849622742380902,12280.633741378784,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,full,sca,251,pca
9,0.624,0.6380995354160995,13495.504660367966,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,linear,full,251,pca
10,0.728,0.7143343595121533,11007.953158140182,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,linear,linear,251,pca
11,0.62,0.628877521261083,11112.57188487053,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,linear,circular,251,pca
12,0.68,0.6765066377601344,10987.27434372902,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,linear,pairwise,251,pca
13,0.672,0.6684891615164653,11068.14375591278,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,linear,sca,251,pca
14,0.596,0.6422086126526083,13598.058927059174,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,circular,full,251,pca
15,0.676,0.690305099394987,11073.333389759064,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,circular,linear,251,pca
16,0.656,0.6664391638029477,11139.045128107071,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,circular,circular,251,pca
17,0.54,0.583645325743439,10989.90103316307,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,circular,pairwise,251,pca
18,0.628,0.658914020517831,11178.483635425568,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,circular,sca,251,pca
19,0.436,0.5331139928005614,13544.307529211044,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,sca,full,251,pca
20,0.676,0.6833861764738016,11061.62142276764,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,sca,linear,251,pca
21,0.712,0.7272838923004251,11121.854784965515,<function get_efficientsu2 at 0x7f37967009d0>,<function get_spsa at 0x7f376609d040>,<function get_zzfeaturemap at 0x7f379d2dc280>,sca,circular,251,pca
