index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing,noise
20,0.804,0.8045768547503974,11634.126599311829,<function get_efficientsu2 at 0x7f792bbfc790>,<function get_spsa at 0x7f792bbfc8b0>,<function get_zfeaturemap at 0x7f79327c4d30>,full,,301,pca,ibm_perth
21,0.816,0.7652288915566227,10232.956485271454,<function get_efficientsu2 at 0x7f792bbfc790>,<function get_spsa at 0x7f792bbfc8b0>,<function get_zfeaturemap at 0x7f79327c4d30>,linear,,301,pca,ibm_perth
22,0.86,0.8544904274108089,10241.266235351562,<function get_efficientsu2 at 0x7f792bbfc790>,<function get_spsa at 0x7f792bbfc8b0>,<function get_zfeaturemap at 0x7f79327c4d30>,circular,,301,pca,ibm_perth
23,0.68,0.6692340370593997,10231.281445264816,<function get_efficientsu2 at 0x7f792bbfc790>,<function get_spsa at 0x7f792bbfc8b0>,<function get_zfeaturemap at 0x7f79327c4d30>,sca,,301,pca,ibm_perth
24,0.628,0.6321608337622233,17779.4320936203,<function get_efficientsu2 at 0x7f792bbfc790>,<function get_spsa at 0x7f792bbfc8b0>,<function get_zzfeaturemap at 0x7f79327c4dc0>,full,full,301,pca,ibm_perth
25,0.644,0.6361059992638941,14513.823103427889,<function get_efficientsu2 at 0x7f792bbfc790>,<function get_spsa at 0x7f792bbfc8b0>,<function get_zzfeaturemap at 0x7f79327c4dc0>,full,linear,301,pca,ibm_perth
26,0.724,0.7549857543402532,14716.82899928093,<function get_efficientsu2 at 0x7f792bbfc790>,<function get_spsa at 0x7f792bbfc8b0>,<function get_zzfeaturemap at 0x7f79327c4dc0>,full,circular,301,pca,ibm_perth
27,0.756,0.7545763733628942,14586.9206302166,<function get_efficientsu2 at 0x7f792bbfc790>,<function get_spsa at 0x7f792bbfc8b0>,<function get_zzfeaturemap at 0x7f79327c4dc0>,full,pairwise,301,pca,ibm_perth
28,0.676,0.6947367471238439,14682.274608373642,<function get_efficientsu2 at 0x7f792bbfc790>,<function get_spsa at 0x7f792bbfc8b0>,<function get_zzfeaturemap at 0x7f79327c4dc0>,full,sca,301,pca,ibm_perth
29,0.64,0.6452287537531258,16130.614403486252,<function get_efficientsu2 at 0x7f792bbfc790>,<function get_spsa at 0x7f792bbfc8b0>,<function get_zzfeaturemap at 0x7f79327c4dc0>,linear,full,301,pca,ibm_perth
30,0.708,0.7093053736504338,13197.826846122742,<function get_efficientsu2 at 0x7f792bbfc790>,<function get_spsa at 0x7f792bbfc8b0>,<function get_zzfeaturemap at 0x7f79327c4dc0>,linear,linear,301,pca,ibm_perth
31,0.712,0.7304784240890287,13312.701005458832,<function get_efficientsu2 at 0x7f792bbfc790>,<function get_spsa at 0x7f792bbfc8b0>,<function get_zzfeaturemap at 0x7f79327c4dc0>,linear,circular,301,pca,ibm_perth
32,0.736,0.7240919994034826,13143.46419787407,<function get_efficientsu2 at 0x7f792bbfc790>,<function get_spsa at 0x7f792bbfc8b0>,<function get_zzfeaturemap at 0x7f79327c4dc0>,linear,pairwise,301,pca,ibm_perth
33,0.736,0.7476398045385256,13350.657856941223,<function get_efficientsu2 at 0x7f792bbfc790>,<function get_spsa at 0x7f792bbfc8b0>,<function get_zzfeaturemap at 0x7f79327c4dc0>,linear,sca,301,pca,ibm_perth
34,0.64,0.6596706499344448,16243.239161729813,<function get_efficientsu2 at 0x7f792bbfc790>,<function get_spsa at 0x7f792bbfc8b0>,<function get_zzfeaturemap at 0x7f79327c4dc0>,circular,full,301,pca,ibm_perth
35,0.688,0.7098151478892405,13156.87656402588,<function get_efficientsu2 at 0x7f792bbfc790>,<function get_spsa at 0x7f792bbfc8b0>,<function get_zzfeaturemap at 0x7f79327c4dc0>,circular,linear,301,pca,ibm_perth
36,0.644,0.632794443974105,13381.409017324448,<function get_efficientsu2 at 0x7f792bbfc790>,<function get_spsa at 0x7f792bbfc8b0>,<function get_zzfeaturemap at 0x7f79327c4dc0>,circular,circular,301,pca,ibm_perth
37,0.728,0.735580489552452,13245.26428937912,<function get_efficientsu2 at 0x7f792bbfc790>,<function get_spsa at 0x7f792bbfc8b0>,<function get_zzfeaturemap at 0x7f79327c4dc0>,circular,pairwise,301,pca,ibm_perth
38,0.712,0.7242788654131938,13292.98813343048,<function get_efficientsu2 at 0x7f792bbfc790>,<function get_spsa at 0x7f792bbfc8b0>,<function get_zzfeaturemap at 0x7f79327c4dc0>,circular,sca,301,pca,ibm_perth
39,0.64,0.6548937605056819,16263.997836351396,<function get_efficientsu2 at 0x7f792bbfc790>,<function get_spsa at 0x7f792bbfc8b0>,<function get_zzfeaturemap at 0x7f79327c4dc0>,sca,full,301,pca,ibm_perth
40,0.664,0.670986747335062,13223.64939236641,<function get_efficientsu2 at 0x7f792bbfc790>,<function get_spsa at 0x7f792bbfc8b0>,<function get_zzfeaturemap at 0x7f79327c4dc0>,sca,linear,301,pca,ibm_perth
41,0.776,0.7880842929933332,13282.669356107712,<function get_efficientsu2 at 0x7f792bbfc790>,<function get_spsa at 0x7f792bbfc8b0>,<function get_zzfeaturemap at 0x7f79327c4dc0>,sca,circular,301,pca,ibm_perth
42,0.628,0.6278629906013906,13250.191864490507,<function get_efficientsu2 at 0x7f792bbfc790>,<function get_spsa at 0x7f792bbfc8b0>,<function get_zzfeaturemap at 0x7f79327c4dc0>,sca,pairwise,301,pca,ibm_perth
43,0.616,0.6130533275134585,13366.835795402529,<function get_efficientsu2 at 0x7f792bbfc790>,<function get_spsa at 0x7f792bbfc8b0>,<function get_zzfeaturemap at 0x7f79327c4dc0>,sca,sca,301,pca,ibm_perth
49,0.66,0.6833199548989023,11451.889304876328,<function get_paulitwodesign at 0x7f792c121820>,<function get_spsa at 0x7f792bbfc8b0>,<function get_zfeaturemap at 0x7f79327c4d30>,,,301,pca,ibm_perth
50,0.608,0.620547472605161,17488.510807275772,<function get_paulitwodesign at 0x7f792c121820>,<function get_spsa at 0x7f792bbfc8b0>,<function get_zzfeaturemap at 0x7f79327c4dc0>,,full,301,pca,ibm_perth
51,0.652,0.6276607889534634,14365.550861120224,<function get_paulitwodesign at 0x7f792c121820>,<function get_spsa at 0x7f792bbfc8b0>,<function get_zzfeaturemap at 0x7f79327c4dc0>,,linear,301,pca,ibm_perth
52,0.64,0.6572148046730664,14528.982073307036,<function get_paulitwodesign at 0x7f792c121820>,<function get_spsa at 0x7f792bbfc8b0>,<function get_zzfeaturemap at 0x7f79327c4dc0>,,circular,301,pca,ibm_perth
53,0.644,0.640017316017316,14379.62676501274,<function get_paulitwodesign at 0x7f792c121820>,<function get_spsa at 0x7f792bbfc8b0>,<function get_zzfeaturemap at 0x7f79327c4dc0>,,pairwise,301,pca,ibm_perth
54,0.68,0.7002309480256916,14524.492778539658,<function get_paulitwodesign at 0x7f792c121820>,<function get_spsa at 0x7f792bbfc8b0>,<function get_zzfeaturemap at 0x7f79327c4dc0>,,sca,301,pca,ibm_perth
75,0.62,0.5759180707544439,10587.539286375046,<function get_realamplitudes at 0x7f792bbfc700>,<function get_spsa at 0x7f792bbfc8b0>,<function get_zfeaturemap at 0x7f79327c4d30>,full,,301,pca,ibm_perth
76,0.784,0.7569333690603787,9214.245394229887,<function get_realamplitudes at 0x7f792bbfc700>,<function get_spsa at 0x7f792bbfc8b0>,<function get_zfeaturemap at 0x7f79327c4d30>,linear,,301,pca,ibm_perth
