index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.868,0.8651515502273667,1796.5711624622345,<function get_efficientsu2 at 0x7fb548199ee0>,<function get_cobyla at 0x7fb516eb2940>,<function get_zfeaturemap at 0x7fb54f30d3a0>,full,,355,pca
1,0.856,0.8527090620031795,1316.5960502624512,<function get_efficientsu2 at 0x7fb548199ee0>,<function get_cobyla at 0x7fb516eb2940>,<function get_zfeaturemap at 0x7fb54f30d3a0>,linear,,280,pca
2,0.86,0.856978916907813,2198.667767763138,<function get_efficientsu2 at 0x7fb548199ee0>,<function get_cobyla at 0x7fb516eb2940>,<function get_zfeaturemap at 0x7fb54f30d3a0>,circular,,459,pca
3,0.872,0.8696986301369862,1867.3647394180298,<function get_efficientsu2 at 0x7fb548199ee0>,<function get_cobyla at 0x7fb516eb2940>,<function get_zfeaturemap at 0x7fb54f30d3a0>,sca,,399,pca
4,0.664,0.6524285714285714,2563.7904210090637,<function get_efficientsu2 at 0x7fb548199ee0>,<function get_cobyla at 0x7fb516eb2940>,<function get_zzfeaturemap at 0x7fb54f30d430>,full,full,349,pca
5,0.68,0.6756184486373166,1391.3344819545746,<function get_efficientsu2 at 0x7fb548199ee0>,<function get_cobyla at 0x7fb516eb2940>,<function get_zzfeaturemap at 0x7fb54f30d430>,full,linear,242,pca
6,0.624,0.6144057412452655,1976.8536460399628,<function get_efficientsu2 at 0x7fb548199ee0>,<function get_cobyla at 0x7fb516eb2940>,<function get_zzfeaturemap at 0x7fb54f30d430>,full,circular,333,pca
7,0.676,0.6718818275506699,1265.1150262355804,<function get_efficientsu2 at 0x7fb548199ee0>,<function get_cobyla at 0x7fb516eb2940>,<function get_zzfeaturemap at 0x7fb54f30d430>,full,pairwise,219,pca
8,0.692,0.6920741870734645,2521.433758497238,<function get_efficientsu2 at 0x7fb548199ee0>,<function get_cobyla at 0x7fb516eb2940>,<function get_zzfeaturemap at 0x7fb54f30d430>,full,sca,434,pca
9,0.744,0.7429233954451345,2526.841673851013,<function get_efficientsu2 at 0x7fb548199ee0>,<function get_cobyla at 0x7fb516eb2940>,<function get_zzfeaturemap at 0x7fb54f30d430>,linear,full,368,pca
10,0.732,0.7303613746573899,1661.3576843738556,<function get_efficientsu2 at 0x7fb548199ee0>,<function get_cobyla at 0x7fb516eb2940>,<function get_zzfeaturemap at 0x7fb54f30d430>,linear,linear,309,pca
