index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.884,0.8827410852713179,2050.409685611725,<function get_efficientsu2 at 0x7feb42761d30>,<function get_cobyla at 0x7feb114e9160>,<function get_zfeaturemap at 0x7feb498d71f0>,full,,405,pca
1,0.884,0.8820450188263538,1320.5983526706696,<function get_efficientsu2 at 0x7feb42761d30>,<function get_cobyla at 0x7feb114e9160>,<function get_zfeaturemap at 0x7feb498d71f0>,linear,,284,pca
2,0.804,0.7948467309753482,1786.6475667953491,<function get_efficientsu2 at 0x7feb42761d30>,<function get_cobyla at 0x7feb114e9160>,<function get_zfeaturemap at 0x7feb498d71f0>,circular,,377,pca
3,0.832,0.8256608045279967,2227.2681777477264,<function get_efficientsu2 at 0x7feb42761d30>,<function get_cobyla at 0x7feb114e9160>,<function get_zfeaturemap at 0x7feb498d71f0>,sca,,470,pca
4,0.612,0.6120934564431955,1580.411418914795,<function get_efficientsu2 at 0x7feb42761d30>,<function get_cobyla at 0x7feb114e9160>,<function get_zzfeaturemap at 0x7feb498d7280>,full,full,215,pca
5,0.684,0.680570542635659,1837.9486856460571,<function get_efficientsu2 at 0x7feb42761d30>,<function get_cobyla at 0x7feb114e9160>,<function get_zzfeaturemap at 0x7feb498d7280>,full,linear,322,pca
6,0.624,0.6219529457515068,1788.3375828266144,<function get_efficientsu2 at 0x7feb42761d30>,<function get_cobyla at 0x7feb114e9160>,<function get_zzfeaturemap at 0x7feb498d7280>,full,circular,305,pca
7,0.684,0.680570542635659,1407.2887423038483,<function get_efficientsu2 at 0x7feb42761d30>,<function get_cobyla at 0x7feb114e9160>,<function get_zzfeaturemap at 0x7feb498d7280>,full,pairwise,247,pca
8,0.612,0.6101344643926762,1097.406660079956,<function get_efficientsu2 at 0x7feb42761d30>,<function get_cobyla at 0x7feb114e9160>,<function get_zzfeaturemap at 0x7feb498d7280>,full,sca,186,pca
9,0.716,0.7129178294573644,2315.1965601444244,<function get_efficientsu2 at 0x7feb42761d30>,<function get_cobyla at 0x7feb114e9160>,<function get_zzfeaturemap at 0x7feb498d7280>,linear,full,333,pca
10,0.716,0.7105635851016471,1600.5289220809937,<function get_efficientsu2 at 0x7feb42761d30>,<function get_cobyla at 0x7feb114e9160>,<function get_zzfeaturemap at 0x7feb498d7280>,linear,linear,298,pca
11,0.62,0.6165286349351092,1127.5569381713867,<function get_efficientsu2 at 0x7feb42761d30>,<function get_cobyla at 0x7feb114e9160>,<function get_zzfeaturemap at 0x7feb498d7280>,linear,circular,207,pca
12,0.732,0.7303613746573899,1531.4524974822998,<function get_efficientsu2 at 0x7feb42761d30>,<function get_cobyla at 0x7feb114e9160>,<function get_zzfeaturemap at 0x7feb498d7280>,linear,pairwise,285,pca
13,0.624,0.6172397260273972,1451.2404961585999,<function get_efficientsu2 at 0x7feb42761d30>,<function get_cobyla at 0x7feb114e9160>,<function get_zzfeaturemap at 0x7feb498d7280>,linear,sca,267,pca
14,0.748,0.7475736315441757,2919.1413440704346,<function get_efficientsu2 at 0x7feb42761d30>,<function get_cobyla at 0x7feb114e9160>,<function get_zzfeaturemap at 0x7feb498d7280>,circular,full,417,pca
15,0.784,0.7822010540698809,2117.57670378685,<function get_efficientsu2 at 0x7feb42761d30>,<function get_cobyla at 0x7feb114e9160>,<function get_zzfeaturemap at 0x7feb498d7280>,circular,linear,398,pca
16,0.592,0.579226971703793,1316.4787034988403,<function get_efficientsu2 at 0x7feb42761d30>,<function get_cobyla at 0x7feb114e9160>,<function get_zzfeaturemap at 0x7feb498d7280>,circular,circular,234,pca
17,0.784,0.7828240326657594,2690.0247609615326,<function get_efficientsu2 at 0x7feb42761d30>,<function get_cobyla at 0x7feb114e9160>,<function get_zzfeaturemap at 0x7feb498d7280>,circular,pairwise,500,pca
18,0.648,0.6380266666666666,1658.361745595932,<function get_efficientsu2 at 0x7feb42761d30>,<function get_cobyla at 0x7feb114e9160>,<function get_zzfeaturemap at 0x7feb498d7280>,circular,sca,296,pca
19,0.68,0.6756184486373166,2424.9539098739624,<function get_efficientsu2 at 0x7feb42761d30>,<function get_cobyla at 0x7feb114e9160>,<function get_zzfeaturemap at 0x7feb498d7280>,sca,full,340,pca
20,0.66,0.6534916159667608,2746.147262096405,<function get_efficientsu2 at 0x7feb42761d30>,<function get_cobyla at 0x7feb114e9160>,<function get_zzfeaturemap at 0x7feb498d7280>,sca,linear,497,pca
21,0.644,0.640747879044471,1512.0097196102142,<function get_efficientsu2 at 0x7feb42761d30>,<function get_cobyla at 0x7feb114e9160>,<function get_zzfeaturemap at 0x7feb498d7280>,sca,circular,277,pca
22,0.728,0.7248002091366577,2035.2513682842255,<function get_efficientsu2 at 0x7feb42761d30>,<function get_cobyla at 0x7feb114e9160>,<function get_zzfeaturemap at 0x7feb498d7280>,sca,pairwise,366,pca
23,0.7,0.6977331448349827,1931.4667959213257,<function get_efficientsu2 at 0x7feb42761d30>,<function get_cobyla at 0x7feb114e9160>,<function get_zzfeaturemap at 0x7feb498d7280>,sca,sca,347,pca
24,0.888,0.8872363636363636,551.2627518177032,<function get_paulitwodesign at 0x7feb498d74c0>,<function get_cobyla at 0x7feb114e9160>,<function get_zfeaturemap at 0x7feb498d71f0>,,,133,pca
25,0.584,0.5798497652582161,718.4931058883667,<function get_paulitwodesign at 0x7feb498d74c0>,<function get_cobyla at 0x7feb114e9160>,<function get_zzfeaturemap at 0x7feb498d7280>,,full,110,pca
26,0.708,0.704831007751938,900.5825788974762,<function get_paulitwodesign at 0x7feb498d74c0>,<function get_cobyla at 0x7feb114e9160>,<function get_zzfeaturemap at 0x7feb498d7280>,,linear,187,pca
27,0.616,0.6099467980295565,753.2062711715698,<function get_paulitwodesign at 0x7feb498d74c0>,<function get_cobyla at 0x7feb114e9160>,<function get_zzfeaturemap at 0x7feb498d7280>,,circular,152,pca
28,0.704,0.7010469483568075,623.0259222984314,<function get_paulitwodesign at 0x7feb498d74c0>,<function get_cobyla at 0x7feb114e9160>,<function get_zzfeaturemap at 0x7feb498d7280>,,pairwise,130,pca
29,0.608,0.5990413354531001,763.5422356128693,<function get_paulitwodesign at 0x7feb498d74c0>,<function get_cobyla at 0x7feb114e9160>,<function get_zzfeaturemap at 0x7feb498d7280>,,sca,154,pca
30,0.888,0.8864664570230607,751.4364769458771,<function get_realamplitudes at 0x7feb42ccef70>,<function get_cobyla at 0x7feb114e9160>,<function get_zfeaturemap at 0x7feb498d71f0>,full,,169,pca
31,0.892,0.891480727202085,789.2286837100983,<function get_realamplitudes at 0x7feb42ccef70>,<function get_cobyla at 0x7feb114e9160>,<function get_zfeaturemap at 0x7feb498d71f0>,linear,,195,pca
32,0.9,0.8990864828776602,668.4027323722839,<function get_realamplitudes at 0x7feb42ccef70>,<function get_cobyla at 0x7feb114e9160>,<function get_zfeaturemap at 0x7feb498d71f0>,circular,,163,pca
33,0.896,0.8955626293995859,688.3583078384399,<function get_realamplitudes at 0x7feb42ccef70>,<function get_cobyla at 0x7feb114e9160>,<function get_zfeaturemap at 0x7feb498d71f0>,sca,,167,pca
34,0.604,0.6010077511821772,991.2542989253998,<function get_realamplitudes at 0x7feb42ccef70>,<function get_cobyla at 0x7feb114e9160>,<function get_zzfeaturemap at 0x7feb498d7280>,full,full,147,pca
35,0.66,0.6542698827668985,731.0913426876068,<function get_realamplitudes at 0x7feb42ccef70>,<function get_cobyla at 0x7feb114e9160>,<function get_zzfeaturemap at 0x7feb498d7280>,full,linear,144,pca
