index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.896,0.8951338408484609,2041.6000936031342,<function get_efficientsu2 at 0x7f2d95f6bee0>,<function get_cobyla at 0x7f2d64c868b0>,<function get_zfeaturemap at 0x7f2d9d0e13a0>,full,,394,pca
1,0.876,0.8744239093095157,1524.3902740478516,<function get_efficientsu2 at 0x7f2d95f6bee0>,<function get_cobyla at 0x7f2d64c868b0>,<function get_zfeaturemap at 0x7f2d9d0e13a0>,linear,,321,pca
2,0.856,0.8523256030301017,1668.056095123291,<function get_efficientsu2 at 0x7f2d95f6bee0>,<function get_cobyla at 0x7f2d64c868b0>,<function get_zfeaturemap at 0x7f2d9d0e13a0>,circular,,351,pca
3,0.864,0.860529736195096,1566.0668244361877,<function get_efficientsu2 at 0x7f2d95f6bee0>,<function get_cobyla at 0x7f2d64c868b0>,<function get_zfeaturemap at 0x7f2d9d0e13a0>,sca,,333,pca
4,0.5,0.5004408534923611,1577.6427962779999,<function get_efficientsu2 at 0x7f2d95f6bee0>,<function get_cobyla at 0x7f2d64c868b0>,<function get_zzfeaturemap at 0x7f2d9d0e1430>,full,full,213,pca
5,0.672,0.6687276995305165,1366.3531832695007,<function get_efficientsu2 at 0x7f2d95f6bee0>,<function get_cobyla at 0x7f2d64c868b0>,<function get_zzfeaturemap at 0x7f2d9d0e1430>,full,linear,239,pca
6,0.612,0.6054609250398725,1544.1002116203308,<function get_efficientsu2 at 0x7f2d95f6bee0>,<function get_cobyla at 0x7f2d64c868b0>,<function get_zzfeaturemap at 0x7f2d9d0e1430>,full,circular,263,pca
7,0.648,0.6424512315270936,1349.660474061966,<function get_efficientsu2 at 0x7f2d95f6bee0>,<function get_cobyla at 0x7f2d64c868b0>,<function get_zzfeaturemap at 0x7f2d9d0e1430>,full,pairwise,236,pca
8,0.708,0.6954480421559158,2512.5563764572144,<function get_efficientsu2 at 0x7f2d95f6bee0>,<function get_cobyla at 0x7f2d64c868b0>,<function get_zzfeaturemap at 0x7f2d9d0e1430>,full,sca,428,pca
9,0.608,0.6018206896551724,2415.7067556381226,<function get_efficientsu2 at 0x7f2d95f6bee0>,<function get_cobyla at 0x7f2d64c868b0>,<function get_zzfeaturemap at 0x7f2d9d0e1430>,linear,full,349,pca
