index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.54,0.47192405492456346,1020.0098099708557,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_cobyla at 0x7fee571d3160>,<function get_zfeaturemap at 0x7fee8f5c01f0>,full,,199,pca
1,0.512,0.49189772727272724,1019.7052145004272,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_cobyla at 0x7fee571d3160>,<function get_zfeaturemap at 0x7fee8f5c01f0>,linear,,216,pca
2,0.548,0.48110798440413627,872.5473918914795,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_cobyla at 0x7fee571d3160>,<function get_zfeaturemap at 0x7fee8f5c01f0>,circular,,183,pca
3,0.508,0.4768383241829612,1081.9031491279602,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_cobyla at 0x7fee571d3160>,<function get_zfeaturemap at 0x7fee8f5c01f0>,sca,,229,pca
4,0.484,0.48432203037237365,1347.0343623161316,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_cobyla at 0x7fee571d3160>,<function get_zzfeaturemap at 0x7fee8f5c0280>,full,full,182,pca
5,0.548,0.540382314737171,1288.5706241130829,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_cobyla at 0x7fee571d3160>,<function get_zzfeaturemap at 0x7fee8f5c0280>,full,linear,224,pca
6,0.532,0.5321127258129265,1212.2120666503906,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_cobyla at 0x7fee571d3160>,<function get_zzfeaturemap at 0x7fee8f5c0280>,full,circular,205,pca
7,0.468,0.461339177234567,1007.1273605823517,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_cobyla at 0x7fee571d3160>,<function get_zzfeaturemap at 0x7fee8f5c0280>,full,pairwise,177,pca
8,0.572,0.5722671104639068,1013.6358773708344,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_cobyla at 0x7fee571d3160>,<function get_zzfeaturemap at 0x7fee8f5c0280>,full,sca,171,pca
9,0.536,0.5364756230379909,1537.7856645584106,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_cobyla at 0x7fee571d3160>,<function get_zzfeaturemap at 0x7fee8f5c0280>,linear,full,220,pca
10,0.464,0.45953594898822303,1593.0513377189636,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_cobyla at 0x7fee571d3160>,<function get_zzfeaturemap at 0x7fee8f5c0280>,linear,linear,293,pca
11,0.524,0.5244196925247278,1344.5068140029907,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_cobyla at 0x7fee571d3160>,<function get_zzfeaturemap at 0x7fee8f5c0280>,linear,circular,245,pca
12,0.496,0.4909718309859155,1284.3005220890045,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_cobyla at 0x7fee571d3160>,<function get_zzfeaturemap at 0x7fee8f5c0280>,linear,pairwise,235,pca
13,0.524,0.5241146527498997,1263.8849892616272,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_cobyla at 0x7fee571d3160>,<function get_zzfeaturemap at 0x7fee8f5c0280>,linear,sca,230,pca
14,0.564,0.5644400583155771,1429.0835666656494,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_cobyla at 0x7fee571d3160>,<function get_zzfeaturemap at 0x7fee8f5c0280>,circular,full,200,pca
15,0.552,0.5517406073082861,1140.6950252056122,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_cobyla at 0x7fee571d3160>,<function get_zzfeaturemap at 0x7fee8f5c0280>,circular,linear,211,pca
16,0.532,0.5318727019632313,1531.5176739692688,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_cobyla at 0x7fee571d3160>,<function get_zzfeaturemap at 0x7fee8f5c0280>,circular,circular,268,pca
17,0.476,0.4764620144599946,838.6759672164917,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_cobyla at 0x7fee571d3160>,<function get_zzfeaturemap at 0x7fee8f5c0280>,circular,pairwise,151,pca
18,0.54,0.5401107988759534,1326.7099947929382,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_cobyla at 0x7fee571d3160>,<function get_zzfeaturemap at 0x7fee8f5c0280>,circular,sca,235,pca
19,0.472,0.47223728813559324,1480.5196969509125,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_cobyla at 0x7fee571d3160>,<function get_zzfeaturemap at 0x7fee8f5c0280>,sca,full,203,pca
20,0.512,0.5122186379928315,1582.9607608318329,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_cobyla at 0x7fee571d3160>,<function get_zzfeaturemap at 0x7fee8f5c0280>,sca,linear,285,pca
21,0.592,0.5919999999999997,1303.30233502388,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_cobyla at 0x7fee571d3160>,<function get_zzfeaturemap at 0x7fee8f5c0280>,sca,circular,233,pca
22,0.508,0.5084963251188931,869.8623521327972,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_cobyla at 0x7fee571d3160>,<function get_zzfeaturemap at 0x7fee8f5c0280>,sca,pairwise,156,pca
23,0.476,0.476528877425143,1765.338565826416,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_cobyla at 0x7fee571d3160>,<function get_zzfeaturemap at 0x7fee8f5c0280>,sca,sca,309,pca
24,0.528,0.506844142614601,451.7379367351532,<function get_paulitwodesign at 0x7fee8f5c04c0>,<function get_cobyla at 0x7fee571d3160>,<function get_zfeaturemap at 0x7fee8f5c01f0>,,,108,pca
25,0.508,0.5084331332533013,737.118531703949,<function get_paulitwodesign at 0x7fee8f5c04c0>,<function get_cobyla at 0x7fee571d3160>,<function get_zzfeaturemap at 0x7fee8f5c0280>,,full,113,pca
26,0.516,0.5147425731390489,657.1459991931915,<function get_paulitwodesign at 0x7fee8f5c04c0>,<function get_cobyla at 0x7fee571d3160>,<function get_zzfeaturemap at 0x7fee8f5c0280>,,linear,135,pca
27,0.572,0.572103091128061,637.5401453971863,<function get_paulitwodesign at 0x7fee8f5c04c0>,<function get_cobyla at 0x7fee571d3160>,<function get_zzfeaturemap at 0x7fee8f5c0280>,,circular,128,pca
28,0.464,0.4623380918545314,446.6081802845001,<function get_paulitwodesign at 0x7fee8f5c04c0>,<function get_cobyla at 0x7fee571d3160>,<function get_zzfeaturemap at 0x7fee8f5c0280>,,pairwise,92,pca
29,0.536,0.5363564432494718,654.8421080112457,<function get_paulitwodesign at 0x7fee8f5c04c0>,<function get_cobyla at 0x7fee571d3160>,<function get_zzfeaturemap at 0x7fee8f5c0280>,,sca,128,pca
30,0.484,0.4354338833372066,473.68465209007263,<function get_realamplitudes at 0x7fee889b7f70>,<function get_cobyla at 0x7fee571d3160>,<function get_zfeaturemap at 0x7fee8f5c01f0>,full,,105,pca
31,0.484,0.47286515088879705,529.1503267288208,<function get_realamplitudes at 0x7fee889b7f70>,<function get_cobyla at 0x7fee571d3160>,<function get_zfeaturemap at 0x7fee8f5c01f0>,linear,,129,pca
32,0.516,0.4807736789631106,454.43391394615173,<function get_realamplitudes at 0x7fee889b7f70>,<function get_cobyla at 0x7fee571d3160>,<function get_zfeaturemap at 0x7fee8f5c01f0>,circular,,111,pca
33,0.528,0.5183985205732778,470.1997764110565,<function get_realamplitudes at 0x7fee889b7f70>,<function get_cobyla at 0x7fee571d3160>,<function get_zfeaturemap at 0x7fee8f5c01f0>,sca,,114,pca
34,0.52,0.5197235023041475,805.9639675617218,<function get_realamplitudes at 0x7fee889b7f70>,<function get_cobyla at 0x7fee571d3160>,<function get_zzfeaturemap at 0x7fee8f5c0280>,full,full,116,pca
