index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.54,0.4682752993415435,1004.0875127315521,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_cobyla at 0x7fdf1f1a4160>,<function get_zfeaturemap at 0x7fdf575941f0>,full,,194,pca
1,0.548,0.5413510880795027,950.5732340812683,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_cobyla at 0x7fdf1f1a4160>,<function get_zfeaturemap at 0x7fdf575941f0>,linear,,203,pca
2,0.56,0.557,835.213769197464,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_cobyla at 0x7fdf1f1a4160>,<function get_zfeaturemap at 0x7fdf575941f0>,circular,,175,pca
3,0.492,0.3800338621785204,878.2468168735504,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_cobyla at 0x7fdf1f1a4160>,<function get_zfeaturemap at 0x7fdf575941f0>,sca,,185,pca
4,0.548,0.5475877166311948,1709.57585978508,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_cobyla at 0x7fdf1f1a4160>,<function get_zzfeaturemap at 0x7fdf57594280>,full,full,225,pca
5,0.476,0.4746491169076556,1170.7766361236572,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_cobyla at 0x7fdf1f1a4160>,<function get_zzfeaturemap at 0x7fdf57594280>,full,linear,202,pca
6,0.528,0.5284838234351977,1037.2181582450867,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_cobyla at 0x7fdf1f1a4160>,<function get_zzfeaturemap at 0x7fdf57594280>,full,circular,167,pca
7,0.528,0.5282114695340502,1142.9868412017822,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_cobyla at 0x7fdf1f1a4160>,<function get_zzfeaturemap at 0x7fdf57594280>,full,pairwise,194,pca
8,0.556,0.5555927195481098,1338.5842325687408,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_cobyla at 0x7fdf1f1a4160>,<function get_zzfeaturemap at 0x7fdf57594280>,full,sca,224,pca
9,0.564,0.5643838335334134,1514.1493120193481,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_cobyla at 0x7fdf1f1a4160>,<function get_zzfeaturemap at 0x7fdf57594280>,linear,full,215,pca
10,0.52,0.5199999999999999,1482.3411128520966,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_cobyla at 0x7fdf1f1a4160>,<function get_zzfeaturemap at 0x7fdf57594280>,linear,linear,265,pca
11,0.492,0.49015272727272724,1345.5306837558746,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_cobyla at 0x7fdf1f1a4160>,<function get_zzfeaturemap at 0x7fdf57594280>,linear,circular,243,pca
12,0.5,0.5003120449344706,1055.4006490707397,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_cobyla at 0x7fdf1f1a4160>,<function get_zzfeaturemap at 0x7fdf57594280>,linear,pairwise,194,pca
13,0.532,0.5322928237955431,1524.4065520763397,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_cobyla at 0x7fdf1f1a4160>,<function get_zzfeaturemap at 0x7fdf57594280>,linear,sca,277,pca
14,0.512,0.5124692307692309,1502.7165532112122,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_cobyla at 0x7fdf1f1a4160>,<function get_zzfeaturemap at 0x7fdf57594280>,circular,full,209,pca
15,0.512,0.5093431849115302,1025.2500052452087,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_cobyla at 0x7fdf1f1a4160>,<function get_zzfeaturemap at 0x7fdf57594280>,circular,linear,188,pca
16,0.5,0.500120433560819,1281.9864366054535,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_cobyla at 0x7fdf1f1a4160>,<function get_zzfeaturemap at 0x7fdf57594280>,circular,circular,227,pca
17,0.528,0.528,1089.4237310886383,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_cobyla at 0x7fdf1f1a4160>,<function get_zzfeaturemap at 0x7fdf57594280>,circular,pairwise,197,pca
18,0.472,0.47240644043877084,1162.8043925762177,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_cobyla at 0x7fdf1f1a4160>,<function get_zzfeaturemap at 0x7fdf57594280>,circular,sca,209,pca
19,0.536,0.5363571749310412,1407.2716708183289,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_cobyla at 0x7fdf1f1a4160>,<function get_zzfeaturemap at 0x7fdf57594280>,sca,full,198,pca
20,0.464,0.46454942661285153,1130.230740070343,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_cobyla at 0x7fdf1f1a4160>,<function get_zzfeaturemap at 0x7fdf57594280>,sca,linear,207,pca
21,0.556,0.5558792300676809,972.5651729106903,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_cobyla at 0x7fdf1f1a4160>,<function get_zzfeaturemap at 0x7fdf57594280>,sca,circular,175,pca
22,0.508,0.50563442392061,996.3156125545502,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_cobyla at 0x7fdf1f1a4160>,<function get_zzfeaturemap at 0x7fdf57594280>,sca,pairwise,177,pca
23,0.508,0.5078655543231904,1101.656281709671,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_cobyla at 0x7fdf1f1a4160>,<function get_zzfeaturemap at 0x7fdf57594280>,sca,sca,195,pca
24,0.572,0.5565639344262296,596.1614317893982,<function get_paulitwodesign at 0x7fdf575944c0>,<function get_cobyla at 0x7fdf1f1a4160>,<function get_zfeaturemap at 0x7fdf575941f0>,,,143,pca
